"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","taxa","sample_type","q_val"
"1","lypma",-0.0635164576012757,0.225907207085533,18.1271913442622,-0.281161714230866,0.781770556554347,"Actinobaculum_sp_oral_taxon_183","BAL",0.348824233491027
"2","benzonase",-0.17920787075431,0.21660753899835,18.3290526752499,-0.827339027916639,0.418686583222923,"Actinobaculum_sp_oral_taxon_183","BAL",0.239009580760037
"3","host_zero",-0.206889522567205,0.21660753899835,18.3290526753066,-0.955135373052649,0.351937786642813,"Actinobaculum_sp_oral_taxon_183","BAL",0.218700155734056
"4","molysis",-0.56834734260778,0.21660753899835,18.3290526749461,-2.62385762395883,0.0170411633963462,"Actinobaculum_sp_oral_taxon_183","BAL",0.0233537115947474
"5","qiaamp",-0.225264527201329,0.21660753899835,18.3290526747348,-1.03996623683096,0.311880397672808,"Actinobaculum_sp_oral_taxon_183","BAL",0.209790180385769
"6","lypma",0.18919081265888,0.0576920518748371,24.5343087595638,3.27932196048998,0.00310738621560169,"Actinobaculum_sp_oral_taxon_183","Nasal",0.00567171215823066
"7","benzonase",0.0319509713163025,0.0577575884048043,24.7601113929566,0.553190882769696,0.585093529682793,"Actinobaculum_sp_oral_taxon_183","Nasal",0.294305628039275
"8","host_zero",-0.196084341985533,0.0577575884048043,24.7601113922353,-3.39495376107537,0.0023165871611227,"Actinobaculum_sp_oral_taxon_183","Nasal",0.00567171215823066
"9","molysis",-0.138449272969873,0.0576920518748371,24.5343087595197,-2.39979803925572,0.0243334412259409,"Actinobaculum_sp_oral_taxon_183","Nasal",0.0277437051830165
"10","qiaamp",-0.121439595538408,0.0577575884048043,24.760111393067,-2.10257385899282,0.0458402847501558,"Actinobaculum_sp_oral_taxon_183","Nasal",0.0430466327106938
"11","lypma",-1.62142844627283,1.80865047119207,20.0000000103946,-0.896485236975693,0.380658003746113,"Actinobaculum_sp_oral_taxon_183","Sputum",0.233991505290205
"12","benzonase",0.720684685348431,1.80865047119207,20.0000000103946,0.398465428686965,0.694509085927214,"Actinobaculum_sp_oral_taxon_183","Sputum",0.335033865989864
"13","host_zero",1.51531197649368,1.80865047119207,20.0000000101749,0.837813607786218,0.412036206513223,"Actinobaculum_sp_oral_taxon_183","Sputum",0.239009580760037
"14","molysis",2.31614040003065,1.80865047119207,20.0000000103898,1.28059038322871,0.214990113509525,"Actinobaculum_sp_oral_taxon_183","Sputum",0.165376965243846
"15","qiaamp",2.03315457893563,1.80865047119207,20.0000000099254,1.12412796796253,0.274270533059772,"Actinobaculum_sp_oral_taxon_183","Sputum",0.200948426161083
"16","lypma",-0.0635164576012757,0.225907207085533,18.1271913442622,-0.281161714230866,0.781770556554347,"Actinomyces_georgiae","BAL",0.348824233491027
"17","benzonase",-0.17920787075431,0.21660753899835,18.3290526752499,-0.827339027916639,0.418686583222923,"Actinomyces_georgiae","BAL",0.239009580760037
"18","host_zero",-0.206889522567205,0.21660753899835,18.3290526753066,-0.955135373052649,0.351937786642813,"Actinomyces_georgiae","BAL",0.218700155734056
"19","molysis",-0.56834734260778,0.21660753899835,18.3290526749461,-2.62385762395883,0.0170411633963462,"Actinomyces_georgiae","BAL",0.0233537115947474
"20","qiaamp",-0.225264527201329,0.21660753899835,18.3290526747348,-1.03996623683096,0.311880397672808,"Actinomyces_georgiae","BAL",0.209790180385769
"21","lypma",0.18919081265888,0.0576920518748371,24.5343087595638,3.27932196048998,0.00310738621560169,"Actinomyces_georgiae","Nasal",0.00567171215823066
"22","benzonase",0.0319509713163025,0.0577575884048043,24.7601113929566,0.553190882769696,0.585093529682793,"Actinomyces_georgiae","Nasal",0.294305628039275
"23","host_zero",-0.196084341985533,0.0577575884048043,24.7601113922353,-3.39495376107537,0.0023165871611227,"Actinomyces_georgiae","Nasal",0.00567171215823066
"24","molysis",-0.138449272969873,0.0576920518748371,24.5343087595197,-2.39979803925572,0.0243334412259409,"Actinomyces_georgiae","Nasal",0.0277437051830165
"25","qiaamp",-0.121439595538408,0.0577575884048043,24.760111393067,-2.10257385899282,0.0458402847501558,"Actinomyces_georgiae","Nasal",0.0430466327106938
"26","lypma",-1.62142844627282,1.26217011526335,19.9999956435204,-1.28463542803382,0.213600236854566,"Actinomyces_georgiae","Sputum",0.164713778577859
"27","benzonase",-2.70184247518341,1.26217011526335,19.9999956441668,-2.1406325839205,0.044808384700193,"Actinomyces_georgiae","Sputum",0.0430466327106938
"28","host_zero",0.332163172575829,1.26217011526335,19.9999956463597,0.263168307155271,0.795113009150896,"Actinomyces_georgiae","Sputum",0.353892242301571
"29","molysis",1.76278652985794,1.26217011526335,19.9999956463596,1.39663149090655,0.177831862872344,"Actinomyces_georgiae","Sputum",0.140694664447669
"30","qiaamp",-0.159518580369557,1.26217011526335,19.9999956463597,-0.126384374372763,0.900689609267597,"Actinomyces_georgiae","Sputum",0.386417879133791
"31","lypma",-0.0635164576012757,0.225907207085533,18.1271913442622,-0.281161714230866,0.781770556554347,"Actinomyces_graevenitzii","BAL",0.348824233491027
"32","benzonase",-0.17920787075431,0.21660753899835,18.3290526752499,-0.827339027916639,0.418686583222923,"Actinomyces_graevenitzii","BAL",0.239009580760037
"33","host_zero",-0.206889522567205,0.21660753899835,18.3290526753066,-0.955135373052649,0.351937786642813,"Actinomyces_graevenitzii","BAL",0.218700155734056
"34","molysis",-0.56834734260778,0.21660753899835,18.3290526749461,-2.62385762395883,0.0170411633963462,"Actinomyces_graevenitzii","BAL",0.0233537115947474
"35","qiaamp",-0.225264527201329,0.21660753899835,18.3290526747348,-1.03996623683096,0.311880397672808,"Actinomyces_graevenitzii","BAL",0.209790180385769
"36","lypma",0.18919081265888,0.0576920518748371,24.5343087595638,3.27932196048998,0.00310738621560169,"Actinomyces_graevenitzii","Nasal",0.00567171215823066
"37","benzonase",0.0319509713163025,0.0577575884048043,24.7601113929566,0.553190882769696,0.585093529682793,"Actinomyces_graevenitzii","Nasal",0.294305628039275
"38","host_zero",-0.196084341985533,0.0577575884048043,24.7601113922353,-3.39495376107537,0.0023165871611227,"Actinomyces_graevenitzii","Nasal",0.00567171215823066
"39","molysis",-0.138449272969873,0.0576920518748371,24.5343087595197,-2.39979803925572,0.0243334412259409,"Actinomyces_graevenitzii","Nasal",0.0277437051830165
"40","qiaamp",-0.121439595538408,0.0577575884048043,24.760111393067,-2.10257385899282,0.0458402847501558,"Actinomyces_graevenitzii","Nasal",0.0430466327106938
"41","lypma",1.43129863019794,1.36683263952376,20.0000001542415,1.04716450925304,0.307514727636316,"Actinomyces_graevenitzii","Sputum",0.209790180385769
"42","benzonase",1.86498109510042,1.36683263952376,20.0000001541026,1.36445460927113,0.187581736714903,"Actinomyces_graevenitzii","Sputum",0.147103341502919
"43","host_zero",2.35521913158134,1.36683263952376,20.0000001542181,1.72312180985227,0.100293705130538,"Actinomyces_graevenitzii","Sputum",0.0861160930000309
