"","baylor_id","baylor_other_id","sample_type","treated","nephele_description","rownum","nephele_description_numbered"
"1",2180,"NS_8_c_qiaamp","Nasal",1,"host DNA depleted nasal swabs",1,"host DNA depleted nasal swabs_1"
"2",2172,"NS_8_b_lyPMA","Nasal",1,"host DNA depleted nasal swabs",2,"host DNA depleted nasal swabs_2"
"3",2164,"NS_8_a_control","Nasal",0,"Control (untreated) nasal swabs",1,"Control (untreated) nasal swabs_1"
"4",2179,"NS_6_c_qiaamp","Nasal",1,"host DNA depleted nasal swabs",3,"host DNA depleted nasal swabs_3"
"5",2171,"NS_6_b_lyPMA","Nasal",1,"host DNA depleted nasal swabs",4,"host DNA depleted nasal swabs_4"
"6",2163,"NS_6_a_control","Nasal",0,"Control (untreated) nasal swabs",2,"Control (untreated) nasal swabs_2"
"7",2197,"NS_37_c_molysis","Nasal",1,"host DNA depleted nasal swabs",5,"host DNA depleted nasal swabs_5"
"8",2196,"NS_37_b_qiaamp","Nasal",1,"host DNA depleted nasal swabs",6,"host DNA depleted nasal swabs_6"
"9",2195,"NS_37_a_control","Nasal",0,"Control (untreated) nasal swabs",3,"Control (untreated) nasal swabs_3"
"10",2194,"NS_26_d_host_zero","Nasal",1,"host DNA depleted nasal swabs",7,"host DNA depleted nasal swabs_7"
"11",2193,"NS_26_c_benzonase","Nasal",1,"host DNA depleted nasal swabs",8,"host DNA depleted nasal swabs_8"
"12",2192,"NS_26_b_lyPMA","Nasal",1,"host DNA depleted nasal swabs",9,"host DNA depleted nasal swabs_9"
"13",2191,"NS_26_a_control","Nasal",0,"Control (untreated) nasal swabs",4,"Control (untreated) nasal swabs_4"
"14",2190,"NS_23_d_molysis","Nasal",1,"host DNA depleted nasal swabs",10,"host DNA depleted nasal swabs_10"
"15",2186,"NS_23_c_benzonase","Nasal",1,"host DNA depleted nasal swabs",11,"host DNA depleted nasal swabs_11"
"16",2178,"NS_23_b_host_zero","Nasal",1,"host DNA depleted nasal swabs",12,"host DNA depleted nasal swabs_12"
"17",2170,"NS_23_a_control","Nasal",0,"Control (untreated) nasal swabs",5,"Control (untreated) nasal swabs_5"
"18",2189,"NS_22_d_molysis","Nasal",1,"host DNA depleted nasal swabs",13,"host DNA depleted nasal swabs_13"
"19",2185,"NS_22_c_benzonase","Nasal",1,"host DNA depleted nasal swabs",14,"host DNA depleted nasal swabs_14"
"20",2177,"NS_22_b_host_zero","Nasal",1,"host DNA depleted nasal swabs",15,"host DNA depleted nasal swabs_15"
"21",2169,"NS_22_a_control","Nasal",0,"Control (untreated) nasal swabs",6,"Control (untreated) nasal swabs_6"
"22",2188,"NS_21_d_molysis","Nasal",1,"host DNA depleted nasal swabs",16,"host DNA depleted nasal swabs_16"
"23",2184,"NS_21_c_benzonase","Nasal",1,"host DNA depleted nasal swabs",17,"host DNA depleted nasal swabs_17"
"24",2176,"NS_21_b_host_zero","Nasal",1,"host DNA depleted nasal swabs",18,"host DNA depleted nasal swabs_18"
"25",2168,"NS_21_a_control","Nasal",0,"Control (untreated) nasal swabs",7,"Control (untreated) nasal swabs_7"
"26",2187,"NS_19_d_molysis","Nasal",1,"host DNA depleted nasal swabs",19,"host DNA depleted nasal swabs_19"
"27",2183,"NS_19_c_benzonase","Nasal",1,"host DNA depleted nasal swabs",20,"host DNA depleted nasal swabs_20"
"28",2175,"NS_19_b_host_zero","Nasal",1,"host DNA depleted nasal swabs",21,"host DNA depleted nasal swabs_21"
"29",2167,"NS_19_a_control","Nasal",0,"Control (untreated) nasal swabs",8,"Control (untreated) nasal swabs_8"
"30",2182,"NS_18_c_qiaamp","Nasal",1,"host DNA depleted nasal swabs",22,"host DNA depleted nasal swabs_22"
"31",2174,"NS_18_b_lyPMA","Nasal",1,"host DNA depleted nasal swabs",23,"host DNA depleted nasal swabs_23"
"32",2166,"NS_18_a_control","Nasal",0,"Control (untreated) nasal swabs",9,"Control (untreated) nasal swabs_9"
"33",2181,"NS_17_c_qiaamp","Nasal",1,"host DNA depleted nasal swabs",24,"host DNA depleted nasal swabs_24"
"34",2173,"NS_17_b_lyPMA","Nasal",1,"host DNA depleted nasal swabs",25,"host DNA depleted nasal swabs_25"
"35",2165,"NS_17_a_control","Nasal",0,"Control (untreated) nasal swabs",10,"Control (untreated) nasal swabs_10"
"36",2157,"CFB_e_qiaamp","Sputum",1,"host DNA depleted sputum",1,"host DNA depleted sputum_1"
"37",2147,"CFB_e_molysis","Sputum",1,"host DNA depleted sputum",2,"host DNA depleted sputum_2"
"38",2142,"CFB_e_lyPMA","Sputum",1,"host DNA depleted sputum",3,"host DNA depleted sputum_3"
"39",2162,"CFB_e_host_zero","Sputum",1,"host DNA depleted sputum",4,"host DNA depleted sputum_4"
"40",2137,"CFB_e_control","Sputum",0,"Control (untreated) sputum",1,"Control (untreated) sputum_1"
"41",2152,"CFB_e_benzonase","Sputum",1,"host DNA depleted sputum",5,"host DNA depleted sputum_5"
"42",2156,"CFB_d_qiaamp","Sputum",1,"host DNA depleted sputum",6,"host DNA depleted sputum_6"
"43",2146,"CFB_d_molysis","Sputum",1,"host DNA depleted sputum",7,"host DNA depleted sputum_7"
"44",2141,"CFB_d_lyPMA","Sputum",1,"host DNA depleted sputum",8,"host DNA depleted sputum_8"
"45",2161,"CFB_d_host_zero","Sputum",1,"host DNA depleted sputum",9,"host DNA depleted sputum_9"
"46",2136,"CFB_d_control","Sputum",0,"Control (untreated) sputum",2,"Control (untreated) sputum_2"
"47",2151,"CFB_d_benzonase","Sputum",1,"host DNA depleted sputum",10,"host DNA depleted sputum_10"
"48",2155,"CFB_c_qiaamp","Sputum",1,"host DNA depleted sputum",11,"host DNA depleted sputum_11"
"49",2145,"CFB_c_molysis","Sputum",1,"host DNA depleted sputum",12,"host DNA depleted sputum_12"
"50",2140,"CFB_c_lyPMA","Sputum",1,"host DNA depleted sputum",13,"host DNA depleted sputum_13"
"51",2160,"CFB_c_host_zero","Sputum",1,"host DNA depleted sputum",14,"host DNA depleted sputum_14"
"52",2135,"CFB_c_control","Sputum",0,"Control (untreated) sputum",3,"Control (untreated) sputum_3"
"53",2150,"CFB_c_benzonase","Sputum",1,"host DNA depleted sputum",15,"host DNA depleted sputum_15"
"54",2154,"CFB_b_qiaamp","Sputum",1,"host DNA depleted sputum",16,"host DNA depleted sputum_16"
"55",2144,"CFB_b_molysis","Sputum",1,"host DNA depleted sputum",17,"host DNA depleted sputum_17"
"56",2139,"CFB_b_lyPMA","Sputum",1,"host DNA depleted sputum",18,"host DNA depleted sputum_18"
"57",2159,"CFB_b_host_zero","Sputum",1,"host DNA depleted sputum",19,"host DNA depleted sputum_19"
"58",2134,"CFB_b_control","Sputum",0,"Control (untreated) sputum",4,"Control (untreated) sputum_4"
"59",2149,"CFB_b_benzonase","Sputum",1,"host DNA depleted sputum",20,"host DNA depleted sputum_20"
"60",2153,"CFB_a_qiaamp","Sputum",1,"host DNA depleted sputum",21,"host DNA depleted sputum_21"
"61",2143,"CFB_a_molysis","Sputum",1,"host DNA depleted sputum",22,"host DNA depleted sputum_22"
"62",2138,"CFB_a_lyPMA","Sputum",1,"host DNA depleted sputum",23,"host DNA depleted sputum_23"
"63",2158,"CFB_a_host_zero","Sputum",1,"host DNA depleted sputum",24,"host DNA depleted sputum_24"
"64",2133,"CFB_a_control","Sputum",0,"Control (untreated) sputum",5,"Control (untreated) sputum_5"
"65",2148,"CFB_a_benzonase","Sputum",1,"host DNA depleted sputum",25,"host DNA depleted sputum_25"
"66",2227,"BAL_079_f_qiaamp","BAL",1,"host DNA depleted BAL",1,"host DNA depleted BAL_1"
"67",2223,"BAL_079_e_benzonase","BAL",1,"host DNA depleted BAL",2,"host DNA depleted BAL_2"
"68",2219,"BAL_079_d_lyPMA","BAL",1,"host DNA depleted BAL",3,"host DNA depleted BAL_3"
"69",2215,"BAL_079_c_molysis","BAL",1,"host DNA depleted BAL",4,"host DNA depleted BAL_4"
"70",2211,"BAL_079_b_host_zero","BAL",1,"host DNA depleted BAL",5,"host DNA depleted BAL_5"
"71",2207,"BAL_079_a_control","BAL",0,"Control (untreated) BAL",1,"Control (untreated) BAL_1"
"72",2226,"BAL_078_f_qiaamp","BAL",1,"host DNA depleted BAL",6,"host DNA depleted BAL_6"
"73",2222,"BAL_078_e_benzonase","BAL",1,"host DNA depleted BAL",7,"host DNA depleted BAL_7"
"74",2218,"BAL_078_d_lyPMA","BAL",1,"host DNA depleted BAL",8,"host DNA depleted BAL_8"
"75",2214,"BAL_078_c_molysis","BAL",1,"host DNA depleted BAL",9,"host DNA depleted BAL_9"
"76",2210,"BAL_078_b_host_zero","BAL",1,"host DNA depleted BAL",10,"host DNA depleted BAL_10"
"77",2206,"BAL_078_a_control","BAL",0,"Control (untreated) BAL",2,"Control (untreated) BAL_2"
"78",2225,"BAL_074_f_qiaamp","BAL",1,"host DNA depleted BAL",11,"host DNA depleted BAL_11"
"79",2221,"BAL_074_e_benzonase","BAL",1,"host DNA depleted BAL",12,"host DNA depleted BAL_12"
"80",2217,"BAL_074_d_lyPMA","BAL",1,"host DNA depleted BAL",13,"host DNA depleted BAL_13"
"81",2213,"BAL_074_c_molysis","BAL",1,"host DNA depleted BAL",14,"host DNA depleted BAL_14"
"82",2209,"BAL_074_b_host_zero","BAL",1,"host DNA depleted BAL",15,"host DNA depleted BAL_15"
"83",2205,"BAL_074_a_control","BAL",0,"Control (untreated) BAL",3,"Control (untreated) BAL_3"
"84",2224,"BAL_073_f_qiaamp","BAL",1,"host DNA depleted BAL",16,"host DNA depleted BAL_16"
"85",2220,"BAL_073_e_benzonase","BAL",1,"host DNA depleted BAL",17,"host DNA depleted BAL_17"
"86",2216,"BAL_073_d_lyPMA","BAL",1,"host DNA depleted BAL",18,"host DNA depleted BAL_18"
"87",2212,"BAL_073_c_molysis","BAL",1,"host DNA depleted BAL",19,"host DNA depleted BAL_19"
"88",2208,"BAL_073_b_host_zero","BAL",1,"host DNA depleted BAL",20,"host DNA depleted BAL_20"
"89",2204,"BAL_073_a_control","BAL",0,"Control (untreated) BAL",4,"Control (untreated) BAL_4"
"90",2203,"BAL_070_6_host_zero","BAL",1,"host DNA depleted BAL",21,"host DNA depleted BAL_21"
"91",2202,"BAL_070_5_qiaamp","BAL",1,"host DNA depleted BAL",22,"host DNA depleted BAL_22"
"92",2201,"BAL_070_4_benzonase","BAL",1,"host DNA depleted BAL",23,"host DNA depleted BAL_23"
"93",2200,"BAL_070_3_molysis","BAL",1,"host DNA depleted BAL",24,"host DNA depleted BAL_24"
"94",2199,"BAL_070_2_lyPMA","BAL",1,"host DNA depleted BAL",25,"host DNA depleted BAL_25"
"95",2198,"BAL_070_1_control","BAL",0,"Control (untreated) BAL",5,"Control (untreated) BAL_5"
"96",2228,"20220606_Pos","Mock",0,"Control (untreated) positive mock community",1,"Control (untreated) positive mock community_1"
"97",2229,"20220606_Neg","Neg.",0,"Control (untreated) negative reagent only controls",1,"Control (untreated) negative reagent only controls_1"
"98",2738,"POS_EXT_20230119_5","Mock",0,"Control (untreated) positive mock community",2,"Control (untreated) positive mock community_2"
"99",2724,"hostzero_neg_5","Neg.",1,"host DNA depleted negative reagent only controls",1,"host DNA depleted negative reagent only controls_1"
"100",2723,"hostzero_neg_4","Neg.",1,"host DNA depleted negative reagent only controls",2,"host DNA depleted negative reagent only controls_2"
"101",2722,"hostzero_neg_3","Neg.",1,"host DNA depleted negative reagent only controls",3,"host DNA depleted negative reagent only controls_3"
"102",2721,"hostzero_neg_2","Neg.",1,"host DNA depleted negative reagent only controls",4,"host DNA depleted negative reagent only controls_4"
"103",2720,"hostzero_neg_1","Neg.",1,"host DNA depleted negative reagent only controls",5,"host DNA depleted negative reagent only controls_5"
"104",2719,"hostzero_pos_5","Mock",1,"host DNA depleted positive mock community",1,"host DNA depleted positive mock community_1"
"105",2718,"POS_EXT_20230119_4","Mock",0,"Control (untreated) positive mock community",3,"Control (untreated) positive mock community_3"
"106",2717,"N_EXT_20230119_5","Neg.",0,"Control (untreated) negative reagent only controls",2,"Control (untreated) negative reagent only controls_2"
"107",2716,"N_EXT_20230119_4","Neg.",0,"Control (untreated) negative reagent only controls",3,"Control (untreated) negative reagent only controls_3"
"108",2715,"hostzero_pos_4","Mock",1,"host DNA depleted positive mock community",2,"host DNA depleted positive mock community_2"
"109",2714,"hostzero_pos_3","Mock",1,"host DNA depleted positive mock community",3,"host DNA depleted positive mock community_3"
"110",2713,"hostzero_pos_2","Mock",1,"host DNA depleted positive mock community",4,"host DNA depleted positive mock community_4"
"111",2712,"hostzero_pos_1","Mock",1,"host DNA depleted positive mock community",5,"host DNA depleted positive mock community_5"
"112",2711,"N_EXT_20230119_3","Neg.",0,"Control (untreated) negative reagent only controls",4,"Control (untreated) negative reagent only controls_4"
"113",2710,"qiaamp_neg_5","Neg.",1,"host DNA depleted negative reagent only controls",6,"host DNA depleted negative reagent only controls_6"
"114",2709,"qiaamp_neg_4","Neg.",1,"host DNA depleted negative reagent only controls",7,"host DNA depleted negative reagent only controls_7"
"115",2708,"qiaamp_neg_3","Neg.",1,"host DNA depleted negative reagent only controls",8,"host DNA depleted negative reagent only controls_8"
"116",2707,"qiaamp_neg_2","Neg.",1,"host DNA depleted negative reagent only controls",9,"host DNA depleted negative reagent only controls_9"
