"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",2.07714627625874,2.85573842726004,23.9999999995068,0.727358730208239,0.474042503582654,"UNMAPPED","BAL",0.353333267018783,0.636899586067927
"2","benzonase",3.85532395279441,2.85573842726004,23.9999999995068,1.35002698986455,0.189603084643781,"UNMAPPED","BAL",0.201705062123722,0.36358272080725
"3","host_zero",2.49324934532188,2.85573842726004,23.9999999995052,0.873066427065608,0.391278720505976,"UNMAPPED","BAL",0.309941733252874,0.558684335838203
"4","molysis",1.92698515743109,2.85573842726004,23.9999999995564,0.674776491795136,0.506266713845601,"UNMAPPED","BAL",0.372048357076774,0.670634403091326
"5","qiaamp",3.61212212358667,2.85573842726004,23.9999999995068,1.26486448797495,0.218064436227047,"UNMAPPED","BAL",0.219859770940368,0.396307424676957
"6","lypma",2.08052865201898,2.5337858965707,19.9999997958815,0.821114623313213,0.421261299656259,"UNINTEGRATED","BAL",0.325115133097305,0.586035092141734
"7","benzonase",3.550568494583,2.5337858965707,19.9999997958717,1.40128986406801,0.176454561963287,"UNINTEGRATED","BAL",0.191417118332861,0.345038225415763
"8","host_zero",3.36373833839495,2.5337858965707,19.9999997950552,1.32755429057662,0.199280354378724,"UNINTEGRATED","BAL",0.207369588954811,0.373793292895273
"9","molysis",3.13428272530861,2.5337858965707,19.9999997918143,1.23699588412369,0.230417049770508,"UNINTEGRATED","BAL",0.226329233458907,0.407968930639599
"10","qiaamp",3.53519528707822,2.5337858965707,19.9999997950602,1.39522257656531,0.178250112687928,"UNINTEGRATED","BAL",0.192565895104812,0.347108948777628
"11","lypma",0.401671488726943,1.04148558146254,19.9999999975558,0.385671675034504,0.703811479782269,"X1CMET2.PWY","BAL",0.470591972421143,0.84826383592684
"12","benzonase",2.99673593106861,1.04148558146254,19.99999999765,2.87736670042069,0.00931236981333825,"X1CMET2.PWY","BAL",0.0258311523653822,0.0465618490666913
"13","host_zero",2.8690107652951,1.04148558146254,19.9999999975199,2.75472922175858,0.012218513251491,"X1CMET2.PWY","BAL",0.030278254158001,0.0545779561115178
"14","molysis",2.87502004710385,1.04148558146254,19.9999999953663,2.76049913534712,0.0120642643330183,"X1CMET2.PWY","BAL",0.0299670274256814,0.0540169555053193
"15","qiaamp",1.97935134787563,1.04148558146254,19.999999997747,1.90050768162922,0.0718784051359548,"X1CMET2.PWY","BAL",0.104134772380812,0.187707752468978
"16","lypma",-1.09530383096027,0.74683961016887,20.0000000113067,-1.46658508205344,0.158037237004559,"ALLANTOINDEG.PWY","BAL",0.181601291553237,0.327344742813331
"17","benzonase",-2.31673513833956,0.74683961016887,20.0000000098383,-3.1020517749664,0.00561867244259208,"ALLANTOINDEG.PWY","BAL",0.020710466694073,0.0373315758689302
"18","host_zero",-2.68020845197199,0.74683961016887,20.0000000104379,-3.58873366580806,0.00183575175892349,"ALLANTOINDEG.PWY","BAL",0.0114269305595694,0.0205975718188737
"19","molysis",-3.10496984417143,0.74683961016887,20.0000000116297,-4.15747879718024,0.000486788777373592,"ALLANTOINDEG.PWY","BAL",0.00591925463615427,0.0106697307598747
"20","qiaamp",-2.3266501848995,0.74683961016887,20.0000000109793,-3.11532778018217,0.00545194540157183,"ALLANTOINDEG.PWY","BAL",0.020508392423597,0.0369673276329601
"21","lypma",-1.0714670274575,0.97241520169912,20.0000001428513,-1.10186165907865,0.283605746208561,"ANAEROFRUCAT.PWY","BAL",0.251978496377697,0.454202915550668
"22","benzonase",0.391696069379266,0.97241520169912,20.0000001429565,0.402807431120829,0.691363130474208,"ANAEROFRUCAT.PWY","BAL",0.466745043377619,0.841329568072229
"23","host_zero",-0.305741373041901,0.97241520169912,20.000000142287,-0.31441443172389,0.756462646064043,"ANAEROFRUCAT.PWY","BAL",0.494415892003744,0.891207554894201
"24","molysis",0.769505289817131,0.97241520169912,20.0000001425443,0.791334080825309,0.438033753446979,"ANAEROFRUCAT.PWY","BAL",0.332900203127165,0.600068041604328
"25","qiaamp",0.423937554004527,0.97241520169912,20.0000001422571,0.435963519763751,0.667532623621653,"ANAEROFRUCAT.PWY","BAL",0.456668669182975,0.82316643668134
"26","lypma",-1.12406249588102,1.07061459559885,20.0000000722491,-1.04992263369274,0.306275654558951,"ANAGLYCOLYSIS.PWY","BAL",0.263053677288308,0.474166442328407
"27","benzonase",1.81047319526402,1.07061459559885,20.0000000722491,1.69105969851955,0.106350772103897,"ANAGLYCOLYSIS.PWY","BAL",0.141801008390206,0.255602888201682
"28","host_zero",1.37263942271279,1.07061459559885,20.0000000722872,1.28210415620666,0.214469160903932,"ANAGLYCOLYSIS.PWY","BAL",0.218677770891257,0.394176814818557
"29","molysis",1.48892721955744,1.07061459559885,20.0000000722859,1.39072195137094,0.179591455935841,"ANAGLYCOLYSIS.PWY","BAL",0.1931187196492,0.348105440634903
"30","qiaamp",0.852126110446832,1.07061459559885,20.0000000722878,0.795922373886746,0.435422964185644,"ANAGLYCOLYSIS.PWY","BAL",0.332232822363859,0.598865056854305
"31","lypma",-1.09530383096027,0.87767810419335,20.0000000684654,-1.24795619912033,0.226460833193388,"ARG.POLYAMINE.SYN","BAL",0.224102870833281,0.403955808844807
"32","benzonase",-2.31673513833955,0.87767810419335,20.0000000682497,-2.6396182464513,0.0157171991593745,"ARG.POLYAMINE.SYN","BAL",0.0342124698159819,0.0616695621332535
"33","host_zero",-2.43064040400614,0.87767810419335,20.000000068034,-2.76939847581144,0.0118299884192901,"ARG.POLYAMINE.SYN","BAL",0.0298819472877654,0.0538635946144004
"34","molysis",-1.57420669240818,0.87767810419335,20.0000000678183,-1.79360369694421,0.0880119206078648,"ARG.POLYAMINE.SYN","BAL",0.123045239917932,0.221794746451638
"35","qiaamp",-2.3266501848995,0.87767810419335,20.000000068034,-2.65091515190283,0.0153357729360247,"ARG.POLYAMINE.SYN","BAL",0.0342010077981883,0.0616489013150695
"36","lypma",0.256580889263299,0.888818320698552,20.0000000079489,0.288676418215191,0.775799777333378,"ARGININE.SYN4.PWY","BAL",0.499317084342817,0.900042181190029
"37","benzonase",1.20150333052161,0.888818320698552,20.0000000078263,1.35179856506255,0.191531175952108,"ARGININE.SYN4.PWY","BAL",0.202579854249779,0.365159574149372
"38","host_zero",0.775413559038343,0.888818320698552,20.0000000080439,0.872409513823837,0.393338469331773,"ARGININE.SYN4.PWY","BAL",0.31043841834341,0.559579633728598
"39","molysis",0.325715517272057,0.888818320698553,20.000000007984,0.36645904982704,0.717870737563705,"ARGININE.SYN4.PWY","BAL",0.477549754204902,0.860805559992101
"40","qiaamp",1.52417070413864,0.888818320698552,20.0000000075184,1.71482818101763,0.101831465468341,"ARGININE.SYN4.PWY","BAL",0.137052162318361,0.247042873111742
"41","lypma",0.0146955464897412,0.927120194408726,20.0000000059983,0.0158507457591443,0.987510523330308,"ARGORNPROST.PWY","BAL",0.551351895425432,0.993837339283305
"42","benzonase",0.150029891101504,0.927120194408726,20.000000006059,0.161823560748977,0.873068454153895,"ARGORNPROST.PWY","BAL",0.523044280403697,0.942811551527647
"43","host_zero",0.387501494980132,0.927120194408726,20.0000000059671,0.417962522353709,0.6804278510571,"ARGORNPROST.PWY","BAL",0.462647972421846,0.833944407830061
"44","molysis",-0.279639096436591,0.927120194408726,20.000000005968,-0.301621190135904,0.766054679747409,"ARGORNPROST.PWY","BAL",0.496957957908821,0.895789746478825
"45","qiaamp",0.999086238886032,0.927120194408726,20.0000000060001,1.07762320884748,0.294028708662996,"ARGORNPROST.PWY","BAL",0.257528319086687,0.464206728143605
"46","lypma",1.73344726088043,1.09965010804485,20.0000000187883,1.5763625613264,0.130628902442187,"ARGSYN.PWY","BAL",0.163990690085036,0.295600817651288
"47","benzonase",2.62574548851784,1.09965010804485,20.0000000188726,2.38780087348542,0.0269310776555456,"ARGSYN.PWY","BAL",0.0488645678870176,0.0880806478348816
"48","host_zero",3.71091730083627,1.09965010804485,20.0000000189296,3.37463459848531,0.00301241622253779,"ARGSYN.PWY","BAL",0.0155182897570941,0.0279724363521367
"49","molysis",3.32604516848543,1.09965010804485,20.0000000190957,3.02463951410785,0.00669377992913369,"ARGSYN.PWY","BAL",0.0220343122798381,0.0397178688797914
"50","qiaamp",1.64892562194249,1.09965010804485,20.0000000186836,1.49950025910899,0.149364377365713,"ARGSYN.PWY","BAL",0.177080163197729,0.319195199458757
"51","lypma",1.80785064928769,0.999539293748197,23.9993234982149,1.80868392127776,0.0830470033280345,"ARGSYNBSUB.PWY","BAL",0.117518014284481,0.211831666134432
"52","benzonase",4.25761107529645,0.999539293748197,23.9993233059084,4.25957348743212,0.000272954093459421,"ARGSYNBSUB.PWY","BAL",0.00591925463615427,0.0106697307598747
"53","host_zero",4.40705624564357,0.999539293748196,23.9993231297646,4.40908753983793,0.000186657168498277,"ARGSYNBSUB.PWY","BAL",0.00591925463615427,0.0106697307598747
"54","molysis",3.98376848696204,0.999539293748196,23.9993232160798,3.98560467995531,0.000546446183735892,"ARGSYNBSUB.PWY","BAL",0.00625057291438807,0.0112669473085576
"55","qiaamp",2.28898262634556,0.999539293748196,23.9993233391002,2.29003766101285,0.0311085369076626,"ARGSYNBSUB.PWY","BAL",0.0536888931065388,0.0967767175859553
"56","lypma",1.81140275679976,1.10305907102485,24.0000000001449,1.64216296695405,0.113596396135095,"ARO.PWY","BAL",0.148862935610155,0.268332339241422
"57","benzonase",4.28168940914125,1.10305907102485,24.0000000001449,3.88165015057908,0.000710209217281952,"ARO.PWY","BAL",0.00700024376039151,0.0126182637456861
"58","host_zero",4.25434595636227,1.10305907102485,24.0000000001449,3.85686140308836,0.000755927563190506,"ARO.PWY","BAL",0.00703447293230567,0.0126799634141253
"59","molysis",2.74046584889595,1.10305907102485,23.9999999998918,2.48442347366744,0.0203467391445403,"ARO.PWY","BAL",0.0401248837149232,0.0723269621473252
"60","qiaamp",2.17872332361025,1.10305907102485,23.9999999999346,1.97516468595466,0.0598592202129287,"ARO.PWY","BAL",0.0890431769942412,0.160504452491281
"61","lypma",0.0639289142748686,1.21298211953549,23.9999999994971,0.0527039213895007,0.958404053585649,"ASPASN.PWY","BAL",0.540876533508987,0.97495501403613
"62","benzonase",2.35819449443615,1.21298211953549,23.9999999994971,1.94412964252038,0.0636922772295997,"ASPASN.PWY","BAL",0.093547395388112,0.168623514856454
"63","host_zero",2.08635926576432,1.21298211953549,23.9999999994982,1.72002474905671,0.0982993944888897,"ASPASN.PWY","BAL",0.134023327298332,0.241583257642187
"64","molysis",0.809517077294708,1.21298211953549,23.9999999994982,0.667377584761686,0.51089758599533,"ASPASN.PWY","BAL",0.374399098602484,0.674871723616817
"65","qiaamp",0.152557245274138,1.21298211953549,23.9999999994972,0.125770399099171,0.900961333366322,"ASPASN.PWY","BAL",0.528420583752967,0.95250258743439
"66","lypma",-1.09530383096027,0.896649023591605,20.0000023433004,-1.22155247163816,0.236080924457285,"BIOTIN.BIOSYNTHESIS.PWY","BAL",0.229016647678913,0.41281311929683
"67","benzonase",-1.19937396118393,0.896649023591605,20.000002343268,-1.33761809763616,0.19603421337263,"BIOTIN.BIOSYNTHESIS.PWY","BAL",0.206238816051826,0.371755022341456
"68","host_zero",-2.11476028385414,0.896649023591605,20.0000023430735,-2.35851512488497,0.028636537473711,"BIOTIN.BIOSYNTHESIS.PWY","BAL",0.0503480114278113,0.0907546235549104
"69","molysis",-0.587511991375077,0.896649023591605,20.0000023434027,-0.655230726758333,0.519785311676689,"BIOTIN.BIOSYNTHESIS.PWY","BAL",0.37984751192825,0.684692741097525
"70","qiaamp",-1.41265172409416,0.896649023591605,20.0000023429095,-1.57547901902091,0.130832595214966,"BIOTIN.BIOSYNTHESIS.PWY","BAL",0.164049466556321,0.295706764964281
"71","lypma",1.57264591080945,1.11220737909358,23.9999999999856,1.41398622268728,0.170207566889621,"BRANCHED.CHAIN.AA.SYN.PWY","BAL",0.187361422572764,0.337727645880985
"72","benzonase",3.23026295724771,1.11220737909358,23.9999999999856,2.90437108939188,0.00777981735545447,"BRANCHED.CHAIN.AA.SYN.PWY","BAL",0.0232597855202115,0.0419268411798428
"73","host_zero",3.09784353018487,1.11220737909358,23.9999999999447,2.78531107454936,0.0102734596991474,"BRANCHED.CHAIN.AA.SYN.PWY","BAL",0.0271297912835095,0.0489027058911436
"74","molysis",3.08442756775268,1.11220737909358,23.9999999999434,2.773248609685,0.0105645907383321,"BRANCHED.CHAIN.AA.SYN.PWY","BAL",0.0277984246473829,0.0501079485117303
"75","qiaamp",0.98776277063665,1.11220737909358,23.9999999999843,0.888110247426742,0.383296031653948,"BRANCHED.CHAIN.AA.SYN.PWY","BAL",0.305044974574585,0.549857701421379
"76","lypma",1.80605330836939,0.986890550845621,20.0000000100043,1.83004417949069,0.0821894132464435,"CALVIN.PWY","BAL",0.116462051264504,0.209928243861173
"77","benzonase",4.36614558844664,0.986890550845621,20.0000000105857,4.42414367500579,0.000261089318193498,"CALVIN.PWY","BAL",0.00591925463615427,0.0106697307598747
"78","host_zero",3.9496333793576,0.98689055084562,20.0000000105386,4.00209868862696,0.000700079496677381,"CALVIN.PWY","BAL",0.00700024376039151,0.0126182637456861
"79","molysis",3.75814729593823,0.98689055084562,20.0000000108683,3.80806898264255,0.00110158624753995,"CALVIN.PWY","BAL",0.0082875969544646,0.0149387775295886
"80","qiaamp",2.04869451335529,0.986890550845621,20.0000000102516,2.07590853068748,0.0510119628892626,"CALVIN.PWY","BAL",0.0781045344953905,0.140787042527467
