"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",-0.546028412925796,0.324147343399429,22.2279875872359,-1.68450682704796,0.106075327710975,"UNMAPPED","Nasal",0.089674125245242,0.199582709717303
"2","benzonase",-0.480426927491109,0.325459754055681,22.5115340553367,-1.47614849917485,0.153756176249683,"UNMAPPED","Nasal",0.12115758276305,0.269653688893173
"3","host_zero",-1.61857856295512,0.325459754055681,22.5115340551997,-4.97320649568919,5.28179862549016e-05,"UNMAPPED","Nasal",0.000731319141354301,0.00162765631112044
"4","molysis",-1.54689551605215,0.324147343399429,22.227987588408,-4.77219865456679,8.92965569327328e-05,"UNMAPPED","Nasal",0.00104454679716171,0.00232478967186942
"5","qiaamp",-1.54974946277054,0.325459754055681,22.5115340549221,-4.76172381825558,8.88226584814575e-05,"UNMAPPED","Nasal",0.00104454679716171,0.00232478967186942
"6","lypma",-0.654064847725223,0.227254517995983,20.5792125214577,-2.87811592699241,0.0091205434039091,"UNINTEGRATED","Nasal",0.0175792050716914,0.0391250583519964
"7","benzonase",-0.219167399316672,0.228686599897335,20.7646533363041,-0.958374471504074,0.348900734098684,"UNINTEGRATED","Nasal",0.221849597585755,0.493758302238999
"8","host_zero",-0.834668885668286,0.228686599897335,20.7646533369324,-3.64983731466119,0.00151763180271737,"UNINTEGRATED","Nasal",0.00616554013505216,0.0137222995335523
"9","molysis",-0.765883418549588,0.227254517995983,20.5792125208581,-3.37015706135763,0.00295452009493851,"UNINTEGRATED","Nasal",0.00915301164284657,0.0203713485998043
"10","qiaamp",-0.922275008355407,0.228686599897335,20.7646533367787,-4.03292107525954,0.000611854996309044,"UNINTEGRATED","Nasal",0.00364137026020213,0.00810439512654962
"11","lypma",-0.773611320308513,0.304915917616465,21.1736086265261,-2.53712999424841,0.0191009481371888,"X1CMET2.PWY","Nasal",0.0267838856325465,0.0596114035869628
"12","benzonase",-0.25345143700517,0.306582102869869,21.4058742567764,-0.826700040976461,0.417527412244312,"X1CMET2.PWY","Nasal",0.250462995506573,0.5574415495039
"13","host_zero",-0.709420188126162,0.306582102869869,21.4058742569611,-2.31396477969648,0.0306808340950503,"X1CMET2.PWY","Nasal",0.0360130998642119,0.0801523520476227
"14","molysis",-0.887654999131315,0.304915917616465,21.1736086261563,-2.91114680424077,0.00830472171588144,"X1CMET2.PWY","Nasal",0.0169200651982738,0.0376580474203633
"15","qiaamp",-0.938360824450891,0.306582102869869,21.4058742571828,-3.06071625077601,0.00584824527461155,"X1CMET2.PWY","Nasal",0.0134500761782981,0.02993508598191
"16","lypma",-1.89272037536107,0.754856941308033,20.3348432108939,-2.50738950890657,0.0207443271888641,"ANAEROFRUCAT.PWY","Nasal",0.028375195256961,0.0631530928531952
"17","benzonase",-0.00496927533727622,0.759155146852239,20.5664472438907,-0.00654579680830832,0.99484032625956,"ANAEROFRUCAT.PWY","Nasal",0.448429963396499,0.998045612023998
"18","host_zero",-0.405192011356857,0.759155146852239,20.5664472443366,-0.533740715632298,0.599242882181064,"ANAEROFRUCAT.PWY","Nasal",0.324210091810973,0.721576357331266
"19","molysis",-0.272660396526085,0.754856941308033,20.3348432099101,-0.361208040365387,0.721669605224104,"ANAEROFRUCAT.PWY","Nasal",0.366756504788775,0.816269540762255
"20","qiaamp",0.44116247362755,0.759155146852239,20.5664472444397,0.581122943652278,0.567472284896954,"ANAEROFRUCAT.PWY","Nasal",0.311492336486068,0.693271157115211
"21","lypma",-0.978900248115334,0.266395484153794,21.1341067726433,-3.67461277065117,0.00139908431602272,"ANAGLYCOLYSIS.PWY","Nasal",0.00582341130454368,0.0129608424367749
"22","benzonase",-0.160689122950467,0.267983842793461,21.3347445336531,-0.599622429753394,0.555073256230134,"ANAGLYCOLYSIS.PWY","Nasal",0.306172636021037,0.681431395859758
"23","host_zero",-0.789617526668721,0.267983842793461,21.3347445333793,-2.94651169427887,0.00762199257419951,"ANAGLYCOLYSIS.PWY","Nasal",0.016009846960433,0.035632225346877
"24","molysis",-0.751732811011776,0.266395484153794,21.134106772004,-2.82186769569183,0.0101755319499147,"ANAGLYCOLYSIS.PWY","Nasal",0.0185084253623708,0.0411931722369203
"25","qiaamp",-1.1538054448631,0.267983842793461,21.334744533653,-4.30550376782363,0.000303487797626851,"ANAGLYCOLYSIS.PWY","Nasal",0.00257378596623835,0.00572833218020681
"26","lypma",-0.933689543104963,0.492319276174267,28.9999999997855,-1.89651226001247,0.0678939638131018,"ARG.POLYAMINE.SYN","Nasal",0.0637109452807827,0.141797905059175
"27","benzonase",-1.11719215463287,0.492319276174267,28.9999999997855,-2.26924316942125,0.0308698823114765,"ARG.POLYAMINE.SYN","Nasal",0.0361724222258769,0.0805069469608454
"28","host_zero",-1.84169607697411,0.492319276174267,28.9999999997855,-3.74085713499912,0.000804651565647659,"ARG.POLYAMINE.SYN","Nasal",0.00426635600377506,0.00949539111224605
"29","molysis",-1.76763184591728,0.492319276174267,28.999999999755,-3.59041770546394,0.00120094218296828,"ARG.POLYAMINE.SYN","Nasal",0.00526011878406287,0.0117071536241593
"30","qiaamp",-1.32644623475828,0.492319276174267,28.999999999755,-2.69428051866236,0.0116076208070562,"ARG.POLYAMINE.SYN","Nasal",0.0201413064083423,0.0448273847024421
"31","lypma",-3.41549230218287,1.06077161196308,23.1508420571027,-3.21981872786181,0.0037734144069785,"ARGININE.SYN4.PWY","Nasal",0.0109405669306043,0.0243498109168271
"32","benzonase",-1.66654605235894,1.06313329315441,23.4512893378322,-1.56757959052731,0.130374870146849,"ARGININE.SYN4.PWY","Nasal",0.106827910422932,0.237760934688094
"33","host_zero",-0.948059262622113,1.06313329315441,23.4512893390132,-0.891759545794242,0.381580768308117,"ARGININE.SYN4.PWY","Nasal",0.235493831187753,0.524125513592947
"34","molysis",0.32645356235286,1.06077161196308,23.150842058429,0.307751035822614,0.761023469671791,"ARGININE.SYN4.PWY","Nasal",0.377703246158785,0.840633093785227
"35","qiaamp",0.615377864290279,1.06313329315441,23.4512893375726,0.578834157722969,0.568219521103469,"ARGININE.SYN4.PWY","Nasal",0.31164745225845,0.693616389656786
