"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",-2.47729472588195,0.521257877399177,20.0000000321896,-4.75253196794348,0.000121666861362306,"UNMAPPED","Sputum",0.000227492816065558,0.0012672084046889
"2","benzonase",-2.94042955018065,0.521257877399177,20.0000000321896,-5.64102659676236,1.60483511185958e-05,"UNMAPPED","Sputum",5.42768321539788e-05,0.000302339471966403
"3","host_zero",-4.09558504151436,0.521257877399177,20.0000000320927,-7.85711874887981,1.53814726475444e-07,"UNMAPPED","Sputum",2.77447438847689e-06,1.54547177553899e-05
"4","molysis",-4.05969635131939,0.521257877399177,20.0000000327511,-7.78826858516806,1.75974455862561e-07,"UNMAPPED","Sputum",3.02990524914233e-06,1.68775500850002e-05
"5","qiaamp",-3.67331944551905,0.521257877399177,20.0000000320927,-7.04702912855174,7.80311056155908e-07,"UNMAPPED","Sputum",8.28649051338274e-06,4.61584264749152e-05
"6","lypma",-1.47787256324392,0.41774916460702,20.0000000059182,-3.53770321631682,0.00206649613354298,"UNINTEGRATED","Sputum",0.00158136271708394,0.00880870069045595
"7","benzonase",-1.57250069534683,0.41774916460702,20.0000000056754,-3.76422223806501,0.00122022413340199,"UNINTEGRATED","Sputum",0.00108755887663836,0.00605805393288989
"8","host_zero",-2.06966451175009,0.41774916460702,20.0000000060885,-4.95432352018474,7.63448746420503e-05,"UNINTEGRATED","Sputum",0.000175233253758092,0.000976105776805037
"9","molysis",-2.01549681165138,0.41774916460702,20.0000000058789,-4.8246579105607,0.00010296511604495,"UNINTEGRATED","Sputum",0.000206362322255616,0.00114950473468172
"10","qiaamp",-1.69759234606223,0.41774916460702,20.0000000057034,-4.06366425091279,0.000606209949496959,"UNINTEGRATED","Sputum",0.000646185301975034,0.00359946067665375
"11","lypma",0.86494467097608,1.0184614765644,19.9999987579172,0.849265967225209,0.405784643233334,"X1CMET2.PWY","Sputum",0.0890547140050987,0.496063497811318
"12","benzonase",0.949524322952269,1.0184614765644,19.9999987579173,0.932312458351711,0.362294234684881,"X1CMET2.PWY","Sputum",0.0811079008623433,0.451797183915543
"13","host_zero",0.653444298757194,1.0184614765644,19.9999987577613,0.641599425990537,0.528418677841458,"X1CMET2.PWY","Sputum",0.110809656155001,0.617245546601522
"14","molysis",0.759321809883151,1.0184614765644,19.9999987561617,0.745557713625643,0.464607474435008,"X1CMET2.PWY","Sputum",0.0999943868757324,0.557001006282879
"15","qiaamp",0.929509036853388,1.0184614765644,19.9999987569318,0.912659985912204,0.372292328769701,"X1CMET2.PWY","Sputum",0.0829539868485103,0.462080478649453
