"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"1","Nasal",0.118088737246458,0.746153564613223,86.9999999969182,0.158263315819808,0.874616090237794,"UNMAPPED","sample_type",0.254436502914,0.909343493820766
"2","Sputum",-1.35113705236456,0.768655696166631,86.9999999971679,-1.75779228476784,0.0823001586747569,"UNMAPPED","sample_type",0.0401594536615054,0.143527903756914
"3","lypma",-0.144389353157911,1.02240765325836,86.9999999975341,-0.141224836001325,0.88801882069259,"UNMAPPED","lypma",0.25674743707527,0.917602658367254
"4","benzonase",0.376402364220288,1.02240765325836,86.9999999975341,0.368152921215637,0.713653452828909,"UNMAPPED","benzonase",0.217728476109146,0.778150819170325
"5","host_zero",-0.766839289055438,1.02240765325836,86.9999999975341,-0.750032813830728,0.455258496998269,"UNMAPPED","host_zero",0.153737410142733,0.549449910170325
"6","molysis",-0.918731191675201,1.02240765325836,86.9999999975341,-0.898595769258235,0.371348278836832,"UNMAPPED","molysis",0.131132149032578,0.468659823523099
"7","qiaamp",-0.238691607197646,1.02240765325836,86.9999999975341,-0.233460309532063,0.815952425175063,"UNMAPPED","qiaamp",0.242287538050793,0.865923693483593
"8","Nasal",1.63799079462737,0.73223447228885,21.3158886890525,2.23697580026145,0.0360941112390499,"UNINTEGRATED","sample_type",0.0208217116023915,0.0744157688028234
"9","Sputum",-0.0113942531389325,0.770840578627269,15.1472017910938,-0.0147815948652102,0.988399364588087,"UNINTEGRATED","sample_type",0.27721474814133,0.990751817158426
"10","lypma",0.122573562629785,0.910770712040115,76.6530946609211,0.134582240084578,0.893294938002429,"UNINTEGRATED","lypma",0.257898244817231,0.921715588394217
"11","benzonase",0.69641527989485,0.911203400666535,77.1636687144066,0.764280817417308,0.447030790239096,"UNINTEGRATED","benzonase",0.151622483192894,0.541891265715947
"12","host_zero",0.338469259567893,0.911203400666535,77.163668715542,0.371453025000024,0.711318134013108,"UNINTEGRATED","host_zero",0.217149954364323,0.776083211029733
"13","molysis",0.310297829779466,0.911090153270597,77.0255782619595,0.340578622944799,0.734347981098663,"UNINTEGRATED","molysis",0.222805125474394,0.796294513246556
"14","qiaamp",0.578430695399855,0.9106754450742,76.5534857593087,0.635166676040908,0.527213704022807,"UNINTEGRATED","qiaamp",0.17227217687866,0.615692250981375
"15","Nasal",3.19565291935216,0.505793252243852,18.9205729821947,6.3181011315894,4.69058546746949e-06,"X1CMET2.PWY","sample_type",1.31058340276695e-05,4.68396034675273e-05
"16","Sputum",0.597945068523778,0.530967573552677,13.1610445009539,1.12614234523392,0.280221449649942,"X1CMET2.PWY","sample_type",0.10484694893633,0.374717816705866
"17","lypma",0.142796536336756,0.637908339292387,75.1664690918654,0.223851182906867,0.823480407964885,"X1CMET2.PWY","lypma",0.24422960375282,0.872864540376572
"18","benzonase",1.48603323441582,0.63816809422766,75.7413338657798,2.32859218105269,0.0225507526524142,"X1CMET2.PWY","benzonase",0.0144085988697926,0.0514956206647273
"19","host_zero",1.26821111698537,0.63816809422766,75.7413338656674,1.98726813273267,0.0505084465441186,"X1CMET2.PWY","host_zero",0.0271658409870341,0.097089373862675
"20","molysis",1.25544113585866,0.638100499413356,75.5872730937281,1.96746615464627,0.0527986619133773,"X1CMET2.PWY","molysis",0.028107232019794,0.100453858914849
"21","qiaamp",0.914242815986275,0.637850134061307,75.0503282414117,1.43331915628069,0.155919549757704,"X1CMET2.PWY","qiaamp",0.0665890607374652,0.237986013986824
"22","Nasal",-0.964739484087604,0.38202224802365,18.4966107710466,-2.5253489530481,0.0208781587333023,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","sample_type",0.0135413892934237,0.0483962564735892
"23","Sputum",-2.22383862565043,0.424780825629161,16.0050196355151,-5.23526131942657,8.16053433546154e-05,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","sample_type",0.000126514059056618,0.000452154998054178
"24","lypma",-0.796510332144345,0.309597578061536,73.7702907144623,-2.5727279170964,0.012100182683306,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","lypma",0.00901356917191211,0.0322140510056928
"25","benzonase",-1.30297821564068,0.3103200932295,74.2110572115104,-4.19882000575789,7.36938460814474e-05,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","benzonase",0.000116253103108079,0.000415482848322036
"26","host_zero",-1.9352230309383,0.3103200932295,74.2110572129159,-6.23621567910234,2.49161399916072e-08,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","host_zero",1.35409846696797e-07,4.8394810368314e-07
"27","molysis",-1.80540098876316,0.310111662755118,74.0752580904427,-5.82177713899398,1.39735094662569e-07,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","molysis",6.55034101557769e-07,2.34105952432313e-06
"28","qiaamp",-1.4803549403449,0.309494009668513,73.7378636373015,-4.78314569619766,8.62223016832338e-06,"X3.HYDROXYPHENYLACETATE.DEGRADATION.PWY","qiaamp",2.30493541104031e-05,8.23772530946571e-05
"29","Nasal",-0.97029690114122,0.377002299854615,18.304374935863,-2.5737161325419,0.018958770138789,"AEROBACTINSYN.PWY","sample_type",0.0124847859412762,0.0446200082827024
"30","Sputum",-2.33144122664861,0.421109376134984,16.1090728356607,-5.53642677835149,4.40301343023213e-05,"AEROBACTINSYN.PWY","sample_type",7.2826543558539e-05,0.000260278469496164
"31","lypma",-0.782692455084121,0.286952088998986,73.4297821717253,-2.72760675071052,0.00797576932930239,"AEROBACTINSYN.PWY","lypma",0.00638838134183885,0.0228317593690976
"32","benzonase",-1.29801175526608,0.287683588439052,73.8440683407344,-4.51194231241689,2.37656957605722e-05,"AEROBACTINSYN.PWY","benzonase",4.850652764413e-05,0.000173359933876845
"33","host_zero",-1.93025657056371,0.287683588439052,73.8440683400019,-6.70965132573996,3.42921506695998e-09,"AEROBACTINSYN.PWY","host_zero",2.08088457499292e-08,7.43697868816168e-08
"34","molysis",-2.01834277333793,0.287471223470384,73.7157909241792,-7.02102544029371,9.13115646972198e-10,"AEROBACTINSYN.PWY","molysis",1.03811963246098e-08,3.71018828970887e-08
"35","qiaamp",-1.46924010623767,0.286851832391368,73.4026824769826,-5.12194778045937,2.3546027676747e-06,"AEROBACTINSYN.PWY","qiaamp",7.12214431706046e-06,2.54541919991745e-05
"36","Nasal",-0.97029690114122,0.377002299854615,18.304374935863,-2.5737161325419,0.018958770138789,"ALL.CHORISMATE.PWY","sample_type",0.0124847859412762,0.0446200082827024
"37","Sputum",-2.33144122664861,0.421109376134984,16.1090728356607,-5.53642677835149,4.40301343023213e-05,"ALL.CHORISMATE.PWY","sample_type",7.2826543558539e-05,0.000260278469496164
"38","lypma",-0.782692455084121,0.286952088998986,73.4297821717253,-2.72760675071052,0.00797576932930239,"ALL.CHORISMATE.PWY","lypma",0.00638838134183885,0.0228317593690976
