"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",-0.143264898811768,0.689784394619785,21.9999999995434,-0.207695186973223,0.837377580129416,"Actinomyces_naeslundii","BAL",0.760724409330382,0.955336698242019
"2","benzonase",-0.449873322796934,0.654386934431675,21.9999999996617,-0.687472959996738,0.498968944557689,"Actinomyces_naeslundii","BAL",0.682426101487109,0.857007729202137
"3","host_zero",0.144788276111456,0.654386934431675,21.9999999996617,0.221257895739013,0.826932355392787,"Actinomyces_naeslundii","BAL",0.760724409330382,0.955336698242019
"4","molysis",-0.531646820678482,0.654386934431675,21.9999999996617,-0.812434956605926,0.42524661409782,"Actinomyces_naeslundii","BAL",0.649915467196739,0.816180063309235
"5","qiaamp",-0.00589510335255292,0.654386934431675,21.9999999996617,-0.00900858963156519,0.992893475543315,"Actinomyces_naeslundii","BAL",0.79256939388341,0.99532842458249
"6","lypma",-0.143264898811766,0.405042764892363,17.9897888093743,-0.353703142555422,0.727672729554802,"Actinomyces_odontolyticus","BAL",0.760724409330382,0.955336698242019
"7","benzonase",-0.605940063587163,0.389530031033738,17.9948982366983,-1.55556700462636,0.137222851538605,"Actinomyces_odontolyticus","BAL",0.507996475147207,0.637954651294682
"8","host_zero",-0.516212231116819,0.389530031033738,17.9948982366277,-1.32521805763445,0.201680026120288,"Actinomyces_odontolyticus","BAL",0.565290877581487,0.709906391738366
"9","molysis",-0.619111268934167,0.389530031033738,17.9948982367938,-1.58938007242,0.129389356315171,"Actinomyces_odontolyticus","BAL",0.507996475147207,0.637954651294682
"10","qiaamp",-0.400675070743282,0.389530031033738,17.9948982372361,-1.02861150314898,0.317290790389708,"Actinomyces_odontolyticus","BAL",0.635166873756708,0.797658411594239
"11","lypma",-0.143264898811768,0.7865097604883,18.1754891985509,-0.182152728432541,0.857479071024321,"Actinomyces_oris","BAL",0.760724409330382,0.955336698242019
"12","benzonase",-0.384028855214301,0.752530790673804,18.4991653038448,-0.510316468074944,0.615865011207515,"Actinomyces_oris","BAL",0.745550772984637,0.936281267038452
"13","host_zero",-0.44646635874783,0.752530790673804,18.4991653034273,-0.593286499743181,0.560173882531441,"Actinomyces_oris","BAL",0.72521224275137,0.910739633193354
"14","molysis",-0.501613512650143,0.752530790673804,18.4991653038014,-0.666568755546874,0.513275892023242,"Actinomyces_oris","BAL",0.690793904408996,0.867516224942364
"15","qiaamp",-0.487912202533687,0.752530790673804,18.4991653035184,-0.648361779451998,0.524718065776585,"Actinomyces_oris","BAL",0.69896775533625,0.877781150927372
"16","lypma",-0.143264898811767,0.986489392890195,17.7380440738847,-0.145227003801868,0.886169140399425,"Actinomyces_sp_HMSC035G02","BAL",0.760724409330382,0.955336698242019
"17","benzonase",-1.06538309244109,0.946761559019457,17.8921912196892,-1.12529187765554,0.275334543849189,"Actinomyces_sp_HMSC035G02","BAL",0.624434686390099,0.784180662861613
"18","host_zero",0.377815636604603,0.946761559019458,17.8921912197396,0.399061023343511,0.694571025704644,"Actinomyces_sp_HMSC035G02","BAL",0.760724409330382,0.955336698242019
"19","molysis",-0.292775315222433,0.946761559019457,17.8921912197648,-0.309238701585703,0.760712146489413,"Actinomyces_sp_HMSC035G02","BAL",0.760724409330382,0.955336698242019
"20","qiaamp",-1.16926643976048,0.946761559019457,17.892191219764,-1.23501680927082,0.232797227937214,"Actinomyces_sp_HMSC035G02","BAL",0.584950455214223,0.734595379963448
"21","lypma",-0.143264898811766,0.33816774058486,17.994404533852,-0.423650400727135,0.676841603577956,"Actinomyces_sp_HPA0247","BAL",0.760724409330382,0.955336698242019
"22","benzonase",-0.601228057726733,0.325226607786935,17.9972193683117,-1.84864350988347,0.0810075327113851,"Actinomyces_sp_HPA0247","BAL",0.460753093547163,0.578625233652751
"23","host_zero",-0.565025823687593,0.325226607786935,17.9972193683833,-1.73732963465818,0.0994118125844333,"Actinomyces_sp_HPA0247","BAL",0.48797608310434,0.612812543328698
"24","molysis",-0.947253377794883,0.325226607786935,17.9972193676755,-2.91259495722274,0.00929019230629353,"Actinomyces_sp_HPA0247","BAL",0.338704633953794,0.425353732195229
"25","qiaamp",-0.471506752883939,0.325226607786935,17.9972193681544,-1.4497791435098,0.164323605919841,"Actinomyces_sp_HPA0247","BAL",0.509610528058077,0.639981619221234
"26","lypma",-0.143264898811768,0.884225372585492,17.9406064642118,-0.162023057982218,0.87309851849536,"Actinomyces_sp_S6_Spd3","BAL",0.760724409330382,0.955336698242019
"27","benzonase",1.05068996428397,0.847792625169947,18.1526124074659,1.23932425582654,0.231010166279534,"Actinomyces_sp_S6_Spd3","BAL",0.584950455214223,0.734595379963448
"28","host_zero",0.815963226165913,0.847792625169947,18.1526124075606,0.962456150172746,0.348467200490701,"Actinomyces_sp_S6_Spd3","BAL",0.639224234294345,0.802753746214848
"29","molysis",0.264379677293919,0.847792625169947,18.1526124066434,0.311844747695136,0.758711895150499,"Actinomyces_sp_S6_Spd3","BAL",0.760724409330382,0.955336698242019
"30","qiaamp",0.763325769740002,0.847792625169947,18.1526124069045,0.900368494697612,0.379714239926668,"Actinomyces_sp_S6_Spd3","BAL",0.639224234294345,0.802753746214848
"31","lypma",-0.143264898811768,0.605048327688557,18.1669549052222,-0.236782571334553,0.815474853748422,"Actinomyces_sp_oral_taxon_181","BAL",0.760724409330382,0.955336698242019
"32","benzonase",-0.446186084693509,0.579831489878958,18.399485089405,-0.769509922247672,0.451357186848899,"Actinomyces_sp_oral_taxon_181","BAL",0.651531361031527,0.818209343113987
"33","host_zero",0.16111802945022,0.579831489878957,18.3994850901758,0.277870436950319,0.784210134138413,"Actinomyces_sp_oral_taxon_181","BAL",0.760724409330382,0.955336698242019
"34","molysis",0.777796881152683,0.579831489878958,18.3994850898542,1.34141883414275,0.196108164301136,"Actinomyces_sp_oral_taxon_181","BAL",0.557710131066025,0.700386301075486
"35","qiaamp",0.393782624466402,0.579831489878958,18.3994850900354,0.679132871083987,0.505507756171187,"Actinomyces_sp_oral_taxon_181","BAL",0.687491782562357,0.863369337918011
"36","lypma",-0.143264898811766,0.679628016490432,17.9875132172619,-0.210798989058132,0.835413766392954,"Scardovia_wiggsiae","BAL",0.760724409330382,0.955336698242019
"37","benzonase",-0.396696424115527,0.64804920357699,18.5028705828888,-0.612139359057786,0.547894978411341,"Scardovia_wiggsiae","BAL",0.719147669527116,0.903123590787925
"38","host_zero",-0.0747714081538059,0.64804920357699,18.5028705825763,-0.115379214635394,0.909387510441213,"Scardovia_wiggsiae","BAL",0.761357483248453,0.95613172826763
"39","molysis",-0.790545515974501,0.64804920357699,18.5028705827831,-1.21988502047527,0.237829850280454,"Scardovia_wiggsiae","BAL",0.586434781395625,0.736459433825612
"40","qiaamp",-0.00736455847927351,0.64804920357699,18.502870582637,-0.0113641964817237,0.991054515752053,"Scardovia_wiggsiae","BAL",0.79256939388341,0.99532842458249
"41","lypma",-0.143264898811769,0.702199193245194,21.9999999996267,-0.204023160650006,0.840210934132055,"Corynebacterium_tuberculostearicum","BAL",0.760724409330382,0.955336698242019
"42","benzonase",-0.449873322796936,0.666164646536261,21.9999999996794,-0.67531851943219,0.506510011578566,"Corynebacterium_tuberculostearicum","BAL",0.687491782562357,0.863369337918011
"43","host_zero",0.218109214191663,0.666164646536261,21.9999999996794,0.327410371183351,0.746452644413059,"Corynebacterium_tuberculostearicum","BAL",0.760724409330382,0.955336698242019
"44","molysis",-0.52739039770485,0.666164646536261,21.9999999996794,-0.791681756825477,0.436999484196723,"Corynebacterium_tuberculostearicum","BAL",0.649915467196739,0.816180063309235
"45","qiaamp",-0.0531021303767962,0.666164646536261,21.9999999996794,-0.079713222028371,0.937186011269233,"Corynebacterium_tuberculostearicum","BAL",0.77378351386778,0.971736647629389
"46","lypma",-0.143264898811766,0.959277666277029,17.9343872125402,-0.149346642633492,0.882946728935431,"Rothia_mucilaginosa","BAL",0.760724409330382,0.955336698242019
"47","benzonase",-0.250768374098118,0.92219731852641,17.9662437651142,-0.27192485714318,0.788780026693664,"Rothia_mucilaginosa","BAL",0.760724409330382,0.955336698242019
"48","host_zero",0.754664634775321,0.92219731852641,17.9662437649958,0.818333148030846,0.423888462545471,"Rothia_mucilaginosa","BAL",0.649915467196739,0.816180063309235
"49","molysis",0.670648256939609,0.92219731852641,17.9662437648124,0.727228591394352,0.476456285202221,"Rothia_mucilaginosa","BAL",0.666908878908016,0.837520813832028
"50","qiaamp",0.910628861016984,0.92219731852641,17.9662437649532,0.987455550697208,0.336532218388975,"Rothia_mucilaginosa","BAL",0.639224234294345,0.802753746214848
"51","lypma",1.45713546333317,1.35205836507332,18.0676237570267,1.07771639226103,0.295339738709026,"Cutibacterium_acnes","BAL",0.629307244355494,0.79029974275646
"52","benzonase",-0.385464867367698,1.28737048015214,18.6387489356185,-0.299420309313092,0.767932610766314,"Cutibacterium_acnes","BAL",0.760724409330382,0.955336698242019
"53","host_zero",0.549768212184408,1.28737048015214,18.6387489353418,0.427047396736515,0.674237226190815,"Cutibacterium_acnes","BAL",0.760724409330382,0.955336698242019
"54","molysis",0.168431000129858,1.28737048015214,18.6387489360908,0.13083335584171,0.897308942050106,"Cutibacterium_acnes","BAL",0.760724409330382,0.955336698242019
"55","qiaamp",0.0410376622930737,1.28737048015214,18.6387489373057,0.0318771192331705,0.974908925115388,"Cutibacterium_acnes","BAL",0.79036041639538,0.992554335524716
"56","lypma",1.16260371583619,0.770422766393598,18.1888075055586,1.50904641782384,0.148462124216858,"Cutibacterium_granulosum","BAL",0.507996475147207,0.637954651294682
