"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",0.800019754311231,0.636276306289625,24.2307042443094,1.25734644902379,0.22061251071436,"Actinomyces_naeslundii","Nasal",0.291156507636821,0.529902599264885
"2","benzonase",0.123887275660468,0.636282207767192,24.2632742578069,0.19470491889944,0.847245095856142,"Actinomyces_naeslundii","Nasal",0.507380428757521,0.923428468753692
"3","host_zero",-0.444767877561808,0.636282207767192,24.2632742781801,-0.699010395281307,0.491192469986302,"Actinomyces_naeslundii","Nasal",0.431003426156712,0.784422912839024
"4","molysis",0.671144559973756,0.636276306289625,24.2307042394463,1.05480049050932,0.301921158546742,"Actinomyces_naeslundii","Nasal",0.344435635961645,0.626870202067389
"5","qiaamp",0.503201563315522,0.636282207767192,24.2632742535951,0.79084650988644,0.436696138086941,"Actinomyces_naeslundii","Nasal",0.403593418175551,0.734536909627288
"6","lypma",0.798003620577703,0.242877053385827,24.795625207259,3.28562789054436,0.00303163734815327,"Actinomyces_odontolyticus","Nasal",0.0272071170895522,0.0495167433531701
"7","benzonase",0.120131679841528,0.242934136745747,24.9237102822531,0.494503084048896,0.625281693369865,"Actinomyces_odontolyticus","Nasal",0.475553063251513,0.865502908901791
"8","host_zero",-0.824586046694647,0.242934136745747,24.9237102847906,-3.39427820947886,0.0023060098613281,"Actinomyces_odontolyticus","Nasal",0.0238789014882948,0.0434594166173373
"9","molysis",0.0300058738412904,0.242877053385827,24.795625205671,0.123543469516752,0.9026727619207,"Actinomyces_odontolyticus","Nasal",0.51935558042275,0.945223152463497
"10","qiaamp",-0.490870265904538,0.242934136745747,24.9237102843419,-2.0205899116528,0.0541907335132795,"Actinomyces_odontolyticus","Nasal",0.150684069454771,0.274243844727981
"11","lypma",0.351097051781752,0.523933602839231,24.4058611245769,0.670117453584068,0.509074461801652,"Actinomyces_oris","Nasal",0.431003426156712,0.784422912839024
"12","benzonase",-0.315488452474677,0.524249724106797,24.6005888281739,-0.601790402488428,0.552819931270015,"Actinomyces_oris","Nasal",0.451020502431662,0.820853837340325
"13","host_zero",-0.97108399135559,0.524249724106797,24.6005888302066,-1.85233095355481,0.0760149232477758,"Actinomyces_oris","Nasal",0.173437652117182,0.315655189757713
"14","molysis",0.117349146271359,0.523933602839231,24.4058611243629,0.223977133047844,0.824639466099514,"Actinomyces_oris","Nasal",0.507380428757521,0.923428468753692
"15","qiaamp",-0.820965132012399,0.524249724106797,24.6005888288091,-1.56598104731698,0.130127275575048,"Actinomyces_oris","Nasal",0.230790531533583,0.42003698814082
"16","lypma",0.78410318742595,0.195195216388056,24.2932225561779,4.01702050867436,0.000495396576382704,"Actinomyces_sp_ICM47","Nasal",0.00952689759329784,0.0173388801733946
"17","benzonase",0.1214349971717,0.195425310129237,24.5307979526375,0.621388279191644,0.540076235352004,"Actinomyces_sp_ICM47","Nasal",0.446029927037178,0.811771028596571
"18","host_zero",-0.823282729364475,0.195425310129237,24.5307979525616,-4.21277432703076,0.00029590582414917,"Actinomyces_sp_ICM47","Nasal",0.00796672901197537,0.0144993853833093
"19","molysis",-0.235810245826777,0.195195216388056,24.2932225568222,-1.20807389745647,0.23864817304973,"Actinomyces_sp_ICM47","Nasal",0.308800964418645,0.562015374580105
"20","qiaamp",-0.492173583234707,0.195425310129237,24.5307979533368,-2.51847410608803,0.0186959183539989,"Actinomyces_sp_ICM47","Nasal",0.0955894335778545,0.173972032177093
"21","lypma",0.782079377870557,0.473005407501935,23.8424944700484,1.65342587096609,0.111352692973215,"Actinomyces_sp_oral_taxon_448","Nasal",0.214140701261978,0.389734425406251
"22","benzonase",0.129485489896273,0.473128363662739,23.9999807829666,0.273679406776327,0.786672561800977,"Actinomyces_sp_oral_taxon_448","Nasal",0.501938092689715,0.913523459067285
"23","host_zero",-0.815232236639903,0.473128363662739,23.9999807833587,-1.72306777452266,0.0977388526886064,"Actinomyces_sp_oral_taxon_448","Nasal",0.20275753132006,0.369017143869064
"24","molysis",-0.571864427730389,0.473005407501935,23.842494465797,-1.20900188171326,0.238515387334443,"Actinomyces_sp_oral_taxon_448","Nasal",0.308800964418645,0.562015374580105
"25","qiaamp",0.532589835952536,0.473128363662739,23.99998078474,1.1256772513689,0.271433448382976,"Actinomyces_sp_oral_taxon_448","Nasal",0.320519937096172,0.583343814507273
"26","lypma",0.266945626249389,0.640971970171936,22.1939147243454,0.416470046541633,0.681066263441494,"Aeriscardovia_aeriphila","Nasal",0.477512423754795,0.869068929912323
"27","benzonase",0.711457255665268,0.644054607457679,22.4414286530043,1.10465362319765,0.281013262294012,"Aeriscardovia_aeriphila","Nasal",0.328946683702306,0.598680428365504
"28","host_zero",0.658764608442779,0.644054607457679,22.4414286525472,1.02283967976437,0.317283894151136,"Aeriscardovia_aeriphila","Nasal",0.355928953048155,0.64778795055857
"29","molysis",-0.430827124623604,0.640971970171936,22.1939147241758,-0.672146590915727,0.508427883684678,"Aeriscardovia_aeriphila","Nasal",0.431003426156712,0.784422912839024
"30","qiaamp",2.34614290191237,0.644054607457679,22.4414286528097,3.64277015449584,0.00140089530061047,"Aeriscardovia_aeriphila","Nasal",0.0171438962290294,0.0312017589681422
"31","lypma",-3.10826603063402,0.95509116466794,22.129169866668,-3.25441815987763,0.00361482638231825,"Corynebacterium_accolens","Nasal",0.0304133315642673,0.0553520289792482
"32","benzonase",0.320972732452639,0.959060821226557,22.410747954379,0.334674011646251,0.740983118130642,"Corynebacterium_accolens","Nasal",0.494095550715427,0.899250093135161
"33","host_zero",-0.94120043020343,0.959060821226557,22.4107479543146,-0.98137720713032,0.336883343330306,"Corynebacterium_accolens","Nasal",0.364191103805464,0.66282500124087
"34","molysis",-0.331940050996339,0.95509116466794,22.1291698662828,-0.347548028163097,0.731463556325728,"Corynebacterium_accolens","Nasal",0.494095550715427,0.899250093135161
"35","qiaamp",-0.869806694439832,0.959060821226557,22.4107479542168,-0.906935905615896,0.374089669365457,"Corynebacterium_accolens","Nasal",0.374668167992493,0.681893177289665
"36","lypma",-2.01908787941734,1.0432942044592,22.5408865531492,-1.93530058039952,0.0655972124941341,"Corynebacterium_atypicum","Nasal",0.160553298083442,0.292205764746597
"37","benzonase",1.51628842000713,1.04783473603081,22.8014728904133,1.44706829032107,0.161487087606511,"Corynebacterium_atypicum","Nasal",0.241776436395635,0.440031250295316
"38","host_zero",1.5144158476266,1.04783473603081,22.8014728899093,1.44528120280035,0.161983404482467,"Corynebacterium_atypicum","Nasal",0.241776436395635,0.440031250295316
"39","molysis",-0.528061377907347,1.0432942044592,22.54088655327,-0.506148098638269,0.617667379657206,"Corynebacterium_atypicum","Nasal",0.475130766198025,0.864734331520089
"40","qiaamp",0.509383106801122,1.04783473603081,22.8014728904148,0.486129242795159,0.631514894851114,"Corynebacterium_atypicum","Nasal",0.477512423754795,0.869068929912323
"41","lypma",-3.93036426797741,1.36692099611279,21.0448234204038,-2.87534120783459,0.00904341143908101,"Corynebacterium_pseudodiphtheriticum","Nasal",0.0579708317077172,0.105506466789278
"42","benzonase",1.43578026498654,1.37663806842526,21.1672039879292,1.04296132579635,0.308732216207899,"Corynebacterium_pseudodiphtheriticum","Nasal",0.349246067848616,0.635625151016264
"43","host_zero",0.955653457729632,1.37663806842526,21.1672039875874,0.694193687976977,0.495109872642728,"Corynebacterium_pseudodiphtheriticum","Nasal",0.431003426156712,0.784422912839024
"44","molysis",0.43468385232875,1.36692099611279,21.0448234205039,0.318002176837499,0.753617312130264,"Corynebacterium_pseudodiphtheriticum","Nasal",0.497298598307038,0.905079615058405
"45","qiaamp",-1.65283781577983,1.37663806842526,21.1672039877815,-1.20063352430063,0.243157672267311,"Corynebacterium_pseudodiphtheriticum","Nasal",0.308800964418645,0.562015374580105
"46","lypma",-0.32353462210935,1.62692635702619,22.5255014070679,-0.198862487359741,0.844154334953455,"Corynebacterium_pseudogenitalium","Nasal",0.507380428757521,0.923428468753692
"47","benzonase",-0.351619897244607,1.63235806040102,22.8269992615603,-0.215406108362172,0.831363731159325,"Corynebacterium_pseudogenitalium","Nasal",0.507380428757521,0.923428468753692
"48","host_zero",0.763390475374997,1.63235806040102,22.8269992625213,0.467661166930161,0.644460888860821,"Corynebacterium_pseudogenitalium","Nasal",0.477512423754795,0.869068929912323
"49","molysis",-0.860213805426958,1.62692635702619,22.5255014073552,-0.528735551988546,0.602160459699153,"Corynebacterium_pseudogenitalium","Nasal",0.469967633923467,0.855337470584905
"50","qiaamp",-0.594403210941529,1.63235806040102,22.8269992623318,-0.364137762027225,0.719106414881792,"Corynebacterium_pseudogenitalium","Nasal",0.49389386055728,0.898883018602239
"51","lypma",0.808750136509852,0.704949229442635,28.9999999995498,1.14724593308555,0.260657107427795,"Corynebacterium_tuberculostearicum","Nasal",0.31728213556697,0.577451040685544
"52","benzonase",0.126917504908132,0.704949229442635,28.9999999995498,0.180037795074233,0.858375066107708,"Corynebacterium_tuberculostearicum","Nasal",0.511287518287443,0.93053934157694
"53","host_zero",1.44225766656856,0.704949229442635,28.9999999995498,2.04590289106192,0.0499294747694919,"Corynebacterium_tuberculostearicum","Nasal",0.150684069454771,0.274243844727981
"54","molysis",0.0831720392924445,0.704949229442635,28.9999999995814,0.11798302036333,0.906894521182853,"Corynebacterium_tuberculostearicum","Nasal",0.51935558042275,0.945223152463497
"55","qiaamp",-0.497656090971141,0.704949229442635,28.9999999995814,-0.705946003181833,0.485854678717195,"Corynebacterium_tuberculostearicum","Nasal",0.431003426156712,0.784422912839024
"56","lypma",0.959196779706446,1.05368267469104,23.1912914069221,0.910327940988208,0.372014552329485,"Rothia_mucilaginosa","Nasal",0.374668167992493,0.681893177289665
"57","benzonase",1.52883316152225,1.05761374750704,23.4565328796288,1.44554963012343,0.161532664877505,"Rothia_mucilaginosa","Nasal",0.241776436395635,0.440031250295316
"58","host_zero",0.736844915320466,1.05761374750704,23.4565328792654,0.696705122316466,0.492834619777812,"Rothia_mucilaginosa","Nasal",0.431003426156712,0.784422912839024
