"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",-1.93617632113755,1.81360058126766,20.0000000745218,-1.06758695444628,0.298424508922047,"Actinobaculum_sp_oral_taxon_183","Sputum",0.185468460743982,0.421023324268889
"2","benzonase",0.19620938134224,1.81360058126766,20.0000000745218,0.108187758301828,0.914924781091495,"Actinobaculum_sp_oral_taxon_183","Sputum",0.417277599232139,0.947242465198259
"3","host_zero",0.807150522263573,1.81360058126766,20.0000000743652,0.445054181499764,0.661060045056584,"Actinobaculum_sp_oral_taxon_183","Sputum",0.340564765922989,0.773100231179898
"4","molysis",1.56831482576684,1.81360058126766,20.0000000732416,0.864752052886216,0.397428712473827,"Actinobaculum_sp_oral_taxon_183","Sputum",0.230361320386473,0.52293251641293
"5","qiaamp",1.44369585473917,1.81360058126766,20.0000000743959,0.796038482591388,0.435357022635592,"Actinobaculum_sp_oral_taxon_183","Sputum",0.246758563662107,0.560155135531352
"6","lypma",-1.93617632113755,1.27529130662792,19.9999899171051,-1.51822278649191,0.144608025339824,"Actinomyces_georgiae","Sputum",0.109388088719701,0.248316811189596
"7","benzonase",-3.22631777918961,1.27529130662792,19.9999899171101,-2.52986730358926,0.0199191314287183,"Actinomyces_georgiae","Sputum",0.0249449160214854,0.0566262933592325
"8","host_zero",-0.375998281654276,1.27529130662792,19.9999899184112,-0.294833250803282,0.771159932882517,"Actinomyces_georgiae","Sputum",0.378444986546501,0.859090357732818
"9","molysis",1.01496095559414,1.27529130662792,19.9999899174227,0.795865972205095,0.435455003290952,"Actinomyces_georgiae","Sputum",0.246758563662107,0.560155135531352
"10","qiaamp",-0.748977304566021,1.27529130662792,19.9999899154659,-0.587298996451593,0.56357513982914,"Actinomyces_georgiae","Sputum",0.30319736680121,0.6882742368603
"11","lypma",1.11655075533319,1.33739125558784,20.0000000435574,0.834872181695565,0.413651735462802,"Actinomyces_graevenitzii","Sputum",0.237323627060738,0.538737324889909
"12","benzonase",1.34050579109421,1.33739125558784,20.0000000438183,1.00232881402009,0.328158444379898,"Actinomyces_graevenitzii","Sputum",0.198828184307554,0.451350611202125
"13","host_zero",1.64705767735122,1.33739125558784,20.000000043844,1.23154512224418,0.232404136703633,"Actinomyces_graevenitzii","Sputum",0.154567540558331,0.350876582945095
"14","molysis",2.09632705565999,1.33739125558784,20.0000000440768,1.5674747736694,0.13269002422129,"Actinomyces_graevenitzii","Sputum",0.102021604525291,0.231594498127508
"15","qiaamp",1.89060361844898,1.33739125558784,20.0000000438929,1.41365035142089,0.17284150638416,"Actinomyces_graevenitzii","Sputum",0.121881098274277,0.27667661097276
"16","lypma",-1.93617632113755,1.19093303945044,19.9999872557482,-1.62576421763477,0.119654332921226,"Actinomyces_hongkongensis","Sputum",0.0937787103496821,0.212882687539927
