"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","FOLSYN.PWY","log10.Final_reads","log10.Final_reads",0.693963878403105,0.103206080369909,27,8,2.6886567885017e-06,0.0017314949717951
"2","PWY.6612","log10.Final_reads","log10.Final_reads",0.692232103327458,0.10279222623215,27,8,2.63906386415345e-06,0.0017314949717951
"3","PWY.841","log10.Final_reads","log10.Final_reads",1.58266042509255,0.244039362160574,27,16,2.53384042271398e-06,0.0017314949717951
"4","TRNA.CHARGING.PWY","log10.Final_reads","log10.Final_reads",1.19397340554465,0.202329477920593,27,15,9.00437306111786e-06,0.00434911218851992
"5","PWY.5189","log10.Final_reads","log10.Final_reads",1.29859286640588,0.238680347320636,27,14,2.51728137383406e-05,0.00972677522849482
"6","DENOVOPURINE2.PWY","log10.Final_reads","log10.Final_reads",1.16859506179258,0.207865474210682,27,15,3.26285310210943e-05,0.0105063869887923
"7","GLCMANNANAUT.PWY","log10.Final_reads","log10.Final_reads",1.23417083039444,0.240692310751858,27,14,6.47368358795064e-05,0.0178673667027438
"8","PWY66.400","log10.Final_reads","log10.Final_reads",0.752152794573511,0.148031963811371,27,15,7.60067884200137e-05,0.0183556394034333
"9","PWY.7187","log10.Final_reads","log10.Final_reads",1.19593596875633,0.244918177991028,27,17,8.99850182207342e-05,0.0193167839113843
"10","GLYCOGENSYNTH.PWY","log10.Final_reads","log10.Final_reads",1.52355655624132,0.320075242486045,27,14,0.000155307994702416,0.0298078164097117
"11","PWY.6123","molysis","molysis",1.48462454098188,0.322106690765256,27,23,0.000169713240427965,0.0298078164097117
"12","ANAGLYCOLYSIS.PWY","log10.Final_reads","log10.Final_reads",1.38541396135677,0.292729011178904,27,17,0.000192012343197974,0.0309139872548738
"13","P441.PWY","log10.Final_reads","log10.Final_reads",0.976664389459977,0.212640071837883,27,7,0.000220747108072318,0.0328064163689015
"14","LACTOSECAT.PWY","log10.Final_reads","log10.Final_reads",1.08335643084267,0.238829121961164,27,14,0.000276411079477233,0.0381447289678582
"15","PWY.5667","log10.Final_reads","log10.Final_reads",1.29066791846014,0.300395808805487,27,22,0.000351681529113868,0.0401771614681366
"16","PWY0.1319","log10.Final_reads","log10.Final_reads",1.29203830548057,0.300393600965102,27,22,0.000347927537747793,0.0401771614681366
"17","PWY0.42","log10.Final_reads","log10.Final_reads",0.41555234160049,0.0967679253101054,27,4,0.000353525747908034,0.0401771614681366
"18","PWY.5695","log10.Final_reads","log10.Final_reads",1.70414373377608,0.400141167584303,27,19,0.00038406960240792,0.0412234706584501
