"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","GLYCOGENSYNTH.PWY","log10.Final_reads","log10.Final_reads",4.12768508274974,0.491148545071107,51,16,1.07107648871493e-10,1.88937892609313e-07
"2","PWY.6527","log10.Final_reads","log10.Final_reads",4.62006566465402,0.569615560294596,51,17,2.79772516948901e-10,2.46759359948931e-07
"3","P461.PWY","log10.Final_reads","log10.Final_reads",4.64576530122591,0.619857026408012,51,8,2.53244382145021e-09,1.48907696701273e-06
"4","GLUCOSE1PMETAB.PWY","log10.Final_reads","log10.Final_reads",4.61473031085754,0.637553873807414,51,14,5.49719630149392e-09,2.42426356895882e-06
"5","PWY.6737","log10.Final_reads","log10.Final_reads",2.80889116356364,0.405570796277752,51,15,1.46870199659629e-08,5.1815806439917e-06
"6","PWY.6353","log10.Final_reads","log10.Final_reads",4.22825651936072,0.62047457584804,51,12,2.31249360130153e-08,5.82748387527985e-06
"7","PWY0.42","log10.Final_reads","log10.Final_reads",4.08570361446409,0.5961639885234,51,6,2.0936644658444e-08,5.82748387527985e-06
"8","PPGPPMET.PWY","log10.Final_reads","log10.Final_reads",4.6791043746119,0.692745597435271,51,23,3.48327492042984e-08,6.43913564873165e-06
"9","PWY.6519","log10.Final_reads","log10.Final_reads",3.77179004843801,0.563234875954617,51,15,3.3290487401998e-08,6.43913564873165e-06
"10","PWY.922","log10.Final_reads","log10.Final_reads",3.23236489912935,0.485590880235643,51,14,3.65030365574356e-08,6.43913564873165e-06
"11","PWY.6595","log10.Final_reads","log10.Final_reads",3.35032386566198,0.513159113485893,51,9,5.92749463109301e-08,9.50554593568006e-06
"12","ANAEROFRUCAT.PWY","log10.Final_reads","log10.Final_reads",3.23671783155078,0.512863548235206,51,16,1.17670234536997e-07,1.17464661588292e-05
"13","POLYISOPRENSYN.PWY","log10.Final_reads","log10.Final_reads",3.42876387355966,0.544646819995242,51,8,1.26520894000995e-07,1.17464661588292e-05
"14","PWY.5022","log10.Final_reads","log10.Final_reads",3.06762145473503,0.48126126693619,51,13,1.05673800244196e-07,1.17464661588292e-05
"15","PWY.5747","log10.Final_reads","log10.Final_reads",4.26250140180664,0.662714027401159,51,20,1.06550096557898e-07,1.17464661588292e-05
"16","PWY.5910","log10.Final_reads","log10.Final_reads",3.3455638350483,0.531305252780037,51,6,1.25805056040728e-07,1.17464661588292e-05
"17","PWY.6549","log10.Final_reads","log10.Final_reads",3.26370480338775,0.513965064530748,51,7,1.04826700060105e-07,1.17464661588292e-05
"18","PWY.7211","log10.Final_reads","log10.Final_reads",3.82574194702521,0.605463252527431,51,15,1.14723188929859e-07,1.17464661588292e-05
"19","PWY0.1297","log10.Final_reads","log10.Final_reads",3.13356723225056,0.496039271376203,51,12,1.21859423897645e-07,1.17464661588292e-05
"20","METHGLYUT.PWY","log10.Final_reads","log10.Final_reads",2.99617634463767,0.483749157538771,51,15,1.75165881820236e-07,1.48367140435336e-05
"21","PWY.5920","log10.Final_reads","log10.Final_reads",2.96020676729012,0.480213921091417,51,15,1.93449219388476e-07,1.48367140435336e-05
"22","PWY.5971","log10.Final_reads","log10.Final_reads",2.9804697278914,0.483399192680584,51,14,1.92599993534417e-07,1.48367140435336e-05
"23","TRNA.CHARGING.PWY","log10.Final_reads","log10.Final_reads",2.95671424703633,0.478143486492889,51,16,1.81151830031985e-07,1.48367140435336e-05
"24","GLYCOCAT.PWY","log10.Final_reads","log10.Final_reads",3.35765310835182,0.548949115234703,51,13,2.279033895066e-07,1.61538037890943e-05
"25","PWY.5367","log10.Final_reads","log10.Final_reads",3.03213248126138,0.495749602031055,51,15,2.28937128530249e-07,1.61538037890943e-05
"26","TCA.GLYOX.BYPASS","log10.Final_reads","log10.Final_reads",4.06334171660704,0.660196505839075,51,20,2.42336239875974e-07,1.64415818131238e-05
"27","COLANSYN.PWY","log10.Final_reads","log10.Final_reads",3.17430502104887,0.523683001823811,51,13,2.75000252222328e-07,1.75820637131996e-05
"28","PRPP.PWY","log10.Final_reads","log10.Final_reads",2.88440507072497,0.477973929848359,51,11,3.18949001599992e-07,1.75820637131996e-05
"29","PWY.5080","log10.Final_reads","log10.Final_reads",3.03238481697434,0.501033789972675,51,12,3.08560369669746e-07,1.75820637131996e-05
"30","PWY.5138","log10.Final_reads","log10.Final_reads",2.80904205399185,0.464815302978244,51,10,3.00304803122396e-07,1.75820637131996e-05
"31","PWY.6598","log10.Final_reads","log10.Final_reads",3.03238481697434,0.501033789972675,51,12,3.08560369669746e-07,1.75820637131996e-05
"32","PWY.7619","log10.Final_reads","log10.Final_reads",3.05345167954455,0.505037694823559,51,12,3.14240639294487e-07,1.75820637131996e-05
"33","P441.PWY","log10.Final_reads","log10.Final_reads",3.13993833699246,0.528246039675486,51,8,4.1174833455694e-07,1.96303800583363e-05
"34","PWY.2723","log10.Final_reads","log10.Final_reads",3.41048623071742,0.57312138289823,51,13,3.98769008251281e-07,1.96303800583363e-05
"35","PWY.5941","log10.Final_reads","log10.Final_reads",2.92017921878511,0.490912139459134,51,7,4.05780177995609e-07,1.96303800583363e-05
"36","PWY.7039","log10.Final_reads","log10.Final_reads",3.17558480989548,0.531736743726213,51,12,4.00230851400491e-07,1.96303800583363e-05
"37","PWY0.1298","log10.Final_reads","log10.Final_reads",2.94718798552896,0.49514100784988,51,15,3.96673880265874e-07,1.96303800583363e-05
"38","PWY.6284","log10.Final_reads","log10.Final_reads",2.91492741813744,0.488551832990714,51,14,4.23783890408402e-07,1.96724942810637e-05
