"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.6126","log10.Final_reads","log10.Final_reads",1.19379876723917,0.218457327243577,24,7,4.19495735199047e-05,0.00908751522135684
"2","PWY.6545","log10.Final_reads","log10.Final_reads",0.581830495655347,0.10298644169494,24,3,2.8833989817442e-05,0.00908751522135684
"3","PWY.7187","log10.Final_reads","log10.Final_reads",0.81596875675722,0.150848261398126,24,4,4.69822918940787e-05,0.00908751522135684
"4","PWY.7220","log10.Final_reads","log10.Final_reads",1.25380895835073,0.237438922937588,24,16,6.11876181847956e-05,0.00908751522135684
"5","PWY.7222","log10.Final_reads","log10.Final_reads",1.25380895835073,0.237438922937588,24,16,6.11876181847956e-05,0.00908751522135684
"6","PWY.7229","log10.Final_reads","log10.Final_reads",1.25883469078666,0.241685720947737,24,7,7.09962126668503e-05,0.00908751522135684
"7","PWY.6147","log10.Final_reads","log10.Final_reads",1.24163794467177,0.250208447924731,24,8,0.000118552395895259,0.0130068914353656
"8","PWY.841","log10.Final_reads","log10.Final_reads",0.618780524117651,0.12881966030148,24,5,0.000165643781096029,0.0159018029852188
"9","PWY.2941","log10.Final_reads","log10.Final_reads",1.16663262776825,0.246733605145651,24,4,0.000194191893886496,0.0165710416116476
"10","CITRULBIO.PWY","log10.Final_reads","log10.Final_reads",0.573118367933101,0.127222672881645,24,3,0.000312496697835576,0.0239997463937722
"11","DENOVOPURINE2.PWY","log10.Final_reads","log10.Final_reads",0.620572970858306,0.142444561313171,24,3,0.000429399988786842,0.0274815992823579
"12","PWY.7388","log10.Final_reads","log10.Final_reads",0.78539831610729,0.179281413490736,24,3,0.000407631989029592,0.0274815992823579
"13","PWY.7208","log10.Final_reads","log10.Final_reads",0.94268076767472,0.223578139512212,24,11,0.000580785594463488,0.0343110258883045
"14","PWY.5484","log10.Final_reads","log10.Final_reads",0.591595461616851,0.142287249963881,24,3,0.000659081380947608,0.0361553214691259
"15","PWY.4984","log10.Final_reads","log10.Final_reads",0.537012616477154,0.130428639424232,24,3,0.00071931363363419,0.0368288580420705
"16","GLCMANNANAUT.PWY","log10.Final_reads","log10.Final_reads",0.483848805752045,0.119131373112885,24,3,0.000811634464167739,0.0389584542800515
"17","PWY.6386","log10.Final_reads","log10.Final_reads",0.539182108161606,0.138763083979992,24,3,0.00118816471842284,0.0456382872927622
"18","PWY.6608","log10.Final_reads","log10.Final_reads",0.579415857704383,0.147740284019508,24,4,0.00109837214647117,0.0456382872927622
"19","PWY.7200","log10.Final_reads","log10.Final_reads",0.424218905767975,0.109179951627383,24,3,0.00118849706491568,0.0456382872927622
"20","PWY.7400","log10.Final_reads","log10.Final_reads",1.01359149774505,0.259286862835369,24,4,0.00112905768730669,0.0456382872927622
"21","PWY.4242","log10.Final_reads","log10.Final_reads",0.433528263833617,0.113270917390477,24,3,0.00134834427110543,0.0470694727367715
"22","PWY.6125","log10.Final_reads","log10.Final_reads",0.825234266589598,0.215027854591372,24,9,0.00131811985565473,0.0470694727367715
"23","ARGSYN.PWY","log10.Final_reads","log10.Final_reads",1.02372529940398,0.277519213485913,24,4,0.00182142209347298,0.0567692629057673
"24","ARGSYNBSUB.PWY","log10.Final_reads","log10.Final_reads",0.984350169718817,0.268645730920553,24,4,0.00192187608795566,0.0567692629057673
"25","PWY.7228","log10.Final_reads","log10.Final_reads",0.910511190408793,0.248158257527856,24,11,0.00190131149239279,0.0567692629057673
"26","PWY.7237","log10.Final_reads","log10.Final_reads",0.502493012714768,0.136172544817647,24,3,0.00181638617380616,0.0567692629057673
"27","PWY.7282","log10.Final_reads","log10.Final_reads",0.304676490012246,0.0844140326005767,24,3,0.00216471191895898,0.0615740279170555
"28","PWY.5695","log10.Final_reads","log10.Final_reads",0.912070611452272,0.254800467605808,24,7,0.00230915474214279,0.0633368157844879
"29","PWY.1042","log10.Final_reads","log10.Final_reads",0.740635141400121,0.21380390449239,24,6,0.00296618304612395,0.0675234412431412
"30","PWY.5173","log10.Final_reads","log10.Final_reads",0.873310048423169,0.248468926609716,24,5,0.00265758285541066,0.0675234412431412
"31","PWY.5913","benzonase","benzonase",-1.83690145630779,0.531317142365043,24,5,0.00301038089010463,0.0675234412431412
"32","PWY.5913","molysis","molysis",-1.85176357653393,0.534343938818261,24,5,0.00295717357071774,0.0675234412431412
"33","PWY.7539","log10.Final_reads","log10.Final_reads",0.883916778078144,0.256421790878716,24,4,0.00307724016082024,0.0675234412431412
"34","PWY.7664","log10.Final_reads","log10.Final_reads",0.676948900114993,0.192246519739023,24,5,0.0026204486429219,0.0675234412431412
"35","THISYNARA.PWY","log10.Final_reads","log10.Final_reads",0.764316205692442,0.22153645594079,24,3,0.00305764230954061,0.0675234412431412
"36","PWY.6282","log10.Final_reads","log10.Final_reads",0.660949570361378,0.193709350259304,24,5,0.00331991275508861,0.0708248054418904
"37","P105.PWY","benzonase","benzonase",-1.01330912314937,0.300655655313179,24,3,0.00363369374579662,0.0754236972100488
"38","P105.PWY","molysis","molysis",-1.0042581520255,0.30236842420125,24,3,0.00403988110831145,0.076286496878253
"39","PWY.5686","log10.Final_reads","log10.Final_reads",0.809147230530786,0.242281336961758,24,5,0.00388246888519667,0.076286496878253
"40","PWY.5913","qiaamp","qiaamp",-1.7048564555681,0.513886585806206,24,5,0.0040725864218859,0.076286496878253
"41","PWY66.409","log10.Final_reads","log10.Final_reads",0.466873024039202,0.139408351002111,24,3,0.00380554195951664,0.076286496878253
"42","PWY0.862","log10.Final_reads","log10.Final_reads",0.835617819774614,0.254517106656182,24,7,0.00438676374353146,0.0802151084531466
"43","PWY.6897","log10.Final_reads","log10.Final_reads",0.783234230177864,0.241174577748203,24,6,0.00473648020021562,0.0845957393898976
"44","P105.PWY","host_zero","host_zero",-0.990796758044325,0.306454692366764,24,3,0.0048866789224642,0.0852947593739205
"45","PWY0.166","log10.Final_reads","log10.Final_reads",0.591115011892764,0.185512899606825,24,7,0.00540354935550868,0.0922205756673481
"46","P105.PWY","qiaamp","qiaamp",-0.918183457688741,0.29079225173214,24,3,0.00574932864568744,0.0959887913019121
"47","PWY.7184","log10.Final_reads","log10.Final_reads",0.573230767644624,0.182749397252517,24,7,0.00601217872841357,0.0982415587962047
"48","GLYOXYLATE.BYPASS","benzonase","benzonase",-1.06866310832825,0.345959725024629,24,4,0.00665990347507079,0.106513420688561
"49","PWY.5989","log10.Final_reads","log10.Final_reads",0.48381028346707,0.15710426855635,24,3,0.00679577814288995,0.106513420688561
"50","GLYOXYLATE.BYPASS","molysis","molysis",-1.06491141924296,0.34793058119539,24,4,0.00707545616286831,0.108679006661657
"51","FASYN.ELONG.PWY","log10.Final_reads","log10.Final_reads",0.680310227081783,0.225677976309929,24,6,0.00780911438414938,0.117596075431897
"52","UNMAPPED","log10.Final_reads","log10.Final_reads",-0.408401192704297,0.14020520584831,24,24,0.00969416455443486,0.135365788687381
