"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PPGPPMET.PWY","lypma","lypma",2.21455186294988,0.249533572518272,35,25,1.2529450567901e-09,1.33351339210044e-06
"2","PWY0.1586","lypma","lypma",2.25445858611732,0.220121056840782,35,26,1.84441686320946e-09,1.33351339210044e-06
"3","PWY.5747","lypma","lypma",2.19098046024151,0.23335029607656,35,26,8.92533266136931e-09,4.30201034278001e-06
"4","PWY.1269","lypma","lypma",2.53934427646362,0.291565812763872,35,23,1.41670682947074e-08,5.12139518853673e-06
"5","GLYOXYLATE.BYPASS","lypma","lypma",1.9938183913942,0.228235397491701,35,28,2.45661872525735e-08,6.7172370668359e-06
"6","PWY.5913","lypma","lypma",2.36143124313609,0.276685480400841,35,25,2.78723529744228e-08,6.7172370668359e-06
"7","TCA.GLYOX.BYPASS","lypma","lypma",1.76905715328136,0.216035653331404,35,28,7.26329253269081e-08,1.50038871461013e-05
"8","PWY0.1479","lypma","lypma",2.02906172158783,0.254114353930778,35,24,8.51787381252362e-08,1.53960569161364e-05
"9","PWY.6318","lypma","lypma",2.08095044560711,0.287391597534379,35,25,1.41395746580022e-07,2.27175832838569e-05
"10","PWY.6608","lypma","lypma",2.20878348478774,0.287000676057746,35,25,1.63254436579816e-07,2.36065915294414e-05
"11","FAO.PWY","lypma","lypma",1.71979165113357,0.231441061056282,35,26,1.93649097669871e-07,2.54560541118758e-05
"12","PPGPPMET.PWY","molysis","molysis",1.60642013951157,0.238056527272554,35,25,2.50742489613138e-07,3.02144699983831e-05
"13","PWY.5136","lypma","lypma",1.68212350981324,0.233062931858054,35,26,3.06036337831921e-07,3.40406572696121e-05
"14","PWY.5347","lypma","lypma",1.86326803356018,0.257084256003695,35,23,3.7687697111774e-07,3.89260071597323e-05
"15","PWY.6969","lypma","lypma",2.39122133051575,0.324449746107596,35,27,4.30083066056283e-07,4.14600075678257e-05
"16","P105.PWY","lypma","lypma",1.95533145269763,0.276633960857272,35,28,6.0805352382183e-07,5.49528372153979e-05
"17","PYRIDOXSYN.PWY","lypma","lypma",2.12020937314809,0.334508055503564,35,22,7.40084963458456e-07,6.29507563035839e-05
"18","OANTIGEN.PWY","lypma","lypma",1.8075954263016,0.285524424421505,35,27,1.030436691195e-06,8.27784141926647e-05
"19","PWY0.845","lypma","lypma",1.98954043692119,0.322223091069526,35,22,1.14608060664098e-06,8.72227661685711e-05
"20","PPGPPMET.PWY","host_zero","host_zero",1.59768131644984,0.267871194794509,35,25,2.01428691269632e-06,0.000145632943787944
"21","PWY.7282","lypma","lypma",1.66776009501343,0.283908307683945,35,22,2.56797432384761e-06,0.000176823374870649
"22","PWY0.1586","molysis","molysis",1.3221059951168,0.204464578534179,35,26,2.81235913666352e-06,0.00018484869598252
"23","ASPASN.PWY","lypma","lypma",1.49914205904388,0.247739780914433,35,28,4.4236196186206e-06,0.000266523082021891
"24","PWY.5083","lypma","lypma",1.8005031050147,0.304696195758999,35,28,4.24791797742414e-06,0.000266523082021891
"25","PWY.5695","lypma","lypma",1.52460521673607,0.265987242463099,35,32,1.19264944457918e-05,0.000689828438744595
"26","PWY66.389","lypma","lypma",1.57058819795297,0.277192387631666,35,32,1.3243286713627e-05,0.000736530484150181
"27","NAGLIPASYN.PWY","lypma","lypma",1.96165339389889,0.350755256832649,35,20,1.50707517249191e-05,0.000778296678365466
"28","PWY.7282","molysis","molysis",1.41793770401446,0.270850231129196,35,22,1.45853152201748e-05,0.000778296678365466
"29","PWY0.1479","molysis","molysis",1.3476800815374,0.237904579307457,35,24,1.60058228732999e-05,0.000798083443958332
"30","PWY66.400","lypma","lypma",-0.99286159900564,0.18971729248704,35,31,2.88832793914588e-05,0.00139217406666832
"31","PWY.6700","lypma","lypma",1.68532263653215,0.315680467593954,35,31,3.03979651318259e-05,0.00141791798647162
"32","PWY.1269","molysis","molysis",1.44151495925484,0.273249730370043,35,23,3.27156354485573e-05,0.00144200972821218
"33","PWY.5871","qiaamp","qiaamp",0.737793369386712,0.14975993673345,35,5,3.3906176182029e-05,0.00144200972821218
