"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","HISDEG.PWY","qiaamp","qiaamp",0.320801335079123,0.0363678922522718,66,66,8.49903772749062e-12,1.87828733777543e-08
"2","HISDEG.PWY","molysis","molysis",0.288895458699043,0.036451781398986,66,66,2.03750745174095e-10,2.25144573417375e-07
"3","PWY.6125","host_zero","host_zero",0.27336441369274,0.0364107312855332,66,66,8.43034565015126e-10,6.21035462894476e-07
"4","PWY.7228","host_zero","host_zero",0.257613252132929,0.0354098555631968,66,66,1.96806048555678e-09,1.08735341827012e-06
"5","PWY0.166","host_zero","host_zero",0.255443624003612,0.0358586788126228,66,66,3.44808236092658e-09,1.52405240352955e-06
"6","PWY.6385","host_zero","host_zero",0.245274021982423,0.0348764319157814,66,66,4.64719569571933e-09,1.71171708125662e-06
"7","PWY.4702","molysis","molysis",-0.877780919193516,0.126149300701013,66,32,5.89215072894565e-09,1.86023615870998e-06
"8","PWY.7184","host_zero","host_zero",0.247442661030955,0.0358632704780532,66,66,7.87645715626823e-09,2.1758712894191e-06
"9","PWY.6125","qiaamp","qiaamp",0.248451302568616,0.0362708809221671,66,66,9.33416303576213e-09,2.2920555898927e-06
"10","HISDEG.PWY","host_zero","host_zero",0.249555330910853,0.0365216626741851,66,66,1.04632263598542e-08,2.31237302552778e-06
"11","ARGSYNBSUB.PWY","molysis","molysis",0.310404567246291,0.0469051923530894,66,66,2.10819288128534e-08,3.55157277224249e-06
"12","PWY.6122","molysis","molysis",0.297064815165827,0.0448385200204989,66,66,2.10342142847925e-08,3.55157277224249e-06
"13","PWY.6125","molysis","molysis",0.240157672161112,0.0363484707915025,66,66,2.24986510458801e-08,3.55157277224249e-06
"14","PWY.6277","molysis","molysis",0.297064815165827,0.0448385200204989,66,66,2.10342142847925e-08,3.55157277224249e-06
"15","PWY.6123","molysis","molysis",0.279307928006235,0.0430668659889996,66,66,3.54476637401572e-08,5.2226224577165e-06
"16","ARGSYN.PWY","molysis","molysis",0.287137208924539,0.0445009126518213,66,66,3.83188327954214e-08,5.29278877986757e-06
"17","GALACTUROCAT.PWY","molysis","molysis",-0.601521994176455,0.0936105260779479,66,32,4.13915643430788e-08,5.38090336460024e-06
"18","PWY.7400","molysis","molysis",0.292326487705648,0.0455907883933983,66,66,4.4167961837181e-08,5.42284420334278e-06
"19","PWY.6121","molysis","molysis",0.303778358314765,0.0474941389837539,66,66,4.81191359341103e-08,5.59701528496756e-06
"20","HEME.BIOSYNTHESIS.II","qiaamp","qiaamp",0.294784892465907,0.0461991843424379,66,66,5.15144959291976e-08,5.69235180017634e-06
"21","PWY.6385","molysis","molysis",0.221348499776033,0.0348201875128674,66,66,5.50022692006917e-08,5.78833404445375e-06
"22","PWY.7228","qiaamp","qiaamp",0.223581661795805,0.0352719201621262,66,66,5.99215689526307e-08,6.01939397205972e-06
"23","PWY.6305","molysis","molysis",-0.425747458284387,0.067724369840263,66,32,7.12641219740157e-08,6.84755258967716e-06
"24","ARGSYN.PWY","host_zero","host_zero",0.272076881475848,0.0445672143199369,66,66,1.34920453365722e-07,8.49528455369664e-06
"25","ARGSYNBSUB.PWY","host_zero","host_zero",0.290386800292096,0.0469743892085704,66,66,1.02483035843745e-07,8.49528455369664e-06
"26","ARGSYNBSUB.PWY","qiaamp","qiaamp",0.285989806568948,0.0468146577432624,66,66,1.35125773350392e-07,8.49528455369664e-06
"27","HEME.BIOSYNTHESIS.II","host_zero","host_zero",0.283586122853344,0.0463779270401931,66,66,1.34186345074389e-07,8.49528455369664e-06
"28","HEME.BIOSYNTHESIS.II","molysis","molysis",0.287182054780493,0.0462982909521737,66,66,9.78703806341657e-08,8.49528455369664e-06
"29","PPGPPMET.PWY","lypma","lypma",1.39678273631498,0.22773938168082,66,56,1.09877275039503e-07,8.49528455369664e-06
"30","PWY.5871","qiaamp","qiaamp",1.02086369918919,0.167967337297022,66,34,1.32140483457278e-07,8.49528455369664e-06
"31","PWY.5873","qiaamp","qiaamp",1.02086369918919,0.167967337297022,66,34,1.32140483457278e-07,8.49528455369664e-06
"32","PWY.6122","qiaamp","qiaamp",0.272639074139508,0.0447469244114668,66,66,1.45953311331866e-07,8.49528455369664e-06
"33","PWY.6123","host_zero","host_zero",0.266406543670592,0.0431393080604897,66,66,1.08567114383208e-07,8.49528455369664e-06
"34","PWY.6125","benzonase","benzonase",0.222388352846403,0.0364107312855332,66,66,1.37349483966487e-07,8.49528455369664e-06
"35","PWY.6277","qiaamp","qiaamp",0.272639074139508,0.0447469244114668,66,66,1.45953311331866e-07,8.49528455369664e-06
"36","PWY.6891","molysis","molysis",-0.765607663081874,0.125733486666286,66,33,1.4664484127745e-07,8.49528455369664e-06
"37","PWY.6892","molysis","molysis",-0.733884573578037,0.119044117988413,66,34,1.12979965088818e-07,8.49528455369664e-06
"38","PWY.7228","molysis","molysis",0.216116349309157,0.0353482532488668,66,66,1.34961140205058e-07,8.49528455369664e-06
"39","PWY.7400","host_zero","host_zero",0.277350141946269,0.0456578979367685,66,66,1.49916786241705e-07,8.49528455369664e-06
"40","PWY.7184","benzonase","benzonase",0.217261947046367,0.0358632704780532,66,66,1.66853860753377e-07,8.73919407398177e-06
"41","PWY.7197","host_zero","host_zero",0.260159608457747,0.0429386878953784,66,66,1.63854017115541e-07,8.73919407398177e-06
"42","PWY.7220","host_zero","host_zero",0.291159752119431,0.0481594710004936,66,66,1.70038617729057e-07,8.73919407398177e-06
"43","PWY.7222","host_zero","host_zero",0.291159752119431,0.0481594710004936,66,66,1.70038617729057e-07,8.73919407398177e-06
"44","PWY.6588","molysis","molysis",-0.33317441398265,0.0552186609987186,66,31,1.80573850441462e-07,9.06973203353705e-06
"45","PWY.5686","host_zero","host_zero",0.25431083003227,0.0424478157384029,66,66,2.05804808257906e-07,9.47559638020774e-06
"46","PWY.6122","host_zero","host_zero",0.269441369659182,0.044910457904981,66,66,2.02696836890979e-07,9.47559638020774e-06
"47","PWY.6277","host_zero","host_zero",0.269441369659182,0.044910457904981,66,66,2.02696836890979e-07,9.47559638020774e-06
"48","PWY.6895","molysis","molysis",-0.676631665743539,0.11284628089251,66,33,1.97739358087041e-07,9.47559638020774e-06
"49","PWY.6121","host_zero","host_zero",0.284117147760767,0.0475689017316617,66,66,2.22152487823544e-07,1.0019530573266e-05
"50","PWY.7220","qiaamp","qiaamp",0.285194263278047,0.0479884347952617,66,66,2.48954100582755e-07,1.07880110252527e-05
"51","PWY.7222","qiaamp","qiaamp",0.285194263278047,0.0479884347952617,66,66,2.48954100582755e-07,1.07880110252527e-05
"52","PWY0.166","benzonase","benzonase",0.212777865445743,0.0358586788126227,66,66,2.5930029826172e-07,1.10202626761231e-05
"53","POLYAMSYN.PWY","molysis","molysis",-0.669335860723049,0.113835111459382,66,32,2.96148744216798e-07,1.2348843862625e-05
"54","ARGSYN.PWY","qiaamp","qiaamp",0.260032849532626,0.044414441496382,66,66,3.37379849751053e-07,1.3556535780906e-05
"55","THRESYN.PWY","qiaamp","qiaamp",0.206792608495238,0.0352600124296545,66,66,3.32107298333922e-07,1.3556535780906e-05
"56","THISYN.PWY","molysis","molysis",-0.670198902032756,0.114782937409046,66,34,3.54267109502365e-07,1.39808984285755e-05
"57","PWY.7400","qiaamp","qiaamp",0.265107352084063,0.0455029224072183,66,66,3.72444382500558e-07,1.44403874618638e-05
"58","PWY.7197","qiaamp","qiaamp",0.249199160414183,0.0427722505885879,66,66,3.8148556984883e-07,1.45359156787227e-05
"59","PWY.7228","benzonase","benzonase",0.205799279596527,0.0354098555631968,66,66,3.99925032518188e-07,1.49802427434779e-05
"60","PWY.724","molysis","molysis",0.236625872619668,0.040794028737539,66,66,4.13790458740212e-07,1.49914248166536e-05
"61","PWY.724","qiaamp","qiaamp",0.236204578138431,0.0407100347667202,66,66,4.12842188547668e-07,1.49914248166536e-05
"62","PWY.7184","molysis","molysis",0.20751150764793,0.0357992658103456,66,66,4.28840639846548e-07,1.5062189898097e-05
"63","REDCITCYC","qiaamp","qiaamp",0.549230035253792,0.0946344984148231,66,35,4.29374644153896e-07,1.5062189898097e-05
"64","P185.PWY","molysis","molysis",0.728303058185796,0.125775030065229,66,60,4.45348439192e-07,1.5141846932528e-05
"65","PWY.6121","qiaamp","qiaamp",0.27411300880829,0.0473983545913548,66,66,4.43819461244406e-07,1.5141846932528e-05
"66","PWY0.166","molysis","molysis",0.206761489585729,0.0357957541474773,66,66,4.58432646417933e-07,1.53505477058126e-05
"67","PWY0.1586","lypma","lypma",1.27981402846442,0.222675654037541,66,57,4.88177419113511e-07,1.61025686006098e-05
"68","PWY.7220","molysis","molysis",0.275236553707802,0.0480846528387769,66,66,5.4521345692552e-07,1.74626339102232e-05
"69","PWY.7222","molysis","molysis",0.275236553707802,0.0480846528387769,66,66,5.4521345692552e-07,1.74626339102232e-05
"70","PWY.6123","qiaamp","qiaamp",0.245909694202265,0.0429760468080485,66,66,5.59894805851894e-07,1.76766788704669e-05
"71","PWY.6531","host_zero","host_zero",-1.9900582380949,0.351254478826702,66,23,5.977432664047e-07,1.86058115317519e-05
"72","HEMESYN2.PWY","host_zero","host_zero",-2.14755661908905,0.379170742923606,66,25,6.09053618967543e-07,1.86945624710871e-05
"73","PWY0.1415","host_zero","host_zero",-1.96842527660753,0.348116155389612,66,25,6.33073081869619e-07,1.91656371360529e-05
"74","GALACTARDEG.PWY","molysis","molysis",-0.620602726588289,0.109558057264987,66,33,6.88056979362955e-07,2.02747456585618e-05
"75","GLUCARGALACTSUPER.PWY","molysis","molysis",-0.620602726588289,0.109558057264987,66,33,6.88056979362955e-07,2.02747456585618e-05
"76","ARG.POLYAMINE.SYN","molysis","molysis",-0.542564903170532,0.0969579113799346,66,32,8.32641279484264e-07,2.32471120748591e-05
"77","PWY.5872","qiaamp","qiaamp",0.977719924737304,0.175271358363948,66,31,8.41524418999424e-07,2.32471120748591e-05
"78","PWY.6385","qiaamp","qiaamp",0.194701488712792,0.0347487320424346,66,66,8.40363308103081e-07,2.32471120748591e-05
"79","PWY.7221","host_zero","host_zero",0.292406244359892,0.0521607722382258,66,66,8.09979151696653e-07,2.32471120748591e-05
"80","PWY.7234","molysis","molysis",0.349979961407949,0.0622479728332521,66,66,8.00590208402744e-07,2.32471120748591e-05
"81","P185.PWY","host_zero","host_zero",0.703908624269115,0.125986936557513,66,60,9.1704273647956e-07,2.50205487360473e-05
"82","PWY.6387","host_zero","host_zero",0.270697161859776,0.0488026857865457,66,66,1.01605437591565e-06,2.70669932935801e-05
"83","PWY.7184","qiaamp","qiaamp",0.198449512994858,0.0357206246850059,66,66,1.01654318704396e-06,2.70669932935801e-05
"84","PWY.6123","benzonase","benzonase",0.238072655985075,0.0431393080604897,66,66,1.1499366826896e-06,3.02542865326669e-05
"85","PWY.5180","host_zero","host_zero",-0.650291142426989,0.11911741635503,66,22,1.30755959234324e-06,3.360124068696e-05
"86","PWY.5182","host_zero","host_zero",-0.650291142426989,0.11911741635503,66,22,1.30755959234324e-06,3.360124068696e-05
"87","PEPTIDOGLYCANSYN.PWY","host_zero","host_zero",0.261493652434394,0.0479239811615461,66,66,1.40628447301341e-06,3.57228584524096e-05
"88","PWY.6124","molysis","molysis",0.313554471171997,0.0574762610532343,66,66,1.46747739423945e-06,3.68536936507861e-05
"89","PWY.6386","host_zero","host_zero",0.281297534023048,0.0517061847977336,66,66,1.49099838468123e-06,3.70236677544439e-05
"90","PPGPPMET.PWY","molysis","molysis",1.23430846255814,0.228216249125472,66,56,1.53238602573068e-06,3.76285901873867e-05
"91","PWY.7197","benzonase","benzonase",0.232924988237211,0.0429386878953784,66,66,1.59463283019706e-06,3.87267973047857e-05
"92","PWY.4361","molysis","molysis",-0.333931074765758,0.0616341933923186,66,31,1.62847755454857e-06,3.88919938839435e-05
"93","PWY.5097","molysis","molysis",0.219298795722301,0.0404852656574091,66,66,1.63720123232077e-06,3.88919938839435e-05
"94","PYRIDNUCSAL.PWY","host_zero","host_zero",-0.929062422584488,0.17229216960403,66,32,1.65422960411344e-06,3.88919938839435e-05
"95","FOLSYN.PWY","molysis","molysis",0.292245392556478,0.0540856458946302,66,34,1.69976845008995e-06,3.93657697558168e-05
