"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.5005","log10.Final_reads","log10.Final_reads",3.8903252575814,0.522570519628367,59,26,1.07783455357136e-09,1.50681270589276e-06
"2","BIOTIN.BIOSYNTHESIS.PWY","log10.Final_reads","log10.Final_reads",3.56303344858087,0.488471287735685,59,19,2.75318783691894e-09,1.51619703556475e-06
"3","PWY.561","log10.Final_reads","log10.Final_reads",3.89649762517387,0.544864896186366,59,19,4.33818894296066e-09,1.51619703556475e-06
"4","PWY.6628","log10.Final_reads","log10.Final_reads",4.29167897077759,0.597809040707748,59,22,3.78873879866231e-09,1.51619703556475e-06
"5","PWY0.1261","log10.Final_reads","log10.Final_reads",3.61474593742053,0.530877054754259,59,17,1.35091122427244e-08,3.77714778306574e-06
"6","PENTOSE.P.PWY","log10.Final_reads","log10.Final_reads",2.7527473282359,0.423407254421919,59,34,3.08450651284651e-08,7.18690017493237e-06
"7","DTDPRHAMSYN.PWY","log10.Final_reads","log10.Final_reads",2.57037205995366,0.406793286888644,59,37,6.02330462197926e-08,1.12842763634978e-05
"8","SULFATE.CYS.PWY","log10.Final_reads","log10.Final_reads",3.66050598465475,0.576859106215903,59,26,6.45738275450516e-08,1.12842763634978e-05
"9","NAD.BIOSYNTHESIS.II","log10.Final_reads","log10.Final_reads",3.12133235285028,0.511692426516613,59,7,1.33939056919083e-07,1.56039001310732e-05
"10","P42.PWY","log10.Final_reads","log10.Final_reads",3.70817140266554,0.596146993383177,59,19,1.06834920742954e-07,1.56039001310732e-05
"11","PWY0.1297","log10.Final_reads","log10.Final_reads",4.03275212988158,0.654209975556055,59,30,1.33187451896719e-07,1.56039001310732e-05
"12","PWYG.321","log10.Final_reads","log10.Final_reads",3.86020518288269,0.628078553393844,59,29,1.24209687437046e-07,1.56039001310732e-05
"13","PWY.821","log10.Final_reads","log10.Final_reads",3.51620610943416,0.583109439642709,59,23,1.78057960883003e-07,1.66706010936264e-05
"14","PWY0.1479","lypma","lypma",3.07301299103453,0.493042134282735,59,25,1.70825079234185e-07,1.66706010936264e-05
"15","PYRIDOXSYN.PWY","lypma","lypma",2.9878321046399,0.496296608395414,59,23,1.78869110446636e-07,1.66706010936264e-05
"16","PWY.7211","log10.Final_reads","log10.Final_reads",3.51764451706216,0.586953386199978,59,10,1.98953211752004e-07,1.73835368768314e-05
"17","ANAEROFRUCAT.PWY","log10.Final_reads","log10.Final_reads",3.58343881594459,0.607993533408569,59,31,2.96188210748039e-07,1.83871021021208e-05
"18","ARGORNPROST.PWY","log10.Final_reads","log10.Final_reads",3.8065022938532,0.642946215265866,59,24,2.71270192982525e-07,1.83871021021208e-05
"19","PWY.5791","log10.Final_reads","log10.Final_reads",3.87903979781997,0.654827185292783,59,24,2.86474158551826e-07,1.83871021021208e-05
"20","PWY.5837","log10.Final_reads","log10.Final_reads",3.87903979781997,0.654827185292783,59,24,2.86474158551826e-07,1.83871021021208e-05
"21","PWY.5840","log10.Final_reads","log10.Final_reads",3.61462555181333,0.617297489027131,59,24,3.45548948105285e-07,1.83871021021208e-05
"22","PWY.5871","log10.Final_reads","log10.Final_reads",2.93021678790902,0.503350141795932,59,6,3.68268139384395e-07,1.83871021021208e-05
"23","PWY.5873","log10.Final_reads","log10.Final_reads",2.93021678790902,0.503350141795932,59,6,3.68268139384395e-07,1.83871021021208e-05
"24","PWY.5897","log10.Final_reads","log10.Final_reads",3.65462875002916,0.621303467712724,59,24,3.1933365611776e-07,1.83871021021208e-05
"25","PWY.5898","log10.Final_reads","log10.Final_reads",3.65462875002916,0.621303467712724,59,24,3.1933365611776e-07,1.83871021021208e-05
"26","PWY.5899","log10.Final_reads","log10.Final_reads",3.65462875002916,0.621303467712724,59,24,3.1933365611776e-07,1.83871021021208e-05
"27","PWY0.845","lypma","lypma",2.90727125834151,0.498059222389708,59,23,3.47618957444515e-07,1.83871021021208e-05
"28","RUMP.PWY","log10.Final_reads","log10.Final_reads",3.90808055761213,0.649128263081045,59,9,2.50976192260714e-07,1.83871021021208e-05
"29","PWY0.1298","log10.Final_reads","log10.Final_reads",3.93932814296141,0.677064672196793,59,24,4.04466465837982e-07,1.94980730772931e-05
"30","PWY.6737","log10.Final_reads","log10.Final_reads",3.21478947530055,0.55537175467659,59,30,4.83842299733383e-07,2.25470511675757e-05
"31","GLYCOLYSIS.TCA.GLYOX.BYPASS","log10.Final_reads","log10.Final_reads",3.17929844982481,0.553965739730753,59,25,5.4849464408464e-07,2.47353391106557e-05
"32","PWY0.1061","log10.Final_reads","log10.Final_reads",2.86231137095063,0.502141902844757,59,16,5.95257077652783e-07,2.6005293579956e-05
"33","PHOSLIPSYN.PWY","log10.Final_reads","log10.Final_reads",3.31226210433338,0.585703432306854,59,11,6.72380511083782e-07,2.84844834695493e-05
"34","PWY.5022","log10.Final_reads","log10.Final_reads",4.02662676527971,0.727686566734765,59,24,1.04224539731888e-06,4.2854678395641e-05
"35","PWY.6549","log10.Final_reads","log10.Final_reads",3.19595011031455,0.576497606615002,59,6,1.21794103970017e-06,4.86480449571666e-05
"36","GLYCOLYSIS.E.D","log10.Final_reads","log10.Final_reads",3.01756168703381,0.550210704354903,59,24,1.31459226671814e-06,4.96702699695126e-05
"37","PWY.5345","log10.Final_reads","log10.Final_reads",2.88875059738399,0.527932351539732,59,26,1.30670543846929e-06,4.96702699695126e-05
"38","POLYISOPRENSYN.PWY","log10.Final_reads","log10.Final_reads",3.39712670719467,0.617211773477444,59,7,1.37669325035855e-06,5.06478201052961e-05
"39","PWY.5863","log10.Final_reads","log10.Final_reads",3.23867086998692,0.595327230492059,59,6,1.61393422369227e-06,5.78533344800461e-05
"40","GLUCOSE1PMETAB.PWY","log10.Final_reads","log10.Final_reads",4.10292433417217,0.767249936677521,59,6,2.068094365595e-06,7.22798980775452e-05
"41","GLUCONEO.PWY","log10.Final_reads","log10.Final_reads",3.29543214064973,0.623941754783643,59,23,2.70973314690055e-06,9.23952912040723e-05
"42","PWY.5855","lypma","lypma",2.71784093628805,0.507089700414556,59,21,3.17024150462181e-06,9.74616839670483e-05
"43","PWY.5856","lypma","lypma",2.71784093628805,0.507089700414556,59,21,3.17024150462181e-06,9.74616839670483e-05
"44","PWY.5857","lypma","lypma",2.71784093628805,0.507089700414556,59,21,3.17024150462181e-06,9.74616839670483e-05
"45","PWY.6606","lypma","lypma",3.02477307401152,0.565308320191938,59,25,3.20689374998871e-06,9.74616839670483e-05
"46","PWY.6708","lypma","lypma",2.71784093628805,0.507089700414556,59,21,3.17024150462181e-06,9.74616839670483e-05
"47","PWY.6527","log10.Final_reads","log10.Final_reads",4.13162895786289,0.797905238701356,59,7,3.69189004864648e-06,0.000109814091234208
"48","FERMENTATION.PWY","lypma","lypma",2.52928910190889,0.481343521339128,59,24,4.44913603274818e-06,0.000122051300296607
"49","HEXITOLDEGSUPER.PWY","log10.Final_reads","log10.Final_reads",3.13985765446093,0.610271099904688,59,21,4.25659735684209e-06,0.000122051300296607
"50","P4.PWY","log10.Final_reads","log10.Final_reads",2.65016468080692,0.514652534814256,59,22,4.28397703393e-06,0.000122051300296607
"51","PWY.5920","log10.Final_reads","log10.Final_reads",3.14206648545093,0.609474685628231,59,27,4.45251524687192e-06,0.000122051300296607
"52","COLANSYN.PWY","log10.Final_reads","log10.Final_reads",2.6520097048307,0.518581241408243,59,23,4.86035613492385e-06,0.000130668805319683
"53","PWY0.781","log10.Final_reads","log10.Final_reads",2.66088645788558,0.523368982336684,59,22,5.34838883405784e-06,0.000141076369622884
"54","PWY.6595","log10.Final_reads","log10.Final_reads",3.20831292615301,0.632497879720882,59,24,5.58647958087486e-06,0.000143407070071973
"55","PWY.7115","log10.Final_reads","log10.Final_reads",2.56258369974892,0.50502786561451,59,11,5.64190905147247e-06,0.000143407070071973
"56","PWY.6318","lypma","lypma",2.5912450914836,0.515832597049726,59,27,6.34506946778821e-06,0.000158400127070856
"57","TRNA.CHARGING.PWY","log10.Final_reads","log10.Final_reads",2.62875095431183,0.505415287587125,59,34,7.6331922286966e-06,0.000187214083082769
"58","FERMENTATION.PWY","log10.Final_reads","log10.Final_reads",2.72155689492856,0.547531368205335,59,24,8.09013552601506e-06,0.000191695075684221
"59","OANTIGEN.PWY","lypma","lypma",2.58239653294545,0.521092216594188,59,29,8.03922614247494e-06,0.000191695075684221
"60","PWY.7323","lypma","lypma",2.21510787226928,0.441491180309883,59,22,9.8789200047967e-06,0.000230178836111763
"61","PWY0.781","lypma","lypma",2.29784108344146,0.461872025575981,59,22,1.10510517813262e-05,0.000253268367054
"62","COLANSYN.PWY","lypma","lypma",2.24262798158205,0.456893270536499,59,23,1.37986865910052e-05,0.000311138126681053
"63","P4.PWY","lypma","lypma",2.21886540271836,0.453574022521809,59,22,1.44798603768262e-05,0.000321314996933382
"64","PWY.6595","lypma","lypma",2.72549685512587,0.557898844603904,59,24,1.48650325093745e-05,0.000324708053876648
