"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.5910","qiaamp","qiaamp",1.13659363783568,0.064172319527037,61,57,3.6316368721661e-23,8.29829025289954e-20
"2","PWY.5910","molysis","molysis",1.10371550310661,0.064172319527037,61,57,1.28367557039959e-22,1.03303281233558e-19
"3","PWY.922","qiaamp","qiaamp",1.2350205723876,0.0719814833287866,61,57,1.35627940350404e-22,1.03303281233558e-19
"4","PWY.5910","host_zero","host_zero",1.08585793733932,0.064172319527037,61,57,2.57769716183222e-22,1.17800760295732e-19
"5","PWY.922","molysis","molysis",1.21732421284473,0.0719814833287866,61,57,2.51500328639287e-22,1.17800760295732e-19
"6","PWY.7234","molysis","molysis",0.818669186441291,0.0490980445222746,61,61,4.8717112752938e-22,1.8087656539123e-19
"7","PWY.922","host_zero","host_zero",1.194950611164,0.0719814833287866,61,57,5.54107640148187e-22,1.8087656539123e-19
"8","PWY.6124","molysis","molysis",0.742043258756331,0.0456516559137449,61,61,1.39552462175556e-21,3.98596720088931e-19
"9","PWY.7234","host_zero","host_zero",0.796177176473089,0.0490980445222746,61,61,1.58126016036817e-21,4.01464385160141e-19
"10","PWY.6124","host_zero","host_zero",0.723107561332938,0.0456516559137449,61,61,4.13035820497669e-21,9.43786849837174e-19
"11","P125.PWY","qiaamp","qiaamp",1.07748252129588,0.0683332608871004,61,57,5.1347441468165e-21,1.06662639777052e-18
"12","PWY.922","benzonase","benzonase",1.11539189503551,0.0719814833287866,61,57,1.00158108589602e-20,1.907177317727e-18
"13","PWY.5910","benzonase","benzonase",0.98768677567396,0.064172319527037,61,57,1.38294765298046e-20,2.43079645158488e-18
"14","UDPNAGSYN.PWY","molysis","molysis",0.646231596769841,0.0444584971019983,61,61,1.74197424680709e-20,2.843150824253e-18
"15","PWY.7234","qiaamp","qiaamp",0.748854624456742,0.0490980445222746,61,61,2.03190687956965e-20,3.09527147987777e-18
"16","PWY.7221","molysis","molysis",0.588149535260414,0.0390900737862456,61,61,3.92880413308118e-20,5.28077496711205e-18
"17","UDPNAGSYN.PWY","host_zero","host_zero",0.634684535696984,0.0444584971019982,61,61,3.82862004121407e-20,5.28077496711205e-18
"18","PWY.7221","host_zero","host_zero",0.582502761523793,0.0390900737862456,61,61,5.82555354214094e-20,7.39521657988447e-18
"19","P125.PWY","host_zero","host_zero",1.00668402379842,0.0683332608871004,61,57,8.45969736738225e-20,9.63710849210591e-18
"20","PWY.6124","qiaamp","qiaamp",0.671359957655863,0.0456516559137449,61,61,8.85686119624613e-20,9.63710849210591e-18
"21","UDPNAGSYN.PWY","qiaamp","qiaamp",0.62280796931708,0.0444584971019983,61,61,8.68189510892007e-20,9.63710849210591e-18
"22","P125.PWY","molysis","molysis",1.00109119287905,0.0683332608871004,61,57,1.06123416350418e-19,1.10223639254866e-17
"23","PWY.6121","molysis","molysis",0.74688639102007,0.0515252834622301,61,61,1.70322707402565e-19,1.69211907136896e-17
"24","PWY.6125","molysis","molysis",0.538448176984895,0.0374354390569945,61,61,2.43224016962832e-19,2.31569532816696e-17
"25","PWY.6125","host_zero","host_zero",0.53407274894662,0.0374354390569945,61,61,3.37584532064656e-19,3.08552262307096e-17
"26","PWY.6121","host_zero","host_zero",0.729251645557269,0.05152528346223,61,61,4.45533517119324e-19,3.7777529867355e-17
"27","PWY.7228","molysis","molysis",0.5187627455806,0.0361467472514718,61,61,4.46386567360431e-19,3.7777529867355e-17
"28","PWY.7228","host_zero","host_zero",0.514790765465592,0.0361467472514718,61,61,6.04077593646926e-19,4.92970464815437e-17
"29","PWY.7221","qiaamp","qiaamp",0.548814033978031,0.0390900737862456,61,61,6.43376066007236e-19,5.06935969250529e-17
"30","PWY.6126","molysis","molysis",0.570587193309531,0.0430579490697467,61,61,9.28258682011512e-19,7.07023696132102e-17
"31","PWY.6122","molysis","molysis",0.702627860721078,0.0507864956706182,61,61,1.06110829726979e-18,7.35875356951247e-17
"32","PWY.6277","molysis","molysis",0.702627860721078,0.0507864956706182,61,61,1.06110829726979e-18,7.35875356951247e-17
"33","PWY.7229","molysis","molysis",0.588701391140587,0.0445679737182706,61,61,1.06275215664731e-18,7.35875356951247e-17
"34","PWY.7220","molysis","molysis",0.564573206532357,0.0411288057194118,61,61,1.37642194447941e-18,8.98606898038701e-17
"35","PWY.7222","molysis","molysis",0.564573206532357,0.0411288057194118,61,61,1.37642194447941e-18,8.98606898038701e-17
"36","PWY.6125","qiaamp","qiaamp",0.513641739570834,0.0374354390569945,61,61,1.5951891416552e-18,1.01250199685615e-16
"37","PWY.6121","qiaamp","qiaamp",0.699179215115152,0.0515252834622301,61,61,2.37364604337761e-18,1.42731084450469e-16
"38","PWY.7234","benzonase","benzonase",0.665683740310125,0.0490980445222746,61,61,2.35331543933114e-18,1.42731084450469e-16
"39","PWY.6122","host_zero","host_zero",0.682062822606432,0.0507864956706182,61,61,3.4325843707796e-18,1.86147467605436e-16
"40","PWY.6277","host_zero","host_zero",0.682062822606432,0.0507864956706182,61,61,3.4325843707796e-18,1.86147467605436e-16
"41","PWY.7220","host_zero","host_zero",0.551385944329878,0.0411288057194118,61,61,3.50299391992725e-18,1.86147467605436e-16
"42","PWY.7222","host_zero","host_zero",0.551385944329878,0.0411288057194118,61,61,3.50299391992725e-18,1.86147467605436e-16
