"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","GLYCOGENSYNTH.PWY","log10.Final_reads","log10.Final_reads",5.49070256213782,0.572071214691215,54,27,1.32897522467115e-12,1.47516249938497e-09
"2","PWY.6527","log10.Final_reads","log10.Final_reads",7.61035797235953,0.776958646793985,54,27,6.81398404377252e-13,1.47516249938497e-09
"3","P461.PWY","log10.Final_reads","log10.Final_reads",5.99069278754894,0.642322329576263,54,25,3.80047194589724e-12,2.81234923996396e-09
"4","GLUCOSE1PMETAB.PWY","log10.Final_reads","log10.Final_reads",5.43355097077866,0.637538970193039,54,28,4.27491685239388e-11,2.3725788530786e-08
"5","PWY.7391","log10.Final_reads","log10.Final_reads",5.12005457411887,0.634878572111579,54,20,2.18225628981849e-10,9.68921792679409e-08
"6","PWY.4041","log10.Final_reads","log10.Final_reads",3.63133334411463,0.456311831043731,54,25,3.58147044824116e-10,1.30531362823984e-07
"7","PWY.5367","log10.Final_reads","log10.Final_reads",4.52144902439267,0.573234767282189,54,24,4.11585378273824e-10,1.30531362823984e-07
"8","P105.PWY","log10.Final_reads","log10.Final_reads",5.6940514279535,0.744180423575689,54,24,9.33716381885977e-10,2.59106295973359e-07
"9","PWY.6284","log10.Final_reads","log10.Final_reads",4.35189194576077,0.578550838868365,54,24,1.49983995013171e-09,3.63634052625751e-07
"10","RUMP.PWY","log10.Final_reads","log10.Final_reads",5.02541106662399,0.673372519204971,54,20,1.63799122804392e-09,3.63634052625751e-07
"11","PWY.7328","log10.Final_reads","log10.Final_reads",4.1247524813092,0.551304788516262,54,24,2.3834654132273e-09,4.81026656124055e-07
"12","PPGPPMET.PWY","log10.Final_reads","log10.Final_reads",5.57240468323252,0.763253236584153,54,30,2.86308581350495e-09,5.23258540413429e-07
"13","PWY.5177","log10.Final_reads","log10.Final_reads",4.34367794154467,0.594466557363738,54,24,3.24354421791757e-09,5.23258540413429e-07
"14","PWY0.42","log10.Final_reads","log10.Final_reads",5.44329013751168,0.746384008531372,54,14,3.29982863323784e-09,5.23258540413429e-07
"15","ARGORNPROST.PWY","log10.Final_reads","log10.Final_reads",4.23785817709252,0.589666559364547,54,22,4.29539898535992e-09,5.52448417584715e-07
"16","GLUCARDEG.PWY","log10.Final_reads","log10.Final_reads",5.97274456818763,0.828266618377363,54,11,4.39378708195585e-09,5.52448417584715e-07
"17","P4.PWY","log10.Final_reads","log10.Final_reads",3.70742798072653,0.507748721353339,54,26,4.7029965364503e-09,5.52448417584715e-07
"18","PWY.6901","log10.Final_reads","log10.Final_reads",4.85070578762898,0.675386673130291,54,23,4.7281621324818e-09,5.52448417584715e-07
"19","PWY0.1297","log10.Final_reads","log10.Final_reads",4.30070031295657,0.59230186347071,54,25,3.75618779320869e-09,5.52448417584715e-07
"20","PWY.7198","log10.Final_reads","log10.Final_reads",4.22564394751248,0.587496482717345,54,26,5.12500614639853e-09,5.68875682250237e-07
"21","P441.PWY","log10.Final_reads","log10.Final_reads",4.57595976856363,0.637035947383701,54,24,6.55298333648987e-09,6.32505348130762e-07
"22","PWY.5971","log10.Final_reads","log10.Final_reads",4.23564299722652,0.594969217310284,54,24,6.30257833059297e-09,6.32505348130762e-07
"23","PWY.7003","log10.Final_reads","log10.Final_reads",4.20853971585961,0.594391285162404,54,20,6.24258008882588e-09,6.32505348130762e-07
"24","PWY.4702","log10.Final_reads","log10.Final_reads",4.14317442638875,0.581625463540995,54,24,7.10995513191099e-09,6.57670849701767e-07
"25","NAD.BIOSYNTHESIS.II","log10.Final_reads","log10.Final_reads",3.81463595645885,0.512308118392792,54,27,7.81898853911395e-09,6.6762132910896e-07
"26","PWY.6737","log10.Final_reads","log10.Final_reads",3.72387563861668,0.483337109934815,54,28,7.59156036352961e-09,6.6762132910896e-07
"27","PWY.5840","log10.Final_reads","log10.Final_reads",4.3380432401421,0.602236833525922,54,27,8.5065381733759e-09,6.9942647203313e-07
"28","GALACTARDEG.PWY","log10.Final_reads","log10.Final_reads",5.53120810859885,0.795896590724472,54,9,1.07248819266942e-08,8.2100820266418e-07
"29","GLUCARGALACTSUPER.PWY","log10.Final_reads","log10.Final_reads",5.53120810859885,0.795896590724472,54,9,1.07248819266942e-08,8.2100820266418e-07
"30","PWY.6285","log10.Final_reads","log10.Final_reads",4.10963509279845,0.596178837985184,54,24,1.40511707703775e-08,1.00624513258833e-06
"31","PWY.922","log10.Final_reads","log10.Final_reads",4.10080133682912,0.592552945834831,54,27,1.37999046712622e-08,1.00624513258833e-06
"32","PWY.5910","log10.Final_reads","log10.Final_reads",3.98978633714072,0.585651295090768,54,27,1.79636648704975e-08,1.19341101686574e-06
"33","PWY0.1298","log10.Final_reads","log10.Final_reads",4.03581961827966,0.591798188583559,54,25,1.80079887603875e-08,1.19341101686574e-06
"34","PWY4LZ.257","log10.Final_reads","log10.Final_reads",4.42468278895433,0.650668643619613,54,22,1.82774660240699e-08,1.19341101686574e-06
"35","FOLSYN.PWY","log10.Final_reads","log10.Final_reads",3.90982965164612,0.573871293395769,54,28,2.25157813817878e-08,1.42814384764483e-06
"36","GOLPDLCAT.PWY","log10.Final_reads","log10.Final_reads",4.90831333768042,0.718168008806388,54,24,2.40967634143e-08,1.48596707721517e-06
"37","PWY.5838","log10.Final_reads","log10.Final_reads",4.22707478408317,0.624977990568996,54,21,2.85396541616636e-08,1.62912545330843e-06
"38","PWY.6612","log10.Final_reads","log10.Final_reads",3.88614215933035,0.57995718851853,54,28,2.86197714770401e-08,1.62912545330843e-06
"39","TCA.GLYOX.BYPASS","log10.Final_reads","log10.Final_reads",5.02942818768642,0.755437400622986,54,27,2.72805015946223e-08,1.62912545330843e-06
"40","PWY.5791","log10.Final_reads","log10.Final_reads",4.45403554959427,0.638351542205443,54,28,3.24711460585688e-08,1.73016390199335e-06
"41","PWY.5837","log10.Final_reads","log10.Final_reads",4.45403554959427,0.638351542205443,54,28,3.24711460585688e-08,1.73016390199335e-06
"42","PWY.5861","log10.Final_reads","log10.Final_reads",4.2335935101735,0.630074421717906,54,21,3.35121836872585e-08,1.73016390199335e-06
"43","PWY.5863","log10.Final_reads","log10.Final_reads",4.36659588543153,0.627823504199596,54,28,3.33019335891348e-08,1.73016390199335e-06
"44","P122.PWY","log10.Final_reads","log10.Final_reads",4.18276267324648,0.62195909198545,54,24,3.68433077913158e-08,1.74025836801534e-06
"45","PWY.5897","log10.Final_reads","log10.Final_reads",4.20621817991925,0.600764930486239,54,28,3.62791242776662e-08,1.74025836801534e-06
"46","PWY.5898","log10.Final_reads","log10.Final_reads",4.20621817991925,0.600764930486239,54,28,3.62791242776662e-08,1.74025836801534e-06
"47","PWY.5899","log10.Final_reads","log10.Final_reads",4.20621817991925,0.600764930486239,54,28,3.62791242776662e-08,1.74025836801534e-06
"48","PWY.6588","log10.Final_reads","log10.Final_reads",3.8698315210256,0.590888712231492,54,21,4.03925833295124e-08,1.86815697898995e-06
"49","PWY.6519","log10.Final_reads","log10.Final_reads",4.45058519131099,0.680218875502324,54,28,4.13389200278897e-08,1.87290617269214e-06
"50","PENTOSE.P.PWY","log10.Final_reads","log10.Final_reads",3.85310034793156,0.569372075030815,54,27,4.28424591623372e-08,1.90220518680777e-06
"51","PWY.7345","log10.Final_reads","log10.Final_reads",4.37184810511163,0.674522454899293,54,13,5.02319442977616e-08,2.1445176219429e-06
"52","PWY0.781","log10.Final_reads","log10.Final_reads",3.43365900454934,0.519672440765581,54,26,4.97840199664363e-08,2.1445176219429e-06
"53","PWY.3801","log10.Final_reads","log10.Final_reads",4.33907559541921,0.670897787616193,54,13,5.27167898658091e-08,2.20813723588861e-06
"54","PWY.5723","log10.Final_reads","log10.Final_reads",4.64140559828898,0.715450096034903,54,20,5.4208634973125e-08,2.22857721556181e-06
"55","PWY.2723","log10.Final_reads","log10.Final_reads",3.68560659070507,0.52537863567079,54,26,6.06595329331848e-08,2.4484393293031e-06
"56","GLYCOCAT.PWY","log10.Final_reads","log10.Final_reads",3.6469945575837,0.519462781302051,54,27,6.54870286433479e-08,2.59609292121843e-06
"57","PWY.6353","log10.Final_reads","log10.Final_reads",4.55999570834313,0.708364120409376,54,31,6.83941767631747e-08,2.62603611087573e-06
"58","PWY66.398","log10.Final_reads","log10.Final_reads",4.39029910191765,0.686887105594755,54,11,6.86081506445012e-08,2.62603611087573e-06
"59","PWY66.409","log10.Final_reads","log10.Final_reads",5.27975811240886,0.831659904890791,54,28,7.98717051901589e-08,3.00534212749412e-06
"60","PWY.5747","log10.Final_reads","log10.Final_reads",4.85186814910993,0.765921044564411,54,28,8.61679776337506e-08,3.18821517244877e-06
"61","PWY.6113","log10.Final_reads","log10.Final_reads",3.87129373261002,0.612670389631454,54,19,8.95401796284736e-08,3.25867538975756e-06
"62","PWY.5005","log10.Final_reads","log10.Final_reads",3.92589904029035,0.620513712485745,54,24,9.19354880602878e-08,3.26177151028755e-06
"63","PWY.5747","molysis","molysis",-5.39907720694206,0.8521058551588,54,28,9.25637861027547e-08,3.26177151028755e-06
