"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.4361","sample_type","Mock",2.74198803813007,0.0861911330187343,147,32,3.90694076007782e-65,1.52605106088639e-61
"2","P562.PWY","sample_type","Mock",7.27556467574653,0.248068442440459,147,32,6.51166701025871e-61,1.27172856710353e-57
"3","PWY.7245","sample_type","Mock",7.2508360347042,0.255412719192956,147,33,3.02153926917189e-59,3.9340441284618e-56
"4","PWY.5692","sample_type","Mock",6.75939862469878,0.244954215770794,147,32,8.29649572248312e-58,6.48122245840381e-55
"5","URDEGR.PWY","sample_type","Mock",6.75939862469878,0.244954215770794,147,32,8.29649572248312e-58,6.48122245840381e-55
"6","PWY.6992","sample_type","Mock",3.59090503270051,0.131812606505447,147,32,3.68054683973263e-57,2.39603599266594e-54
"7","PWY.7528","sample_type","Mock",2.54214562326804,0.101774898298556,147,31,7.40245487458053e-53,4.13056982001593e-50
"8","PWY.7626","sample_type","Mock",2.55702331592199,0.10310236141977,147,31,1.64816921483856e-52,8.04718619144929e-50
"9","PWY66.201","sample_type","Mock",2.71252815141491,0.112901417289943,147,31,5.69767150472068e-51,2.47278943304878e-48
"10","PWY.5850","sample_type","Mock",5.28504375617498,0.241082380979456,147,35,1.22803050854882e-46,4.79668716639167e-44
"11","PWY.6396","sample_type","Mock",4.03866703961441,0.185165816138761,147,33,2.11150502788554e-46,7.49776239901903e-44
"12","PWY.5860","sample_type","Mock",5.43006001112844,0.254982087585672,147,35,2.66256243789545e-45,8.66664073534969e-43
"13","PWY.5306","sample_type","Mock",4.75443797513851,0.232931656810614,147,31,2.23249642666979e-43,6.70779310967091e-41
"14","PWY.7527","sample_type","Mock",3.37568161119031,0.171243291414419,147,30,7.90842204260742e-42,2.20644974988747e-39
"15","PWY.5067","sample_type","Mock",3.71763432040641,0.198637171354592,147,30,1.43196167272224e-39,3.72882819576871e-37
"16","PWY.5079","sample_type","Mock",2.29781780672104,0.124824429793717,147,30,7.28994147005636e-39,1.77965696137751e-36
"17","PWY.6309","sample_type","Mock",3.69452871470888,0.209219857020708,147,30,4.05998894153128e-37,9.3284216503654e-35
"18","PWY.5129","sample_type","Mock",3.89313715032254,0.222425605391067,147,30,9.42554428919737e-37,2.04534311075583e-34
