"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.4361","sample_type","Mock",2.98528584563545,0.115273582973023,147,32,2.8429224013996e-50,3.57810213440154e-46
"2","PWY.7616","sampletype_treatment","Mock*Benzonase",-19.2378152710814,1.05361736439407,147,37,5.16636462965964e-34,3.25119326144481e-30
"3","PWY.7616","sampletype_treatment","Mock*QIAamp",-18.5576597475842,1.05361736439407,147,37,8.57380399903769e-33,3.59699657106295e-29
"4","PWY.7616","sampletype_treatment","Mock*Host zero",-18.3789763475994,1.05361736439407,147,37,1.80918602565892e-32,5.69260382973578e-29
"5","PWY.5532","sample_type","Mock",6.07557242858886,0.388440272776365,147,20,1.90470281685143e-30,4.79451793057843e-27
"6","THREOCAT.PWY","sample_type","Mock",8.25103558138947,0.555138677568534,147,17,1.02651772489188e-28,2.15329201424819e-25
"7","PWY0.41","sample_type","Mock",9.08952034043098,0.625420174020856,147,23,5.67198557391753e-28,1.01982300619037e-24
"8","PWY.5692","sample_type","Mock",8.50127325883485,0.594617083613978,147,32,1.94700226821738e-27,2.72277450530933e-24
"9","URDEGR.PWY","sample_type","Mock",8.50127325883485,0.594617083613978,147,32,1.94700226821738e-27,2.72277450530933e-24
"10","FUC.RHAMCAT.PWY","sampletype_treatment","Mock*Host zero",-7.97431248432056,0.536746035599535,147,29,3.70997718366852e-27,4.6693772833652e-24
"11","PWY.6992","sample_type","Mock",4.19906289166858,0.297372495821075,147,32,4.90809035634001e-27,5.61574774771776e-24
"12","PWY.5656","sampletype_treatment","Mock*Host zero",-11.4341310308725,0.778096540268089,147,26,5.876030154406e-27,6.16297629361282e-24
"13","PWY.7245","sample_type","Mock",8.66621167883503,0.617538488830362,147,33,7.75358728286248e-27,7.50666534939286e-24
"14","PWY.7528","sample_type","Mock",2.9840675739989,0.214127012145057,147,31,1.29501817763731e-26,1.16422134169594e-23
"15","PWY.4041","sampletype_treatment","Mock*Host zero",-20.6850415071917,1.43723394896896,147,51,2.35968271008256e-26,1.97993110593994e-23
"16","HCAMHPDEG.PWY","sampletype_treatment","Mock*Host zero",-9.92419278957787,0.687058052205271,147,28,2.75183240063623e-26,2.03732721143574e-23
"17","PWY.6690","sampletype_treatment","Mock*Host zero",-9.92419278957787,0.687058052205271,147,28,2.75183240063623e-26,2.03732721143574e-23
"18","FUC.RHAMCAT.PWY","sampletype_treatment","Mock*Benzonase",-7.65914212533462,0.536746035599534,147,29,5.92718872104892e-26,4.14442206906232e-23
"19","PWY.5656","sampletype_treatment","Mock*Benzonase",-10.9011341544077,0.778096540268089,147,26,1.55724447411973e-25,1.0315515237511e-22
"20","PWY.7626","sample_type","Mock",2.70896453525092,0.202971233950733,147,31,2.93266493884836e-25,1.84552604601727e-22
"21","HCAMHPDEG.PWY","sampletype_treatment","Mock*Benzonase",-9.4908417669625,0.68705805220527,147,28,5.54335406141746e-25,3.1713024644091e-22
"22","PWY.6690","sampletype_treatment","Mock*Benzonase",-9.4908417669625,0.68705805220527,147,28,5.54335406141746e-25,3.1713024644091e-22
"23","PWY.5178","sampletype_treatment","Mock*Host zero",-8.40867381513347,0.61396062777399,147,25,5.98177377012819e-25,3.27333063786232e-22
