"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.6123","molysis","molysis",1.79307216128113,0.260901648213184,30,23,4.15702739667182e-07,0.000642260732785796
"2","PWY.6124","molysis","molysis",1.66987801876405,0.270984777300878,30,22,2.28939542821668e-06,0.000976505270347203
"3","PWY.7111","molysis","molysis",1.52705684086346,0.228028256451782,30,25,1.61825936636669e-06,0.000976505270347203
"4","PWY.7208","molysis","molysis",1.52046953903741,0.234411836211157,30,24,2.52816898471768e-06,0.000976505270347203
"5","PWY.6123","host_zero","host_zero",1.55725987880919,0.260901648213184,30,23,3.67952997863337e-06,0.00113697476339771
"6","PWY.3781","host_zero","host_zero",2.01671604043502,0.32955603967639,30,23,5.5774912966776e-06,0.00130815704566862
"7","VALSYN.PWY","molysis","molysis",1.48493144462998,0.243765327882011,30,25,5.92692512600667e-06,0.00130815704566862
"8","PWY.7208","host_zero","host_zero",1.39391338839694,0.234411836211157,30,24,8.14889419276052e-06,0.00157375519097688
"9","HSERMETANA.PWY","molysis","molysis",1.63882357749972,0.278250964165385,30,21,9.23387708697297e-06,0.00158514889993036
"10","NONOXIPENT.PWY","molysis","molysis",1.64261895629493,0.286058022248133,30,24,1.28042032494003e-05,0.00182667251095133
"11","PWY.6124","host_zero","host_zero",1.46174869262323,0.270984777300878,30,22,1.53700599626973e-05,0.00182667251095133
"12","PWY.7234","molysis","molysis",1.35529143172009,0.238992394274472,30,20,1.50133803898572e-05,0.00182667251095133
"13","PWY.7279","host_zero","host_zero",2.29359676348406,0.403653755125978,30,22,1.46415304288608e-05,0.00182667251095133
"14","PWY.7111","host_zero","host_zero",1.25442056499275,0.228028256451782,30,25,2.19656198491095e-05,0.00242406304763387
"15","PWY.6163","molysis","molysis",1.37919257377532,0.252870726002825,30,20,2.44216474645416e-05,0.00251542968884779
"16","NONOXIPENT.PWY","host_zero","host_zero",1.52477117832807,0.286058022248133,30,24,3.23214479548228e-05,0.00281370529494553
"17","PWY.3781","molysis","molysis",1.75457754705931,0.32955603967639,30,23,3.27810325624722e-05,0.00281370529494553
"18","UDPNAGSYN.PWY","molysis","molysis",1.66926995039729,0.312089301156552,30,24,3.09998465490728e-05,0.00281370529494553
"19","TCA","host_zero","host_zero",1.62843178348129,0.308552410841628,30,21,3.64264991966443e-05,0.00296204953993765
"20","PWY.7228","molysis","molysis",1.41684300772341,0.273186132613259,30,23,4.48480111360446e-05,0.00346450886025944
"21","COA.PWY.1","molysis","molysis",1.26348401036864,0.252840857014859,30,23,6.91818216767253e-05,0.00362162144696933
"22","COA.PWY","molysis","molysis",1.16832301099344,0.231249858011625,30,23,6.0964568770312e-05,0.00362162144696933
"23","HEME.BIOSYNTHESIS.II","host_zero","host_zero",1.46612857033581,0.296372975642013,30,21,7.76603071615793e-05,0.00362162144696933
"24","HEME.BIOSYNTHESIS.II","molysis","molysis",1.48937704190109,0.296372975642013,30,21,6.48421036176503e-05,0.00362162144696933
"25","OANTIGEN.PWY","molysis","molysis",1.32706450831202,0.281035673889695,30,19,8.41894838392558e-05,0.00362162144696933
"26","PWY.3781","qiaamp","qiaamp",1.63656192583433,0.32955603967639,30,23,7.43272974379468e-05,0.00362162144696933
"27","PWY.4984","host_zero","host_zero",2.24340064141498,0.444950470169503,30,21,6.24226176521779e-05,0.00362162144696933
"28","PWY.4984","molysis","molysis",2.2069438076522,0.444950470169503,30,21,7.53578940807751e-05,0.00362162144696933
"29","PWY.5104","host_zero","host_zero",2.38051623717961,0.471914496619934,30,20,6.20698405822894e-05,0.00362162144696933
"30","PWY.7111","qiaamp","qiaamp",1.1334728213057,0.228028256451782,30,25,7.35115047954856e-05,0.00362162144696933
"31","PWY.7187","molysis","molysis",1.19239968286857,0.240466785711443,30,17,7.55817527690061e-05,0.00362162144696933
"32","PWY.7279","molysis","molysis",2.06365935410207,0.403653755125978,30,22,5.31034952963749e-05,0.00362162144696933
"33","PWY66.389","host_zero","host_zero",1.1944451759614,0.243225814982419,30,23,8.43872958517124e-05,0.00362162144696933
"34","PWY66.422","molysis","molysis",1.30845239165681,0.265961780449403,30,15,8.26828355198888e-05,0.00362162144696933
"35","TRPSYN.PWY","molysis","molysis",1.23117749659242,0.241751071315976,30,20,5.55540624411221e-05,0.00362162144696933
"36","VALSYN.PWY","host_zero","host_zero",1.20615639237162,0.243765327882011,30,25,7.7460448939044e-05,0.00362162144696933
"37","PWY.6317","molysis","molysis",1.28527299448463,0.264826063789917,30,15,9.63776964533916e-05,0.00402442002758081
"38","X1CMET2.PWY","molysis","molysis",1.20998650777139,0.256107015848357,30,22,0.000129821558836605,0.00443540284841422
"39","ARGSYNBSUB.PWY","host_zero","host_zero",1.18944452496967,0.252718850009461,30,20,0.000135336274032006,0.00443540284841422
"40","ARGSYNBSUB.PWY","molysis","molysis",1.17876271245742,0.252718850009461,30,20,0.000149282167066369,0.00443540284841422
"41","HSERMETANA.PWY","host_zero","host_zero",1.30407660666279,0.278250964165385,30,21,0.000141730086299026,0.00443540284841422
"42","PWY.5173","host_zero","host_zero",1.28007598792365,0.271184636366297,30,19,0.000131098760216837,0.00443540284841422
"43","PWY.6123","benzonase","benzonase",1.17671126306195,0.260901648213184,30,23,0.000144324918026632,0.00443540284841422
"44","PWY.6123","qiaamp","qiaamp",1.20463569497534,0.260901648213184,30,23,0.000109919702196491,0.00443540284841422
"45","PWY.6609","molysis","molysis",1.37165344761625,0.294066867894221,30,18,0.000149246622111404,0.00443540284841422
"46","PWY.7184","molysis","molysis",1.27069509214819,0.265939888818557,30,21,0.000114665273668335,0.00443540284841422
"47","PWY.7208","qiaamp","qiaamp",1.09434137746739,0.234411836211157,30,24,0.000147857171361444,0.00443540284841422
"48","PWY.7220","molysis","molysis",1.20573722336444,0.255326787920809,30,24,0.000130486920762193,0.00443540284841422
"49","PWY.7222","molysis","molysis",1.20573722336444,0.255326787920809,30,24,0.000130486920762193,0.00443540284841422
"50","PWY.7228","host_zero","host_zero",1.30061559439921,0.273186132613259,30,23,0.000119327804399985,0.00443540284841422
"51","PWY66.389","qiaamp","qiaamp",1.13929801234313,0.243225814982419,30,23,0.000142579715821333,0.00443540284841422
"52","UDPNAGSYN.PWY","host_zero","host_zero",1.48116305551989,0.312089301156552,30,24,0.000123533545417998,0.00443540284841422
"53","PWY.7234","host_zero","host_zero",1.11190200192789,0.238992394274472,30,20,0.00015345259098319,0.00447328779375525
"54","ILEUSYN.PWY","molysis","molysis",1.48493144462998,0.320191719949378,30,22,0.000158828615445902,0.00454426316414664
"55","PWY.3001","molysis","molysis",1.30057477697086,0.282746787547839,30,21,0.0001734311533316,0.00463624802876123
"56","PWY.5104","molysis","molysis",2.16651737289808,0.471914496619934,30,20,0.000177047659350753,0.00463624802876123
"57","PWY.6163","host_zero","host_zero",1.16222349603988,0.252870726002825,30,20,0.00017491713860843,0.00463624802876123
"58","PWY0.162","molysis","molysis",1.21247853016598,0.263145721141914,30,21,0.0001702967313811,0.00463624802876123
"59","THRESYN.PWY","molysis","molysis",1.33843813646133,0.291522135494462,30,21,0.000176926232500525,0.00463624802876123
"60","DENOVOPURINE2.PWY","molysis","molysis",1.0994531938532,0.240254685187503,30,15,0.00018321070309169,0.00464033666027314
"61","PWY.7282","molysis","molysis",0.789519010190294,0.172376990215168,30,11,0.000181518514222047,0.00464033666027314
"62","TCA","molysis","molysis",1.40980751758107,0.308552410841628,30,21,0.000186260449806912,0.00464149024115612
"63","BRANCHED.CHAIN.AA.SYN.PWY","molysis","molysis",1.68506575954627,0.374721387040028,30,22,0.000220382759895275,0.00468900172253651
"64","HOMOSER.METSYN.PWY","molysis","molysis",1.28761102684849,0.283212593245564,30,21,0.000196343757770341,0.00468900172253651
"65","PWY.3781","benzonase","benzonase",1.48362095181399,0.32955603967639,30,23,0.000217816254411071,0.00468900172253651
"66","PWY.5103","molysis","molysis",1.7673180100923,0.390860174910025,30,22,0.000208031124317326,0.00468900172253651
"67","PWY.5913","molysis","molysis",1.15607348245406,0.256955895827695,30,20,0.000219224008412618,0.00468900172253651
"68","PWY.6527","molysis","molysis",1.37949207113625,0.306923502936446,30,15,0.000221551537699136,0.00468900172253651
"69","PWY.7220","host_zero","host_zero",1.1498153021509,0.255326787920809,30,24,0.000217091493188829,0.00468900172253651
"70","PWY.7222","host_zero","host_zero",1.1498153021509,0.255326787920809,30,24,0.000217091493188829,0.00468900172253651
"71","PWY.7279","benzonase","benzonase",1.82354360974875,0.403653755125978,30,22,0.000209987011724115,0.00468900172253651
"72","PWY0.1296","molysis","molysis",1.08298762435334,0.239849541523035,30,18,0.000211121965815057,0.00468900172253651
"73","PWY0.166","molysis","molysis",1.23940636925724,0.273219244587312,30,21,0.000201033451764005,0.00468900172253651
"74","PWY.3841","molysis","molysis",1.271853957674,0.283752367792363,30,22,0.00022799975903529,0.00476026523931787
"75","GLYOXYLATE.BYPASS","host_zero","host_zero",2.20770871062288,0.496519277148442,30,21,0.000247899742257617,0.00510673469050692
"76","PWY.6121","molysis","molysis",1.32682271564735,0.299230241626101,30,21,0.000255084191749538,0.00518559310859258
"77","PWY.7400","molysis","molysis",0.935340297863969,0.212180610797501,30,19,0.000270966242046879,0.00543692005146009
"78","LACTOSECAT.PWY","molysis","molysis",1.33970783298445,0.305108937494422,30,14,0.000282135715889247,0.00551771748163148
"79","PWY.6151","molysis","molysis",1.24574139737467,0.283592078724713,30,24,0.000280948816593349,0.00551771748163148
"80","PWY.7663","molysis","molysis",1.34712994598237,0.317640923393915,30,23,0.000286088623909562,0.00552508654925342
"81","PWY.7400","host_zero","host_zero",0.926962787343135,0.212180610797501,30,19,0.000297121173095173,0.00566731126459312
