"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.4361","sample_type","Mock",2.75065879483574,0.0812232770801954,157,32,2.61417772556082e-71,1.01874505965105e-67
"2","P562.PWY","sample_type","Mock",7.25367311054345,0.232761740836996,157,32,1.20327907944645e-66,2.34458928630142e-63
"3","PWY.7245","sample_type","Mock",7.27610064669227,0.240640761110072,157,33,5.62409127161195e-65,7.30569456182393e-62
"4","PWY.5692","sample_type","Mock",6.7967268186477,0.231485770308015,157,32,2.29251018871747e-63,1.78678244108639e-60
"5","URDEGR.PWY","sample_type","Mock",6.7967268186477,0.231485770308015,157,32,2.29251018871747e-63,1.78678244108639e-60
"6","PWY.6992","sample_type","Mock",3.60608005223081,0.123928831562251,157,32,7.1053178669327e-63,4.61490395457279e-60
"7","PWY.7528","sample_type","Mock",2.55120261414771,0.0956271805850383,157,31,3.28357788759524e-58,1.82801471827981e-55
"8","PWY.7626","sample_type","Mock",2.55950636598087,0.0967325822591403,157,31,8.96462851450481e-58,4.36689466512815e-55
"9","PWY66.201","sample_type","Mock",2.71478498957911,0.105912952412551,157,31,4.18600935554599e-56,1.81254205095141e-53
"10","PWY.5850","sample_type","Mock",5.35007660306433,0.228892631862271,157,35,2.27594731920727e-51,8.86936670295073e-49
"11","PWY.6396","sample_type","Mock",4.00261077504926,0.174533939797687,157,33,2.05280668004476e-50,7.27253421103131e-48
"12","PWY.5860","sample_type","Mock",5.50185860359806,0.242304060484008,157,35,6.42560078378159e-50,2.08671385453307e-47
"13","PWY.5306","sample_type","Mock",4.71021152172777,0.219466431937502,157,31,3.78031441290268e-47,1.13322194362167e-44
"14","PWY.7527","sample_type","Mock",3.34322549925928,0.161173504603556,157,30,1.64693547618129e-45,4.58436253619892e-43
"15","PWY.5067","sample_type","Mock",3.68047288138027,0.186849015854255,157,30,4.47047894695941e-43,1.16143043042005e-40
"16","PWY.5079","sample_type","Mock",2.27943841176601,0.117219784445501,157,30,1.75899705410085e-42,4.28425719989437e-40
"17","PWY.6309","sample_type","Mock",3.65289613724137,0.19686877591425,157,30,2.38879130234918e-40,5.47595276779692e-38
"18","PWY.5129","sample_type","Mock",3.84849690009241,0.209335929568527,157,30,6.18915731985871e-40,1.33995255974941e-37
"19","PWY.7409","sample_type","Mock",3.12736490147795,0.170562487487475,157,30,8.12697191514534e-40,1.6668847133327e-37
"20","PWY.3502","sample_type","Mock",2.78152249719253,0.156006622058134,157,30,1.40027681554383e-38,2.72843937508716e-36
"21","TRIGLSYN.PWY","sample_type","Mock",2.99170708748764,0.169120290092791,157,30,3.08895949987635e-38,5.7322262719134e-36
"22","PWY.7053","sample_type","Mock",4.03270218881576,0.235154392883153,157,29,6.74384340279143e-37,1.19457989730355e-34
"23","PWY.7606","sample_type","Mock",3.53515597730297,0.207188185004269,157,29,1.10875142290518e-36,1.87861056307021e-34
"24","PWY.7036","sample_type","Mock",4.03426030436158,0.236742996108892,157,29,1.25713929819883e-36,2.04127993545036e-34
"25","PWY.5304","sample_type","Mock",3.70521797830451,0.217856699840662,157,29,1.52044871378041e-36,2.3700754550409e-34
"26","PWY.7592","sample_type","Mock",4.10726774378948,0.242009149814963,157,29,1.87085267407985e-36,2.80412033495737e-34
"27","SPHINGOLIPID.SYN.PWY","sample_type","Mock",3.44338736488365,0.207721224944558,157,29,1.82749247461815e-35,2.63768080503219e-33
"28","PWY.7546","sample_type","Mock",3.34669983992364,0.203877868492456,157,29,4.67453588047644e-35,6.50595225936311e-33
"29","PWY.5081","sample_type","Mock",3.43307007602954,0.210949611505441,157,29,1.06154112267046e-34,1.4264916396713e-32
"30","PWY.6352","sample_type","Mock",3.40407166810359,0.210376886943846,157,29,1.83217915231096e-34,2.38000071885193e-32
"31","PWY.5381","sample_type","Mock",2.54469957631508,0.157356814311463,157,29,1.93445782819517e-34,2.43180069563761e-32
"32","PWY.7283","sample_type","Mock",3.39235013663933,0.211090410780371,157,29,3.48974543418781e-34,4.24985561157185e-32
"33","MANNOSYL.CHITO.DOLICHOL.BIOSYNTHESIS","sample_type","Mock",3.27303836487062,0.205627232391715,157,29,8.56620482519191e-34,1.01159091526584e-31
"34","PWY.5044","sample_type","Mock",2.96850579988562,0.201894964315922,157,29,1.13943352720749e-30,1.30599189868459e-28
"35","PWY.6596","sample_type","Mock",2.97150622434477,0.203966654779725,157,29,2.54999166940051e-30,2.83923358161537e-28
"36","PWY.6433","sample_type","Mock",3.28517754506452,0.227330641799925,157,25,5.15646080715264e-30,5.58186882374274e-28
"37","PWY.2201","sample_type","Mock",3.40330321474127,0.240755927090104,157,28,3.42745046046899e-29,3.6099390390399e-27
"38","PWY.6829","sample_type","Mock",3.10578791861791,0.225623052288078,157,26,3.20460314006717e-28,3.28640485180046e-26
"39","PWY.6075","sample_type","Mock",3.1014786337014,0.228703060488123,157,26,1.10261336749967e-27,1.10176520337082e-25
"40","PWY.7286","sample_type","Mock",3.41777210857035,0.252394144350011,157,30,1.24273403405965e-27,1.21073363268261e-25
"41","PWY.7337","sample_type","Mock",2.77661217259744,0.224447776683899,157,31,1.53575796544995e-24,1.42496399794248e-22
"42","PWY.7338","sample_type","Mock",2.77661217259744,0.224447776683899,157,31,1.53575796544995e-24,1.42496399794248e-22
"43","PWY.7007","sample_type","Mock",3.06559579971146,0.267332927695758,157,31,3.80622917585807e-22,3.44950583681835e-20
"44","PWY.6074","sample_type","Mock",2.66668348747023,0.238515808076663,157,21,2.18809514875304e-21,1.93795608970241e-19
"45","CODH.PWY","sample_type","Mock",2.68178753379434,0.249943650866378,157,26,3.38989520985489e-20,2.93564925173434e-18
"46","PWY.5532","sample_type","Mock",3.06748785106165,0.295581503859355,157,20,2.85361329236478e-19,2.41750673920556e-17
"47","PWY.6123","sample_type","Nasal",2.88017236254588,0.281834178460093,157,129,7.42581523005734e-19,6.15710679819861e-17
"48","UDPNAGSYN.PWY","sample_type","Nasal",2.96913747339637,0.307610018015062,157,129,2.23279232749533e-17,1.81274827088527e-15
"49","ERGOSTEROL.SYN.PWY","sample_type","Mock",2.08558573781686,0.217355859168419,157,18,3.13744323300311e-17,2.49522781204349e-15
"50","PWY.5896","sample_type","Mock",4.18700262728157,0.440610504625115,157,24,5.44389206409119e-17,4.24296947475268e-15
"51","PWY.5845","sample_type","Mock",4.18828285522192,0.453334478777207,157,26,2.60386908708504e-16,1.98966232007263e-14
"52","PWY.5862","sample_type","Mock",4.33081065392187,0.469056633095097,157,26,2.69488760800195e-16,2.01961096315069e-14
"53","PWY0.41","sample_type","Mock",3.87212205567974,0.423636061106405,157,23,4.66094904862907e-16,3.42711668726556e-14
"54","THREOCAT.PWY","sample_type","Mock",3.44315685049184,0.389011101679821,157,17,2.54515381662505e-15,1.83675267099774e-13
"55","LIPASYN.PWY","sample_type","Mock",3.04417503148109,0.346346444310742,157,27,3.64814683230363e-15,2.58487785554313e-13
"56","PWY.5178","sample_type","Mock",3.20006419804628,0.397727803834731,157,25,2.63270603347042e-13,1.83208132364897e-11
"57","ENTBACSYN.PWY","sample_type","Mock",3.76173780325502,0.472056927525855,157,26,4.07138259094823e-13,2.78353999244302e-11
"58","PWY.6123","sample_type","Mock",2.20718545716801,0.288856881172758,157,129,2.5551221116511e-12,1.71677773605247e-10
"59","ARGSYN.PWY","sample_type","Nasal",3.86610160890721,0.258871090075037,157,119,4.90187616310064e-12,3.23773074705139e-10
"60","PWY.7400","sample_type","Nasal",3.89248620138626,0.272467332191019,157,118,9.56411884245137e-12,6.21189518817217e-10
"61","PWY.6123","sample_type","Sputum",2.14389668996495,0.291151181582799,157,129,1.1816645085318e-11,7.54909277007936e-10
"62","UDPNAGSYN.PWY","sample_type","Neg.",-2.25164515774227,0.315274999316339,157,129,3.94467913962692e-11,2.47942171082679e-09
"63","PWY.7204","sample_type","Nasal",4.81061091262971,0.709946795669064,157,45,2.77901760324597e-10,1.71902088886501e-08
"64","HEME.BIOSYNTHESIS.II","sample_type","Nasal",3.34021562848292,0.284751884528075,157,123,2.95511497189847e-10,1.79938797585755e-08
"65","UDPNAGSYN.PWY","sample_type","Mock",2.10138910744798,0.315274999316339,157,129,4.97018257112884e-10,2.97981561225986e-08
"66","PWY.6897","sample_type","Nasal",4.1094297490188,0.348656737280878,157,111,5.19644970770916e-10,3.06826735014282e-08
"67","HISTSYN.PWY","sample_type","Nasal",4.33314152729461,0.379887236633045,157,117,5.35627289581247e-10,3.11543216044495e-08
"68","PWY.922","molysis","molysis",0.64229670724349,0.0963586591540521,157,73,6.29886272476453e-10,3.6098041232952e-08
"69","PWY.922","host_zero","host_zero",0.628051875778107,0.0963997331579795,157,73,1.35168843851733e-09,7.63410122449573e-08
"70","ARGSYNBSUB.PWY","sample_type","Nasal",3.10944171842027,0.288114460971357,157,120,1.39696477722602e-09,7.77710248121399e-08
"71","UDPNAGSYN.PWY","sample_type","Sputum",2.04720988226845,0.317779130626178,157,129,1.57908435203495e-09,8.66717143645101e-08
"72","PWY.7228","sample_type","Nasal",2.86420490734054,0.275349401072488,157,130,1.97450146916373e-09,1.06869892018487e-07
"73","X1CMET2.PWY","sample_type","Nasal",2.82282093753306,0.264505570444404,157,122,2.2733303168953e-09,1.21358469108781e-07
"74","P185.PWY","molysis","molysis",1.01404021085022,0.1586437147276,157,97,2.65479260208428e-09,1.37943023604299e-07
"75","PWY.5188","sample_type","Nasal",5.08504064434647,0.494324947246402,157,118,2.63221909664539e-09,1.37943023604299e-07
"76","PWY.3841","sample_type","Nasal",2.86190126915248,0.276275356977885,157,124,3.41024508696509e-09,1.74864803998723e-07
"77","PWY.5686","sample_type","Nasal",2.73573153815149,0.27648043244699,157,121,5.02698367515765e-09,2.51155838231915e-07
"78","PWY.922","qiaamp","qiaamp",0.601885302237281,0.096223778241086,157,73,5.00733920143418e-09,2.51155838231915e-07
"79","PWY.4984","host_zero","host_zero",1.11032911034737,0.177870960287315,157,107,5.4827871072158e-09,2.70461029833164e-07
"80","KDO.NAGLIPASYN.PWY","sample_type","Mock",3.04737606142973,0.493098194722933,157,16,5.9865606790709e-09,2.91620337079241e-07
"81","PWY.7197","sample_type","Nasal",3.07512006438644,0.311288605462104,157,128,6.7921269995351e-09,3.26776776755411e-07
"82","GLUTORN.PWY","sample_type","Nasal",4.42675172362387,0.451979979429381,157,120,7.58021299281209e-09,3.5781226228689e-07
"83","PWY.6125","sample_type","Nasal",2.97718700682009,0.310794045561894,157,127,7.62084110079853e-09,3.5781226228689e-07
"84","THRESYN.PWY","sample_type","Nasal",2.81194666041497,0.29390773720779,157,122,8.40334334442917e-09,3.89855107300482e-07
"85","LACTOSECAT.PWY","molysis","molysis",1.19871812202978,0.195918776972377,157,97,1.0151062296802e-08,4.65396350242794e-07
"86","PWY.4984","molysis","molysis",1.08293561451806,0.177782557819161,157,107,1.15134465097701e-08,5.21719779634583e-07
"87","P185.PWY","qiaamp","qiaamp",0.960099629587047,0.158362561190453,157,97,1.34607738885708e-08,6.02949837284601e-07
"88","PWY.6263","sample_type","Mock",1.9536340934355,0.324972497271696,157,22,1.38667624743548e-08,6.14076970029098e-07
"89","PWY.7184","sample_type","Nasal",3.02619245611853,0.321013160938385,157,124,1.53642723713255e-08,6.72747971135456e-07
"90","PWY0.162","molysis","molysis",0.518927386840924,0.0863492833681556,157,116,1.61954579054505e-08,7.01263327306008e-07
"91","FOLSYN.PWY","molysis","molysis",0.434165785945277,0.0721942527924915,157,70,1.66206258612551e-08,7.11764604190231e-07
"92","PWY.7198","molysis","molysis",0.595210326328463,0.099062586299129,157,101,1.74488599990204e-08,7.39110950175898e-07
"93","PWY0.166","sample_type","Nasal",3.00671482661067,0.324079046188568,157,124,1.78156538834343e-08,7.46533367567134e-07
"94","PWY.6123","sample_type","Neg.",-1.71258990253622,0.288856881172758,157,129,2.08640248014629e-08,8.64969198418097e-07
"95","PEPTIDOGLYCANSYN.PWY","sample_type","Nasal",2.90010474130919,0.319954127679208,157,122,2.64486015900645e-08,1.0849494778577e-06
"96","PWY0.1338","sample_type","Sputum",7.46965683176951,0.70959253653828,157,49,2.96438725537808e-08,1.20335595148004e-06
"97","PWY.4242","sample_type","Nasal",3.24730539060313,0.352912182743538,157,119,3.37585435781012e-08,1.35625818890578e-06
"98","PWY.6122","sample_type","Nasal",2.9170747214842,0.325913292146448,157,130,3.55512972713265e-08,1.39942833804403e-06
"99","PWY.6277","sample_type","Nasal",2.9170747214842,0.325913292146448,157,130,3.55512972713265e-08,1.39942833804403e-06
"100","PWY.5910","molysis","molysis",0.633394256111,0.108652938974619,157,65,3.97607827653621e-08,1.5341363409566e-06
"101","PWY.7357","sample_type","Nasal",4.53063114730628,0.507597119746031,157,116,3.94181570599866e-08,1.5341363409566e-06
"102","PWY.6385","sample_type","Nasal",2.73840271332697,0.316974320306052,157,122,4.04030323320885e-08,1.54363349998185e-06
"103","PWY.6387","sample_type","Nasal",2.95946144679039,0.335665364047124,157,123,4.08988419987363e-08,1.54740570164151e-06
"104","PWY.6121","sample_type","Nasal",2.89066144713969,0.326934060770668,157,128,4.13944330601057e-08,1.55109716956954e-06
"105","PWY.724","sample_type","Nasal",4.55765962190787,0.536155848553133,157,119,5.11282586967641e-08,1.89758880134562e-06
"106","PWY.6612","molysis","molysis",0.38894973341671,0.0675043454627503,157,70,5.54753541645343e-08,2.02109319412691e-06
"107","PWY.7234","molysis","molysis",0.549043281594848,0.0953015858544718,157,122,5.54931926537284e-08,2.02109319412691e-06
"108","PWY.5097","sample_type","Nasal",4.81884501576389,0.576031704695237,157,121,5.98419654502868e-08,2.13948751706209e-06
"109","PWY.7383","host_zero","host_zero",1.10233769970158,0.191751542218568,157,76,5.94980749213149e-08,2.13948751706209e-06
"110","PWY.7221","sample_type","Nasal",2.81403670079827,0.329703850797243,157,135,6.27544191525253e-08,2.2232179221581e-06
"111","PWY.5686","host_zero","host_zero",0.539351828291411,0.0946434775935984,157,121,7.16512425201618e-08,2.49277409029012e-06
"112","PWY.6386","sample_type","Nasal",3.14596407902828,0.371373657307404,157,117,7.19857383360254e-08,2.49277409029012e-06
