"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.4361","sample_type","Mock",2.98530495314009,0.1008873757602,157,32,7.90943942346425e-59,9.93188308404406e-55
"2","PWY.5532","sample_type","Mock",6.07559153609349,0.319275751284614,157,20,5.33691643742252e-39,3.35078298523573e-35
"3","PWY.7616","sampletype_treatment","Mock*Benzonase",-19.2378343785855,1.00620126979899,157,37,4.18171023071944e-37,1.75032451223813e-33
"4","THREOCAT.PWY","sample_type","Mock",8.2510546888927,0.456292984397254,157,17,6.14301379410809e-37,1.92844560531538e-33
"5","PWY.7616","sampletype_treatment","Mock*QIAamp",-18.5576794864866,1.00620126979899,157,37,9.04464622109055e-36,2.27147245196468e-32
"6","PWY.7616","sampletype_treatment","Mock*Host zero",-18.3789979530403,1.00620126979899,157,37,2.04778308716048e-35,4.28566870424568e-32
"7","PWY0.41","sample_type","Mock",9.08953944793433,0.52780026641738,157,23,5.08353285545608e-35,9.11913172370886e-32
"8","PWY.6992","sample_type","Mock",4.19908199917232,0.251247580771421,157,32,7.19991258795324e-34,1.11548322154243e-30
"9","PWY.7528","sample_type","Mock",2.98408668150291,0.17876332227798,157,31,7.99502189526307e-34,1.11548322154243e-30
"10","PWY.5692","sample_type","Mock",8.50128920935052,0.524660698243997,157,32,1.05680889071612e-32,1.20639538552021e-29
"11","URDEGR.PWY","sample_type","Mock",8.50128920935052,0.524660698243997,157,32,1.05680889071612e-32,1.20639538552021e-29
"12","PWY.5896","sample_type","Mock",8.67953622152126,0.54319028414226,157,24,3.4868758034496e-32,3.64872495532638e-29
"13","PWY.7626","sample_type","Mock",2.70898318520254,0.17001299069803,157,31,4.42829121046019e-32,4.27738867151912e-29
"14","PWY.7245","sample_type","Mock",8.66622618867122,0.550949279961321,157,33,1.32003988697566e-31,1.18398149005382e-28
"15","LIPASYN.PWY","sample_type","Mock",7.22427990720646,0.480509284934527,157,27,5.6083858945597e-30,4.69496677853241e-27
"16","PWY66.201","sample_type","Mock",2.82735976103628,0.189003318892953,157,31,8.44583575231587e-30,6.6283974713644e-27
"17","FUC.RHAMCAT.PWY","sampletype_treatment","Mock*Host zero",-7.97433251135751,0.523818959250261,157,29,6.26214997751012e-29,4.62551866279968e-26
"18","HCAMHPDEG.PWY","sampletype_treatment","Mock*Host zero",-9.92421281661522,0.655360952328144,157,28,9.91138622474189e-29,6.55038299074126e-26
"19","PWY.6690","sampletype_treatment","Mock*Host zero",-9.92421281661522,0.655360952328144,157,28,9.91138622474189e-29,6.55038299074126e-26
"20","PWY.5656","sampletype_treatment","Mock*Host zero",-11.4341510579099,0.761707356930631,157,26,1.38875727982111e-28,8.71931258135681e-26
"21","PWY.4041","sampletype_treatment","Mock*Host zero",-20.6850631126323,1.38608436368956,157,51,2.03374659413498e-28,1.21608361821681e-25
"22","FUC.RHAMCAT.PWY","sampletype_treatment","Mock*Benzonase",-7.65916123283837,0.523818959250261,157,29,1.25485018106454e-27,7.16234260164885e-25
"23","HCAMHPDEG.PWY","sampletype_treatment","Mock*Benzonase",-9.49086087446664,0.655360952328145,157,28,2.68011329678601e-27,1.40225761115592e-24
"24","PWY.6690","sampletype_treatment","Mock*Benzonase",-9.49086087446664,0.655360952328145,157,28,2.68011329678601e-27,1.40225761115592e-24
"25","PWY.5178","sampletype_treatment","Mock*Host zero",-8.4086938421707,0.586529039900577,157,25,3.63320596992905e-27,1.82488669457596e-24
"26","PWY.5656","sampletype_treatment","Mock*Benzonase",-10.9011532619118,0.761707356930631,157,26,4.74366075260037e-27,2.2910056950155e-24
"27","PWY0.1277","sampletype_treatment","Mock*Host zero",-8.57095581895661,0.60939632987083,157,28,2.12425290577592e-26,9.87934953252896e-24
"28","PWY.5415","sampletype_treatment","Mock*Host zero",-10.5704403282773,0.767348690225562,157,36,6.43495209630046e-26,2.88584619547303e-23
"29","PWY0.1338","treatment","Molysis",-9.27732955095739,0.676481314734267,157,49,9.4152065148352e-26,4.07678442092364e-23
"30","PWY.5178","sampletype_treatment","Mock*QIAamp",-8.00895273577608,0.586529039900576,157,25,1.20523037261651e-25,5.04469259631518e-23
"31","PWY.5532","sampletype_treatment","Mock*Host zero",-6.07559153609474,0.46167197359579,157,20,1.75197878789967e-25,7.09664439988909e-23
"32","PWY0.1277","sampletype_treatment","Mock*Benzonase",-8.14560633099408,0.60939632987083,157,28,7.51896144094407e-25,2.95048746293546e-22
"33","P562.PWY","sample_type","Mock",6.38723780164814,0.495626113957395,157,32,8.08865405917317e-25,2.98733026532463e-22
"34","PWY.5178","sampletype_treatment","Mock*Benzonase",-7.79709657421907,0.586529039900577,157,25,7.85485857736252e-25,2.98733026532463e-22
"35","THREOCAT.PWY","sampletype_treatment","Mock*Host zero",-8.25105468889095,0.659798565337351,157,17,6.93662210225015e-24,2.48866182108443e-21
"36","PWY0.41","sampletype_treatment","Mock*Host zero",-9.51324164475461,0.763197924304872,157,23,8.71386353755757e-24,3.03944401225307e-21
"37","PWY.5656","sampletype_treatment","Mock*QIAamp",-9.78204182540924,0.761707356930631,157,26,9.27776899991237e-24,3.14867419815945e-21
"38","GLUCUROCAT.PWY","sampletype_treatment","Mock*Host zero",-12.4199351113957,0.982437056038594,157,39,2.60632440933778e-23,8.61253042317225e-21
"39","THREOCAT.PWY","sampletype_treatment","Mock*QIAamp",-8.05105468889095,0.659798565337351,157,17,3.84147970549527e-23,1.23685796568985e-20
"40","PWY.4041","sampletype_treatment","Mock*Benzonase",-17.2134904701139,1.38608436368956,157,51,8.21309101637822e-23,2.57829459731653e-20
"41","PWY.4041","sampletype_treatment","Mock*QIAamp",-17.1352492459838,1.38608436368956,157,51,1.10573116896109e-22,3.3865039728401e-20
"42","FUCCAT.PWY","sampletype_treatment","Mock*Host zero",-9.04270404817079,0.735197395855399,157,30,1.83833674627229e-22,5.49618917212884e-20
"43","ARGDEG.PWY","sampletype_treatment","Mock*Host zero",-10.4291069863725,0.851774877834288,157,32,2.22406126755991e-22,6.34716757653405e-20
"44","ORNARGDEG.PWY","sampletype_treatment","Mock*Host zero",-10.4291069863725,0.851774877834288,157,32,2.22406126755991e-22,6.34716757653405e-20
"45","PWY.4361","sampletype_treatment","Mock*Molysis",-1.73267538345336,0.145882904325519,157,32,2.4192954781003e-22,6.75090962633454e-20
"46","PWY.7446","sampletype_treatment","Mock*Benzonase",-8.36263504575942,0.698604498635587,157,20,7.67373983544829e-22,2.09476415464618e-19
"47","PWY.7616","treatment","Benzonase",8.69816480825621,0.726794389444416,157,37,8.91792684906869e-22,2.38260441369693e-19
"48","PWY.5532","sampletype_treatment","Mock*Benzonase",-5.33120031024471,0.46167197359579,157,20,1.56774050613679e-21,4.10127448657494e-19
"49","FUCCAT.PWY","sampletype_treatment","Mock*Benzonase",-8.72277131579143,0.735197395855399,157,30,1.80962249846552e-21,4.63743463535337e-19
"50","PWY0.41","sampletype_treatment","Mock*Benzonase",-8.7845065092278,0.763197924304872,157,23,1.93910107502119e-21,4.86985843980822e-19
"51","FUC.RHAMCAT.PWY","sampletype_treatment","Mock*QIAamp",-6.20047781947271,0.523818959250261,157,29,2.14249747857842e-21,5.27516487029592e-19
"52","PWY.6748","sampletype_treatment","Mock*Host zero",-12.4778326922051,1.05801889392823,157,30,2.19939777235302e-21,5.31112265912248e-19
"53","GALACT.GLUCUROCAT.PWY","sampletype_treatment","Mock*Host zero",-8.52274376168512,0.72228670674009,157,29,2.50071665257884e-21,5.81509240859861e-19
"54","PWY.7446","sampletype_treatment","Mock*Host zero",-8.20857882342602,0.698604498635587,157,20,2.48466894015813e-21,5.81509240859861e-19
"55","LIPASYN.PWY","sampletype_treatment","Mock*Host zero",-7.95448890415179,0.694815278060596,157,27,2.75338687677509e-21,6.23875949722051e-19
"56","PWY.7446","sampletype_treatment","Mock*QIAamp",-8.19376295152656,0.698604498635586,157,20,2.78227707130962e-21,6.23875949722051e-19
"57","PWY.5862","sampletype_treatment","Mock*Host zero",-9.80939795026033,0.83404743269655,157,26,3.19026891136671e-21,7.02810644211085e-19
"58","PWY.5180","sampletype_treatment","Mock*Host zero",-7.9758430802769,0.683860856615528,157,31,4.16693251516751e-21,8.86850365982346e-19
"59","PWY.5182","sampletype_treatment","Mock*Host zero",-7.9758430802769,0.683860856615528,157,31,4.16693251516751e-21,8.86850365982346e-19
"60","PWY.7616","treatment","lyPMA",8.38937692076485,0.726794389444416,157,37,8.49999888741088e-21,1.77890810048697e-18
"61","THREOCAT.PWY","sampletype_treatment","Mock*Benzonase",-7.40030673815591,0.659798565337351,157,17,1.02970616003789e-20,2.11967545108128e-18
"62","ARGSYN.PWY","sample_type","Nasal",5.5326790204593,0.480712638505105,157,119,2.49735995753622e-20,5.05795951399716e-18
"63","PWY.5896","sampletype_treatment","Mock*Host zero",-8.67953622152202,0.785451853167717,157,24,2.63743813859813e-20,5.2568747152979e-18
"64","PWY.5177","sampletype_treatment","Mock*QIAamp",-20.7935850015466,1.8351583889051,157,60,3.26136415693951e-20,6.39889839354522e-18
