"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Cupriavidus_sp","lypma","lypma",2.22112597258339,0.249317086677843,35,35,1.68028315609992e-08,2.43641057634489e-06
"2","Staphylococcus_epidermidis","lypma","lypma",-1.79331282420071,0.298899016851216,35,31,4.65866995077878e-06,0.000337753571431461
"3","Sutterella_parvirubra","lypma","lypma",2.34292849791826,0.466030189997082,35,16,2.35048346025571e-05,0.00113606700579026
"4","Streptococcus_oralis","molysis","molysis",0.738639164142367,0.146203505546729,35,4,3.34989096857486e-05,0.00121433547610839
"5","X.Collinsella._massiliensis","qiaamp","qiaamp",1.56105179468737,0.306881830659382,35,12,4.31116679912348e-05,0.00125023837174581
"6","Corynebacterium_accolens","lypma","lypma",-0.972388493298345,0.21307733216062,35,34,0.000164143727548045,0.00396680674907776
"7","Aeriscardovia_aeriphila","qiaamp","qiaamp",1.16566124183075,0.286345173896288,35,15,0.000503029540482099,0.010419897624272
"8","Collinsella_intestinalis","host_zero","host_zero",0.734479595546936,0.187086462264402,35,9,0.000591713983868282,0.0107248159576126
"9","Thermoleophilum_album","qiaamp","qiaamp",0.976110493831316,0.25279042443095,35,12,0.000787962750693669,0.0126949554278424
"10","Sutterella_parvirubra","host_zero","host_zero",1.48738713751214,0.466030189997081,35,16,0.00339028771574197,0.0491591718782585
"11","Gemella_asaccharolytica","lypma","lypma",-0.248303535533616,0.0765682476636654,35,7,0.0039941914673411,0.0526507057058599
"12","Limnochorda_pilosa","molysis","molysis",0.445449668078585,0.147271545697366,35,5,0.00610806297068479,0.0738057608957746
"13","Malassezia_restricta","lypma","lypma",-1.7595158408983,0.582633475023376,35,18,0.00665509109562151,0.0742298622203938
"14","Rothia_mucilaginosa","molysis","molysis",1.42950555502218,0.489093352566656,35,5,0.00770219281191176,0.074454530515147
"15","Anaerococcus_nagyae","lypma","lypma",-0.630881630805776,0.212360427056528,35,8,0.00739867658773356,0.074454530515147
"16","Cupriavidus_sp","molysis","molysis",0.719579365515999,0.249317086677843,35,35,0.00896019443782786,0.081201762092815
"17","Collinsella_aerofaciens","host_zero","host_zero",0.711832315561108,0.254344133835844,35,8,0.00965490756508977,0.0823506821728245
"18","Corynebacterium_atypicum","lypma","lypma",-1.14028050413085,0.413618350179781,35,26,0.0114121913878937,0.087093039539189
"19","Staphylococcus_epidermidis","qiaamp","qiaamp",-0.830195964010686,0.30023414715614,35,31,0.0111486390246384,0.087093039539189
"20","Malassezia_restricta","benzonase","benzonase",-1.57027931392941,0.586684483404454,35,18,0.0142825416444463,0.103548426922235
"21","Finegoldia_magna","host_zero","host_zero",1.20409740420771,0.488011885681368,35,7,0.0209888785392116,0.144923208961223
"22","Cutibacterium_granulosum","lypma","lypma",-1.14425174166948,0.474845827545567,35,23,0.0246475870465547,0.16245000553411
"23","Limnochorda_pilosa","qiaamp","qiaamp",0.338576015550736,0.14741668208289,35,5,0.0311263857273191,0.18927092604859
"24","Malassezia_restricta","molysis","molysis",-1.34691645376374,0.582633475023376,35,18,0.0313276015528701,0.18927092604859
"25","Corynebacterium_pseudodiphtheriticum","lypma","lypma",-0.536039430767288,0.250915915750072,35,13,0.044082635062092,0.206192970451721
"26","Corynebacterium_pseudodiphtheriticum","host_zero","host_zero",0.54163135035535,0.252373458181251,35,13,0.0430997992799443,0.206192970451721
"27","Propionibacterium_humerusii","lypma","lypma",-0.726233268201375,0.334614839163171,35,18,0.0404428623178812,0.206192970451721
"28","Thermoleophilum_album","host_zero","host_zero",0.542303359362081,0.252790424430949,35,12,0.0426680647323201,0.206192970451721
"29","Gemella_haemolysans","host_zero","host_zero",0.426279204269857,0.200856079948531,35,4,0.0424745575774115,0.206192970451721
"30","Gemella_haemolysans","molysis","molysis",0.434012081604333,0.20085607994853,35,4,0.0391073175780945,0.206192970451721
"31","Sutterella_parvirubra","molysis","molysis",1.00725102107847,0.466030189997081,35,16,0.0390625419651454,0.206192970451721
"32","Collinsella_intestinalis","qiaamp","qiaamp",0.393268507366092,0.187086462264402,35,9,0.0456946823452595,0.207054029376957
"33","Corynebacterium_atypicum","host_zero","host_zero",0.856987097027571,0.415639385368667,35,26,0.0509212254421846,0.223744778458084
"34","Cutibacterium_granulosum","benzonase","benzonase",-0.964205754332747,0.476754082017485,35,23,0.0551338081156074,0.235129475787149
"35","Propionibacterium_namnetense","lypma","lypma",-0.819835605945544,0.415439812512703,35,17,0.0607848550355842,0.251822970861706
"36","Staphylococcus_argenteus","molysis","molysis",0.155587545699822,0.0795509456004827,35,4,0.0636396410318237,0.256326331933734
"37","Collinsella_intestinalis","molysis","molysis",0.353220335677243,0.18704930851009,35,9,0.0705806137543381,0.271595160940432
"38","Cupriavidus_sp","benzonase","benzonase",0.476641079876201,0.250670451922464,35,35,0.0711766628671476,0.271595160940432
"39","Propionibacterium_humerusii","benzonase","benzonase",-0.618181891494669,0.334806234375738,35,18,0.0774880300226611,0.288096521879125
"40","Propionibacterium_namnetense","qiaamp","qiaamp",0.748881283620271,0.416928221713502,35,17,0.0856623179099993,0.310525902423748
"41","Aeriscardovia_aeriphila","host_zero","host_zero",0.483580924367244,0.286345173896288,35,15,0.105308010416285,0.3724307685454
"42","Cutibacterium_acnes","molysis","molysis",0.386673160356683,0.23578627442267,35,35,0.115709624997184,0.39947370534742
