"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Pseudomonas_aeruginosa","molysis","molysis",-4.56131545059681,0.271991950993625,30,30,3.02538261352528e-13,2.34467152548209e-10
"2","Pseudomonas_aeruginosa","host_zero","host_zero",-3.01456060400227,0.271991950993625,30,30,5.46294295709801e-10,2.11689039587548e-07
"3","Streptococcus_infantis","lypma","lypma",1.90984680288777,0.200038228186049,30,26,6.85366862750611e-09,8.85265531052873e-07
"4","Streptococcus_infantis","benzonase","benzonase",1.91839301318367,0.200038228186049,30,26,6.36478555594094e-09,8.85265531052873e-07
"5","Streptococcus_infantis","molysis","molysis",1.94696239374509,0.200038228186049,30,26,4.97770309344172e-09,8.85265531052873e-07
"6","Pseudomonas_aeruginosa","qiaamp","qiaamp",-2.70416189812097,0.271991950993625,30,30,3.48818883719544e-09,8.85265531052873e-07
"7","Streptococcus_infantis","host_zero","host_zero",1.82701300512727,0.200038228186049,30,26,1.42037812478333e-08,1.57256149529583e-06
"8","Granulicatella_elegans","molysis","molysis",2.35167159621074,0.265534081966384,30,24,2.33986785563393e-08,2.26674698514537e-06
"9","Granulicatella_elegans","host_zero","host_zero",2.23879767875168,0.265534081966384,30,24,5.13066809456093e-08,4.41807530364969e-06
"10","Gemella_haemolysans","benzonase","benzonase",1.18595933681936,0.142144430127557,30,25,6.05337708536686e-08,4.69136724115931e-06
"11","Gemella_haemolysans","molysis","molysis",1.15447370575317,0.142144430127557,30,25,9.2218236564943e-08,5.9557611114859e-06
"12","Streptococcus_infantis","qiaamp","qiaamp",1.62807212994476,0.200038228186049,30,26,8.92713131894211e-08,5.9557611114859e-06
"13","Granulicatella_elegans","qiaamp","qiaamp",2.08915365535536,0.265534081966384,30,24,1.50661950596477e-07,8.98177013171302e-06
"14","Granulicatella_elegans","benzonase","benzonase",2.05235640894338,0.265534081966384,30,24,1.97627640775166e-07,1.0940101542911e-05
"15","Streptococcus_sp_F0442","host_zero","host_zero",2.34523842768303,0.310020549732472,30,23,2.73579492953036e-07,1.41349404692402e-05
"16","Streptococcus_sp_F0442","molysis","molysis",2.32501489498211,0.310020549732472,30,23,3.11579801239682e-07,1.50921466225471e-05
"17","Granulicatella_elegans","lypma","lypma",1.9625709983673,0.265534081966384,30,24,3.8733618578039e-07,1.76579731752825e-05
"18","Gemella_haemolysans","lypma","lypma",1.04102170980966,0.142144430127557,30,25,4.43700181433831e-07,1.91037578117344e-05
"19","Gemella_morbillorum","molysis","molysis",1.45285976699851,0.203321394481609,30,23,6.37341264195324e-07,2.59968147237566e-05
"20","X.Collinsella._massiliensis","molysis","molysis",1.67113307284186,0.235462987684184,30,20,7.03808330483043e-07,2.72725728062179e-05
"21","Actinomyces_oris","molysis","molysis",2.63342019801091,0.372572998185493,30,25,7.47048146884097e-07,2.75696339921512e-05
"22","Streptococcus_sp_F0442","qiaamp","qiaamp",2.14933185028812,0.310020549732472,30,23,9.87960771929502e-07,3.48031635566075e-05
"23","Gemella_haemolysans","host_zero","host_zero",0.982078894387304,0.142144430127557,30,25,1.03810551257716e-06,3.49796422716218e-05
"24","Actinomyces_sp_oral_taxon_181","molysis","molysis",2.20701784951618,0.321969627969182,30,22,1.16226969775401e-06,3.70433333174382e-05
"25","Streptococcus_anginosus","molysis","molysis",2.23791877674198,0.327111937489509,30,23,1.19494623604639e-06,3.70433333174382e-05
"26","Gemella_morbillorum","host_zero","host_zero",1.38056982024842,0.203321394481609,30,23,1.3303590144376e-06,3.82620774333998e-05
