"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Listeria_floridensis","sample_type","Mock",11.2463662440689,0.0980717003106457,124,33,2.02451443243326e-120,2.31604451070365e-117
"2","Listeria_monocytogenes","sample_type","Mock",2.89603677026547,0.0897275655247531,124,31,1.76685189169312e-59,1.01063928204846e-56
"3","Cryptococcus_neoformans","sample_type","Mock",4.48866812273843,0.156850708456693,124,30,3.93499067968435e-54,1.50054311251963e-51
"4","Saccharomyces_cerevisiae","sample_type","Mock",2.58991033026864,0.0990043440144771,124,30,3.07155296805795e-50,8.78464148864573e-48
"5","Bacillus_intestinalis","sample_type","Mock",3.33165181854648,0.138579033319769,124,31,1.14144693199505e-46,2.61163058040467e-44
"6","Saccharomyces_kudriavzevii","sample_type","Mock",6.43976042114159,0.269517246226807,124,29,2.06339568573807e-46,3.9342077741406e-44
"7","Cryptococcus_gattii_VGIII","sample_type","Mock",4.74940319290381,0.201667022953445,124,29,8.22582242702675e-46,1.34433440807409e-43
"8","Cryptococcus_gattii_VGII","sample_type","Mock",4.00799715557813,0.173490703488031,124,29,5.12365437106803e-45,7.32682575062729e-43
"9","Brochothrix_campestris","sample_type","Mock",4.71790117678319,0.20828544489184,124,38,3.29796743356353e-44,4.1920830488852e-42
"10","Cryptococcus_gattii_VGI","sample_type","Mock",4.74656698660941,0.215371733142845,124,29,4.29131206289342e-43,4.90926099995008e-41
"11","Bacillus_ginsengihumi","sample_type","Mock",3.69706655917908,0.184684965201638,124,28,2.8198726024318e-39,2.93266750652907e-37
"12","S._cerevisiae.x.S._kudriavzevii","sample_type","Mock",3.69853039095563,0.189724924524601,124,28,2.99307333205464e-38,2.85339657655875e-36
"13","Listeria_innocua","sample_type","Mock",2.62725051828011,0.187429480960147,124,26,1.21934388951266e-26,1.07302262277114e-24
"14","Pseudomonas_aeruginosa","sample_type","Sputum",8.37117350149956,0.793351394163362,124,53,1.29591100173344e-18,1.05894441855932e-16
