"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Salmonella_enterica","sample_type","Mock",10.9213580423062,0.270013058999143,124,22,8.62919506702273e-64,2.83814225754378e-60
"2","Bacillus_intestinalis","sample_type","Mock",4.6431568210776,0.125805194700502,124,31,4.63568564045301e-60,7.62338503572498e-57
"3","Salmonella_enterica","sampletype_treatment","Mock*Host zero",-10.9213580423061,0.366263533177051,124,22,1.44817877040005e-51,1.58768665861525e-48
"4","Salmonella_enterica","sampletype_treatment","Mock*Benzonase",-10.2042959915869,0.366263533177051,124,22,6.25509430172649e-49,5.14325128959461e-46
"5","Salmonella_enterica","sampletype_treatment","Mock*QIAamp",-9.27991666906293,0.366263533177051,124,22,2.58771312287232e-45,1.70219769222541e-42
"6","Listeria_floridensis","sample_type","Mock",10.0422787739835,0.154477034647018,124,33,3.5715525935718e-43,1.95780608004294e-40
"7","Bacillus_intestinalis","sampletype_treatment","Mock*Molysis",-3.39990763420466,0.170650468810024,124,31,1.36020395116754e-36,6.39101542198577e-34
"8","Salmonella_enterica","sampletype_treatment","Mock*Molysis",-6.82117326089851,0.366263533177051,124,22,2.79886023019485e-34,1.15068141213886e-31
"9","Listeria_monocytogenes","sample_type","Mock",1.60734631314119,0.0904198734359175,124,31,1.01018172555694e-32,3.69165299484086e-30
"10","Granulicatella_elegans","treatment","Molysis",12.2648040452419,0.664174563903085,124,44,1.53225887725706e-31,5.03959944729848e-29
"11","Granulicatella_elegans","treatment","Host zero",11.9696419364242,0.664174563903084,124,44,8.04510980978822e-31,2.40548783312668e-28
"12","Listeria_monocytogenes","sampletype_treatment","Mock*Host zero",2.00116704121219,0.122651483734963,124,31,6.05525206204661e-30,1.65964366933928e-27
"13","Granulicatella_elegans","treatment","QIAamp",11.5641865164855,0.664174563903085,124,44,8.16733557454865e-30,2.06633590036081e-27
"14","Granulicatella_elegans","treatment","Benzonase",11.4788188629504,0.664174563903084,124,44,1.33836302850865e-29,3.14419714340354e-27
"15","Streptococcus_infantis","treatment","Molysis",5.1199050135963,0.29884566153716,124,27,3.08506827138295e-29,6.76452636305236e-27
"16","Streptococcus_infantis","treatment","Benzonase",5.04819632627575,0.29884566153716,124,27,7.78954357468919e-29,1.60123805107205e-26
"17","Streptococcus_infantis","treatment","lyPMA",5.01962323030782,0.29884566153716,124,27,1.12893562491375e-28,2.18415839431843e-26
"18","Pseudomonas_aeruginosa","treatment","Molysis",-12.0424890059009,0.751224330661556,124,53,1.58578566813041e-27,2.8975828124894e-25
"19","Streptococcus_infantis","treatment","Host zero",4.80607652984544,0.29884566153716,124,27,1.87510671228959e-27,3.24590840880025e-25
"20","Streptococcus_sp_F0442","treatment","Host zero",6.20864694170665,0.40109803654938,124,23,2.44887520341916e-26,4.0271752720228e-24
"21","Streptococcus_sp_F0442","treatment","Molysis",6.15267386085517,0.401098036549381,124,23,4.30727035508562e-26,6.74600580851267e-24
"22","Granulicatella_elegans","treatment","lyPMA",10.0276308475488,0.664174563903085,124,44,8.15899137642778e-26,1.21976921077595e-23
"23","Rothia_dentocariosa","treatment","Molysis",5.54082513187514,0.368580521379274,124,28,1.54146389010835e-25,2.19241370466102e-23
"24","Listeria_monocytogenes","sampletype_treatment","Mock*QIAamp",1.73018348644694,0.122651483734963,124,31,1.59981541234006e-25,2.19241370466102e-23
"25","Granulicatella_elegans","sampletype_treatment","Mock*QIAamp",-13.6378050919467,0.919508046943429,124,44,2.45970215167705e-25,3.23598415074632e-23
"26","Rothia_dentocariosa","treatment","Host zero",5.44000870721396,0.368580521379274,124,28,4.74235476839447e-25,5.999078782019e-23
"27","Streptococcus_australis","treatment","QIAamp",7.16740277284192,0.491663071928008,124,25,6.84054382724536e-25,8.33279579548518e-23
"28","Granulicatella_elegans","sampletype_treatment","Mock*Host zero",-13.3176400982225,0.919508046943428,124,44,1.05554789277725e-24,1.23989179262299e-22
"29","Listeria_monocytogenes","sampletype_treatment","Mock*Molysis",1.67712922824342,0.122651483734963,124,31,1.25691209436554e-24,1.42551168219595e-22
"30","Rothia_dentocariosa","treatment","QIAamp",5.34179248555516,0.368580521379274,124,28,1.43026336221925e-24,1.56804539944638e-22
"31","Streptococcus_infantis","treatment","QIAamp",4.27056708271668,0.29884566153716,124,27,2.86594428671241e-24,3.04067443838617e-22
"32","Streptococcus_sp_F0442","treatment","QIAamp",5.68114252193107,0.40109803654938,124,23,5.5294148308591e-24,5.68320168084237e-22
"33","Rothia_dentocariosa","treatment","lyPMA",5.15438068434036,0.368580521379274,124,28,1.2048934166076e-23,1.20087710521891e-21
"34","Streptococcus_australis","treatment","Molysis",6.82059224878004,0.491663071928008,124,25,1.36339478807386e-23,1.31888395822792e-21
"35","Streptococcus_sp_F0442","treatment","Benzonase",5.57526941545188,0.401098036549381,124,23,1.68437463149364e-23,1.58283090370931e-21
"36","Gemella_haemolysans","treatment","Benzonase",10.2680741968231,0.740586991647634,124,68,1.81453274246759e-23,1.61297248377727e-21
"37","Granulicatella_elegans","sampletype_treatment","Nasal*Molysis",-12.264804045242,0.899821990542937,124,44,1.77852567906705e-23,1.61297248377727e-21
"38","Gemella_haemolysans","treatment","Molysis",10.1813468820031,0.740586991647634,124,68,2.98766878746907e-23,2.58590595841731e-21
"39","Granulicatella_elegans","sampletype_treatment","Nasal*Host zero",-11.9696419364242,0.901458242889951,124,44,7.77013739700824e-23,6.55281587147695e-21
"40","Streptococcus_australis","treatment","Host zero",6.5867010638508,0.491663071928008,124,25,1.0616185691312e-22,8.72915868468127e-21
"41","Listeria_monocytogenes","sampletype_treatment","Mock*Benzonase",1.55607035794462,0.122651483734963,124,31,1.49498523478135e-22,1.1992698627307e-20
"42","Gemella_haemolysans","treatment","lyPMA",9.87967583057775,0.740586991647634,124,68,1.71498010709889e-22,1.3429927552972e-20
