"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Gemella_haemolysans","log10.Final_reads","log10.Final_reads",1.3644306701453,0.1792850227745,59,9,7.21230448880877e-10,1.42803628878414e-07
"2","Staphylococcus_argenteus","log10.Final_reads","log10.Final_reads",0.464386405744644,0.068007697690004,59,8,1.40599771613532e-08,1.39193773897396e-06
"3","Staphylococcus_aureus","log10.Final_reads","log10.Final_reads",0.957675108619504,0.25870790545247,59,12,0.000552262500923913,0.0364493250609783
"4","Enterococcus_faecalis","log10.Final_reads","log10.Final_reads",0.469783412621534,0.136474634519638,59,9,0.00116418247632484,0.0576270325780795
"5","Prevotella_oris","log10.Final_reads","log10.Final_reads",-0.304543527926301,0.0918864053731844,59,6,0.00176688900445141,0.0583073371468966
"6","Lactobacillus_fermentum","log10.Final_reads","log10.Final_reads",0.782273373312364,0.232433130733888,59,13,0.00150213844342694,0.0583073371468966
"7","Candida_albicans","log10.Final_reads","log10.Final_reads",0.502829610645843,0.158604593716775,59,9,0.00266662315768946,0.067778419237754
"8","Brevundimonas_diminuta","molysis","molysis",1.51794223846295,0.480614142725717,59,25,0.0027385219894042,0.067778419237754
"9","Microbacterium_laevaniformans","molysis","molysis",1.5022368132773,0.494610904377171,59,29,0.00387094436970333,0.0851607761334733
"10","Microbacterium_laevaniformans","host_zero","host_zero",1.4644155816591,0.495812311530934,59,29,0.00487220767316484,0.0876997381169672
"11","Microbacterium_laevaniformans","qiaamp","qiaamp",1.46596635304212,0.496123817234949,59,29,0.00485527924398076,0.0876997381169672
"12","Actinomyces_sp_oral_taxon_181","log10.Final_reads","log10.Final_reads",0.458858852990679,0.158333206794317,59,6,0.00551625198433997,0.090498954559816
"13","Prevotella_sp_oral_taxon_306","log10.Final_reads","log10.Final_reads",-0.172920746598462,0.0610141711577257,59,6,0.0067363611045886,0.090498954559816
"14","Prevotella_veroralis","log10.Final_reads","log10.Final_reads",-0.15574829865383,0.054242449420852,59,6,0.00609910418180127,0.090498954559816
"15","Brevundimonas_diminuta","host_zero","host_zero",1.36105713197692,0.481763135696997,59,25,0.00685598140604667,0.090498954559816
"16","Staphylococcus_schweitzeri","log10.Final_reads","log10.Final_reads",0.227799300252321,0.0861815458481026,59,6,0.0108267056249401,0.133980482108634
"17","Candida_dubliniensis","qiaamp","qiaamp",0.502603274181849,0.204215561710299,59,10,0.0175611076345901,0.18452345312304
"18","Microbacterium_laevaniformans","log10.Final_reads","log10.Final_reads",-1.05232274156902,0.427650036649178,59,29,0.0174976983953916,0.18452345312304
"19","Microbacterium_laevaniformans","benzonase","benzonase",1.18318947548309,0.481500792415096,59,29,0.0177067960067564,0.18452345312304
"20","Thermoleophilum_album","qiaamp","qiaamp",-1.61965932739639,0.699347168748149,59,13,0.024716635458978,0.244694691043882
"21","Thermoleophilum_album","benzonase","benzonase",-1.554033861252,0.680298968602466,59,13,0.0266701600319855,0.251461508873006
"22","Brevundimonas_diminuta","lypma","lypma",1.01935646299018,0.454791726937071,59,25,0.0296798274767296,0.267118447290566
"23","Candida_dubliniensis","host_zero","host_zero",0.432942165623344,0.204087177195459,59,10,0.0391721471852163,0.323170214278034
"24","Lactobacillus_fermentum","host_zero","host_zero",-0.577661681594811,0.270087681974937,59,13,0.0376440413714511,0.323170214278034
