"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Bosea_vaviloviae","host_zero","host_zero",0.497556255359694,0.0336851894903837,31,5,1.51747636231208e-13,1.45677730781959e-11
"2","Acetobacter_aceti","qiaamp","qiaamp",0.668857301706521,0.0585286627687121,31,5,3.41257155278227e-11,1.63803434533549e-09
"3","Cutibacterium_acnes","log10.Final_reads","log10.Final_reads",-1.33072798040252,0.276087717288337,31,31,6.56440545745337e-05,0.00210060974638508
"4","Staphylococcus_aureus","log10.Final_reads","log10.Final_reads",1.42000087881036,0.346794599344123,31,6,0.000414714992236107,0.00796252785093325
"5","Lactobacillus_fermentum","log10.Final_reads","log10.Final_reads",1.29004714416791,0.312835377988584,31,7,0.000385261096672198,0.00796252785093325
"6","Listeria_monocytogenes","log10.Final_reads","log10.Final_reads",0.559659527756852,0.154584417343844,31,4,0.00136638840863225,0.0218622145381159
"7","Bacillus_intestinalis","log10.Final_reads","log10.Final_reads",0.34228441084907,0.11626336325543,31,4,0.00708538703096323,0.0850246443715588
"8","Brevundimonas_diminuta","molysis","molysis",2.44063650715598,0.822359064795242,31,25,0.00669753022027291,0.0850246443715588
"9","Enterococcus_faecalis","log10.Final_reads","log10.Final_reads",0.523929306306465,0.184645968907498,31,4,0.0090995431644673,0.0970617937543179
"10","Thermoleophilum_album","qiaamp","qiaamp",-2.6251909409931,1.02594826545368,31,12,0.0172325845921313,0.165432812084461
"11","Thermoleophilum_album","benzonase","benzonase",-2.5520613980613,1.0203950285187,31,12,0.0196081828785212,0.171125959667094
"12","Microbacterium_laevaniformans","molysis","molysis",2.07977509680252,0.848738182322254,31,29,0.0219373158650004,0.175498526920003
"13","Microbacterium_laevaniformans","qiaamp","qiaamp",1.96524459809093,0.849907544737958,31,29,0.0296536624110322,0.218980891650699
"14","Microbacterium_ginsengisoli","qiaamp","qiaamp",0.653695532655272,0.316147410054126,31,6,0.0496127248162566,0.297676348897539
"15","Brevundimonas_diminuta","lypma","lypma",1.78981382279902,0.846060764468077,31,25,0.044959736044815,0.297676348897539
"16","Brevundimonas_diminuta","host_zero","host_zero",1.74500584152085,0.831555883682619,31,25,0.0465671409761073,0.297676348897539
"17","Lactobacillus_fermentum","host_zero","host_zero",-0.760590137556356,0.378340858522015,31,7,0.0557630675990666,0.314897322912376
"18","Thermoleophilum_album","lypma","lypma",-2.02252152288004,1.05406547522391,31,12,0.066981197032343,0.338431311321312
"19","Microbacterium_laevaniformans","host_zero","host_zero",1.66297503896383,0.858230010989046,31,29,0.0645154076086078,0.338431311321312
"20","Bacillus_intestinalis","host_zero","host_zero",-0.25706955835534,0.140608076207805,31,4,0.0799661012350472,0.365559319931644
"21","Microbacterium_laevaniformans","benzonase","benzonase",1.56648309855548,0.845307178298748,31,29,0.0761953785600966,0.365559319931644
"22","Staphylococcus_aureus","benzonase","benzonase",0.703105114505563,0.413095600502469,31,6,0.101668410570922,0.443643973400386
"23","Brevundimonas_diminuta","benzonase","benzonase",1.33103118513354,0.81903469773029,31,25,0.117198228349211,0.489175213979317
"24","Microbacterium_laevaniformans","log10.Final_reads","log10.Final_reads",-1.12491697844777,0.70963710062333,31,29,0.126010296295622,0.504041185182488
"25","Brevundimonas_diminuta","qiaamp","qiaamp",1.27535867302499,0.823492082965761,31,25,0.134535979733789,0.51661816217775
"26","Bacillus_intestinalis","lypma","lypma",-0.215456416761087,0.14306071159033,31,4,0.145104203855554,0.535769368082044
"27","Bacillus_intestinalis","benzonase","benzonase",-0.202843018585148,0.138490864480795,31,4,0.155989364615031,0.554628851964553
"28","Alcaligenes_faecalis","host_zero","host_zero",-1.02672202012473,0.73081036013544,31,10,0.172860084941393,0.592663148370489
"29","Microbacterium_laevaniformans","lypma","lypma",1.1993675654804,0.873200170229299,31,29,0.182282922713767,0.603419330362813
"30","Cutibacterium_acnes","benzonase","benzonase",0.384911793713236,0.328870811657045,31,31,0.253329409615597,0.632101011995555
"31","Cutibacterium_acnes","host_zero","host_zero",0.378628763087674,0.333898501690767,31,31,0.268009992054012,0.632101011995555
"32","Cutibacterium_acnes","qiaamp","qiaamp",0.399493097255697,0.330660606282743,31,31,0.238753640028272,0.632101011995555
"33","Thermoleophilum_album","log10.Final_reads","log10.Final_reads",0.927324321102884,0.856623708065274,31,12,0.289772276668759,0.632101011995555
"34","Thermoleophilum_album","host_zero","host_zero",1.23284358539386,1.0359945579798,31,12,0.245681598253461,0.632101011995555
"35","Staphylococcus_aureus","host_zero","host_zero",-0.447787077118366,0.419410896843777,31,6,0.296297349372916,0.632101011995555
"36","Enterococcus_faecalis","host_zero","host_zero",-0.280976923103202,0.223309508177306,31,4,0.220408776468727,0.632101011995555
"37","Enterococcus_faecalis","qiaamp","qiaamp",-0.2392907078557,0.221144021278041,31,4,0.289979365206647,0.632101011995555
"38","Cupriavidus_sp","lypma","lypma",-1.21944479861777,0.955739152077086,31,25,0.21419528980301,0.632101011995555
"39","Cupriavidus_sp","benzonase","benzonase",-1.01112673604649,0.925209583525127,31,25,0.285303110824316,0.632101011995555
"40","Lactobacillus_fermentum","molysis","molysis",-0.406206428442055,0.374156494702578,31,7,0.288414743702896,0.632101011995555
"41","Microbacterium_ginsengisoli","host_zero","host_zero",0.403447846456702,0.319243189314864,31,6,0.218452779187097,0.632101011995555
"42","Microbacterium_ginsengisoli","molysis","molysis",0.337626367482726,0.315712432271627,31,6,0.295522711977193,0.632101011995555
"43","Arthrobacter_agilis","qiaamp","qiaamp",-1.70067136753271,1.37973088293096,31,13,0.229659572074295,0.632101011995555
"44","Pseudomonas_formosensis","host_zero","host_zero",-1.02033510475119,0.807994843586406,31,25,0.218793312187931,0.632101011995555
"45","Pseudomonas_formosensis","qiaamp","qiaamp",-0.863239428000712,0.800159520035961,31,25,0.291385380055292,0.632101011995555
"46","Arthrobacter_agilis","host_zero","host_zero",-1.39965854981907,1.39324148626643,31,13,0.325108586514899,0.652591536996684
"47","Alcaligenes_faecalis","log10.Final_reads","log10.Final_reads",0.605543491986652,0.604278734641714,31,10,0.326295768498342,0.652591536996684
"48","Alcaligenes_faecalis","qiaamp","qiaamp",-0.742726967195936,0.723723513392381,31,10,0.315003078140054,0.652591536996684
"49","Listeria_monocytogenes","host_zero","host_zero",-0.183860921818631,0.186953283698398,31,4,0.335192639456773,0.656703946690821
"50","Thermoleophilum_album","molysis","molysis",-0.980941175410246,1.02453669386627,31,12,0.347887143096859,0.661772854815859
