"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Cupriavidus_sp","lypma","lypma",1.72140861156281,0.163497325297615,35,35,2.0618970612239e-09,3.95884235754989e-07
"2","Staphylococcus_epidermidis","lypma","lypma",-1.81267117896658,0.335725595549753,35,31,1.98269890759014e-05,0.000989971484008208
"3","Streptococcus_oralis","molysis","molysis",0.677491188996617,0.132624816900441,35,4,2.06244059168377e-05,0.000989971484008208
"4","Cupriavidus_sp","log10.Final_reads","log10.Final_reads",-1.37854125595763,0.240758718822762,35,35,1.11959423710093e-05,0.000989971484008208
"5","Cupriavidus_sp","molysis","molysis",0.818727514569919,0.151532803240896,35,35,3.36162583320733e-05,0.00129086431995161
"6","Corynebacterium_accolens","lypma","lypma",-1.08828790343875,0.229109165620898,35,34,0.000111005683936638,0.00304472733083349
"7","Sutterella_parvirubra","lypma","lypma",2.07532443656732,0.457659777215611,35,16,9.88700015696731e-05,0.00304472733083349
"8","Cupriavidus_sp","qiaamp","qiaamp",0.91040739087651,0.1948224420073,35,35,0.000158262519611734,0.00379830047068162
"9","Cupriavidus_sp","host_zero","host_zero",0.765000057698151,0.184482613681023,35,35,0.000504811646764683,0.0107693151309799
"10","Slackia_isoflavoniconvertens","log10.Final_reads","log10.Final_reads",1.1725547829275,0.315621393122686,35,11,0.000897142602686356,0.017225137971578
"11","Cupriavidus_sp","benzonase","benzonase",0.540329257617709,0.151550935921625,35,35,0.00206566326301371,0.0360552133180574
"12","Rothia_mucilaginosa","molysis","molysis",1.60408661763546,0.481239661201999,35,5,0.00311932238384013,0.0498942771789508
"13","Propionibacterium_namnetense","log10.Final_reads","log10.Final_reads",1.73880376204307,0.541682278085195,35,17,0.00337825835065813,0.0498942771789508
"14","Sutterella_parvirubra","host_zero","host_zero",1.51003008902719,0.491292093865077,35,16,0.00467862184892128,0.0641639567852061
"15","Cutibacterium_acnes","qiaamp","qiaamp",0.763188468608368,0.245191083407814,35,35,0.00541120305430269,0.0692633990950744
"16","X.Collinsella._massiliensis","qiaamp","qiaamp",1.03257975235706,0.35323710745634,35,12,0.00734531106735417,0.0783499847184445
"17","Staphylococcus_capitis","benzonase","benzonase",-0.71633087243012,0.234812065805351,35,6,0.00722057766422974,0.0783499847184445
"18","Malassezia_restricta","benzonase","benzonase",-1.65801528520046,0.551555510106099,35,18,0.0070681775006118,0.0783499847184445
"19","Cutibacterium_acnes","log10.Final_reads","log10.Final_reads",-0.883655772701011,0.304052527380147,35,35,0.00832245378258977,0.0808231911894615
"20","Staphylococcus_capitis","molysis","molysis",-0.699182845591207,0.235832464782056,35,6,0.00884003653634735,0.0808231911894615
"21","Limnochorda_pilosa","molysis","molysis",0.40647239889435,0.14103569809709,35,5,0.0084599407478369,0.0808231911894615
"22","Aeriscardovia_aeriphila","log10.Final_reads","log10.Final_reads",1.09748758368111,0.395940523650208,35,15,0.0103207993824716,0.0900724309742978
"23","Collinsella_intestinalis","host_zero","host_zero",0.581016807734624,0.212885442546997,35,9,0.0108470197449174,0.0905490343923542
"24","Rothia_mucilaginosa","log10.Final_reads","log10.Final_reads",-1.85868001304063,0.697329408819627,35,5,0.012624526391422,0.0950626331613251
"25","Rothia_mucilaginosa","host_zero","host_zero",1.52221416474985,0.563317651954541,35,5,0.0122040241346698,0.0950626331613251
"26","Cutibacterium_acnes","host_zero","host_zero",0.63267820318628,0.232451038439742,35,35,0.0128730649072628,0.0950626331613251
"27","Corynebacterium_atypicum","log10.Final_reads","log10.Final_reads",1.52377904084728,0.580569416136364,35,26,0.0142415542932822,0.0964027684592318
"28","Staphylococcus_capitis","host_zero","host_zero",-0.736369799996953,0.276825940368222,35,6,0.014342165864747,0.0964027684592318
"29","Malassezia_restricta","molysis","molysis",-1.47797230899571,0.551330077471488,35,18,0.0145608348193631,0.0964027684592318
"30","Finegoldia_magna","host_zero","host_zero",1.40040639815767,0.554472762507701,35,7,0.0177346867524151,0.113501995215456
"31","Cutibacterium_granulosum","benzonase","benzonase",-1.08100107116309,0.42595517393441,35,23,0.0188558834153029,0.116784826314134
"32","Gemella_haemolysans","host_zero","host_zero",0.5050696616005,0.204820283646288,35,4,0.0200559307403281,0.120335584441969
"33","Cutibacterium_acnes","molysis","molysis",0.473247514156571,0.19048187386438,35,35,0.0219766072378606,0.124103193813801
"34","Thermoleophilum_album","log10.Final_reads","log10.Final_reads",0.770769781079323,0.317551636538477,35,12,0.021899905330249,0.124103193813801
"35","Cutibacterium_granulosum","log10.Final_reads","log10.Final_reads",1.593834670444,0.659329335609469,35,23,0.0231704983679701,0.127106733904293
"36","X.Collinsella._massiliensis","log10.Final_reads","log10.Final_reads",0.929028102975248,0.404528651189177,35,12,0.0294392902248317,0.148745887451781
