"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Streptococcus_infantis","lypma","lypma",1.90757784040562,0.279378395482581,30,26,1.37098284450839e-06,0.00141485429553266
"2","Gemella_haemolysans","lypma","lypma",1.05194891335341,0.192916989376673,30,25,2.45267036364079e-05,0.00843718605092432
"3","Streptococcus_infantis","benzonase","benzonase",1.9562322868461,0.353605412444547,30,26,2.0935680420341e-05,0.00843718605092432
"4","Gemella_haemolysans","benzonase","benzonase",1.27672118383787,0.243157383659779,30,25,3.55843744611436e-05,0.00918076861097504
"5","Bifidobacterium_longum","host_zero","host_zero",6.27591461239906,1.35922573499867,30,10,0.000171725726390234,0.0201941153496978
"6","Bifidobacterium_longum","molysis","molysis",7.29918005561895,1.58620310622088,30,10,0.000177462647071201,0.0201941153496978
"7","Bifidobacterium_longum","qiaamp","qiaamp",5.40045568662189,1.1786292853617,30,10,0.000187036369340102,0.0201941153496978
"8","Rothia_dentocariosa","lypma","lypma",1.41506198687685,0.316926184608734,30,27,0.000254383235994255,0.0201941153496978
"9","Granulicatella_elegans","lypma","lypma",1.64607011556015,0.352414155103514,30,24,0.000157047079946535,0.0201941153496978
"10","Streptococcus_sp_F0442","lypma","lypma",1.92007106899965,0.430283718227972,30,23,0.000254342852573631,0.0201941153496978
"11","Eubacterium_sulci","benzonase","benzonase",2.03332055163952,0.449843507778609,30,18,0.000231706937136158,0.0201941153496978
"12","Eubacterium_sulci","host_zero","host_zero",3.43774747935994,0.761945707423398,30,18,0.000234968496184757,0.0201941153496978
"13","Pseudomonas_aeruginosa_group","molysis","molysis",-3.80830466661364,0.85310864954156,30,30,0.000235329033204099,0.0201941153496978
"14","Bifidobacterium_longum","benzonase","benzonase",3.54748951500086,0.804117327014789,30,10,0.000281989147927789,0.020786628618677
"15","Eubacterium_sulci","qiaamp","qiaamp",2.87799053674475,0.660467961550905,30,18,0.000334330918723375,0.0215643442576577
"16","Neisseria_flavescens","lypma","lypma",3.07896753106436,0.709219940668211,30,14,0.000320170008280089,0.0215643442576577
"17","Eubacterium_sulci","molysis","molysis",3.77939835036722,0.889443418557716,30,18,0.000427690954599897,0.0259633567733585
"18","Rothia_mucilaginosa","lypma","lypma",1.01843084054684,0.257051066847705,30,29,0.00081718195260557,0.0468517652827193
"19","Neisseria_flavescens","benzonase","benzonase",3.4463799323028,0.895579343643198,30,14,0.000979574723173979,0.0532063744376603
"20","Actinomyces_naeslundii","host_zero","host_zero",2.59702889585404,0.697407735145015,30,17,0.00126195676905728,0.05941167787847
"21","Bifidobacterium_longum","log10.Final_reads","log10.Final_reads",-5.51118992429631,1.45960477473484,30,10,0.0012013116952506,0.05941167787847
"22","Denitrobacterium_detoxificans","qiaamp","qiaamp",2.23299107485159,0.599869000871964,30,13,0.00126652801678909,0.05941167787847
"23","Actinomyces_naeslundii","qiaamp","qiaamp",2.21367853654131,0.605260503075268,30,17,0.00148478803509868,0.060796927247859
"24","Actinomyces_sp_oral_taxon_897","host_zero","host_zero",5.60200213676575,1.52890713286139,30,8,0.00151588936024122,0.060796927247859
"25","Actinomyces_sp_oral_taxon_897","molysis","molysis",6.45494202202223,1.78374068524689,30,8,0.00168055310161115,0.060796927247859
"26","Actinomyces_sp_oral_taxon_897","qiaamp","qiaamp",4.82162777443948,1.3262073578512,30,8,0.00162557475183967,0.060796927247859
"27","Denitrobacterium_detoxificans","molysis","molysis",2.92315923802616,0.805935778388753,30,13,0.00157288823782546,0.060796927247859
"28","Prevotella_melaninogenica","qiaamp","qiaamp",-4.25304388290184,1.17166921490902,30,20,0.00173084152608599,0.060796927247859
"29","Granulicatella_elegans","benzonase","benzonase",1.61345998844701,0.446457226950039,30,24,0.00176735253627497,0.060796927247859
"30","Streptococcus_sp_F0442","benzonase","benzonase",2.01724555865501,0.545109346255303,30,23,0.00144970220575945,0.060796927247859
"31","Denitrobacterium_detoxificans","host_zero","host_zero",2.4466361259377,0.691134474293576,30,13,0.00194051924524085,0.0626327093458392
"32","Gemmata_obscuriglobus","molysis","molysis",2.27474556184413,0.649840807577602,30,10,0.00194209951459966,0.0626327093458392
"33","Actinomyces_naeslundii","molysis","molysis",2.75859044658959,0.813308995782437,30,17,0.00275313992693565,0.0860981940787148
"34","Rothia_dentocariosa","benzonase","benzonase",1.3465502805916,0.401750640844683,30,27,0.00325234202414156,0.0932338046920581
"35","Prevotella_melaninogenica","molysis","molysis",-5.29201078733137,1.57723035957283,30,20,0.00323763629780108,0.0932338046920581
"36","Streptococcus_gordonii","lypma","lypma",1.65718104330256,0.49236257982386,30,24,0.00320284476413774,0.0932338046920581
"37","Pseudomonas_aeruginosa_group","qiaamp","qiaamp",-2.09366753024929,0.634140191369566,30,30,0.00356054342133177,0.0993102921841727
"38","Actinomyces_sp_HPA0247","benzonase","benzonase",1.49036986460804,0.45290114865802,30,24,0.00381428482522274,0.100788502748115
"39","Corynebacterium_durum","qiaamp","qiaamp",2.80948972148557,0.858865022529246,30,18,0.00386824228263707,0.100788502748115
"40","Streptococcus_sanguinis","lypma","lypma",1.74638246498744,0.533208808396362,30,22,0.00390653111426801,0.100788502748115
"41","Actinomyces_massiliensis","qiaamp","qiaamp",3.06829220861264,0.96377762269491,30,15,0.00464076880663287,0.101899434222237
"42","Actinomyces_sp_oral_taxon_897","benzonase","benzonase",2.89919300595941,0.906196021030192,30,8,0.00451552781622257,0.101899434222237
"43","Corynebacterium_durum","host_zero","host_zero",3.16622327799092,0.990322335719672,30,18,0.00456856776121162,0.101899434222237
"44","Cutibacterium_acnes","host_zero","host_zero",2.6618856423921,0.832106165505231,30,12,0.00411846090651989,0.101899434222237
"45","Cutibacterium_acnes","qiaamp","qiaamp",2.28443323262722,0.723026685717534,30,12,0.00453874958387473,0.101899434222237
"46","Streptococcus_infantis","qiaamp","qiaamp",1.65074285435179,0.517621331674019,30,26,0.00458521618596448,0.101899434222237
"47","Pseudomonas_aeruginosa_group","host_zero","host_zero",-2.33675539526219,0.731155320095312,30,30,0.00452475138858834,0.101899434222237
"48","Actinomyces_massiliensis","host_zero","host_zero",3.50739771816917,1.11111865387235,30,15,0.00492420875178518,0.103709865955965
"49","Gemella_morbillorum","benzonase","benzonase",1.19904113870345,0.378454430930687,30,23,0.00486594832199978,0.103709865955965
"50","Actinomyces_massiliensis","molysis","molysis",3.94214674530118,1.29635002073703,30,15,0.00639533124690065,0.112599783808037
"51","Actinomyces_sp_HPA0247","qiaamp","qiaamp",2.03577138040497,0.664859276334083,30,24,0.00636195834175117,0.112599783808037
"52","Corynebacterium_matruchotii","molysis","molysis",3.07294868490417,1.01190476201093,30,9,0.00613254849500828,0.112599783808037
"53","Rothia_mucilaginosa","qiaamp","qiaamp",1.47628039848348,0.478278473506045,30,29,0.00594402624274403,0.112599783808037
"54","Cutibacterium_acnes","molysis","molysis",2.90788677835933,0.969452544501346,30,12,0.00655239595561726,0.112599783808037
"55","Gemella_haemolysans","qiaamp","qiaamp",1.06957039376036,0.354621618922308,30,25,0.00657138639458929,0.112599783808037
"56","Streptococcus_anginosus_group","benzonase","benzonase",1.81540883320324,0.596241291357597,30,23,0.00615318492001429,0.112599783808037
"57","Streptococcus_infantis","host_zero","host_zero",1.83815053124456,0.596766422287563,30,26,0.00586361510794095,0.112599783808037
"58","Eubacterium_sulci","log10.Final_reads","log10.Final_reads",-2.49214948982092,0.819116418989493,30,18,0.00665560737625027,0.112599783808037
"59","Mogibacterium_pumilum","qiaamp","qiaamp",3.05336144405853,1.00596879897704,30,16,0.00640580274904089,0.112599783808037
"60","Mogibacterium_timidum","host_zero","host_zero",1.86356219008642,0.610160766122293,30,12,0.00591069154951364,0.112599783808037
"61","Gemmata_obscuriglobus","qiaamp","qiaamp",1.48850101244999,0.485565594884212,30,10,0.00553685083154117,0.112599783808037
"62","Actinobaculum_sp_oral_taxon_183","molysis","molysis",3.08852058944272,1.05214115937691,30,11,0.00780253330106851,0.117170083131436
"63","Actinomyces_massiliensis","benzonase","benzonase",1.90025686550346,0.65845078194553,30,15,0.00917349772965991,0.117170083131436
"64","Actinomyces_naeslundii","benzonase","benzonase",1.19192484113634,0.414561388015904,30,17,0.00922503125823628,0.117170083131436
"65","Actinomyces_odontolyticus","benzonase","benzonase",1.26796263828489,0.439041523932266,30,26,0.00932057709016572,0.117170083131436
"66","Actinomyces_sp_HPA0247","host_zero","host_zero",2.21062318404637,0.766987410031221,30,24,0.00947277524612761,0.117170083131436
"67","Actinomyces_sp_S6_Spd3","lypma","lypma",1.61203233090837,0.556505491571781,30,22,0.00909865060699494,0.117170083131436
"68","Actinomyces_sp_S6_Spd3","benzonase","benzonase",2.02534984073252,0.705155815097771,30,22,0.00953743426516313,0.117170083131436
"69","Actinomyces_sp_oral_taxon_181","benzonase","benzonase",1.66859612220832,0.56521990757053,30,22,0.00800742810609723,0.117170083131436
"70","Actinomyces_sp_oral_taxon_897","log10.Final_reads","log10.Final_reads",-4.85971728562777,1.64015791620154,30,8,0.00757559523255353,0.117170083131436
"71","Aeriscardovia_aeriphila","benzonase","benzonase",1.24166682706427,0.43904596403872,30,22,0.0104067237019962,0.117170083131436
"72","Alloscardovia_omnicolens","benzonase","benzonase",2.11084915741047,0.712246041747147,30,15,0.00763728346883566,0.117170083131436
"73","Alloscardovia_omnicolens","host_zero","host_zero",3.39039247563791,1.19979998409677,30,15,0.0102608634601518,0.117170083131436
"74","Bifidobacterium_dentium","molysis","molysis",2.64814296193855,0.9364280474387,30,11,0.0103874035273442,0.117170083131436
"75","Corynebacterium_matruchotii","host_zero","host_zero",2.47072254534493,0.868095748045272,30,9,0.00951795785765477,0.117170083131436
"76","Rothia_mucilaginosa","host_zero","host_zero",1.65431997090299,0.551645020982373,30,29,0.00722853499340465,0.117170083131436
"77","Rothia_mucilaginosa","molysis","molysis",1.85164551861256,0.643841324232139,30,29,0.00949370737943285,0.117170083131436
"78","X.Collinsella._massiliensis","benzonase","benzonase",1.18822430408945,0.417918961089082,30,20,0.00996611837411044,0.117170083131436
"79","Slackia_exigua","host_zero","host_zero",2.33270956327867,0.815284867466754,30,19,0.00959360477403719,0.117170083131436
"80","Gemella_haemolysans","host_zero","host_zero",1.15325262076784,0.408512865411426,30,25,0.0101541903656606,0.117170083131436
"81","Gemella_haemolysans","molysis","molysis",1.34507303385708,0.476310973181459,30,25,0.0101109055282622,0.117170083131436
"82","Gemella_morbillorum","lypma","lypma",0.899053407574937,0.298981530229406,30,23,0.0070796816953526,0.117170083131436
"83","Staphylococcus_argenteus","lypma","lypma",1.60491223582776,0.552457482673389,30,22,0.00900498793266573,0.117170083131436
"84","Streptococcus_mitis","lypma","lypma",0.976706633251179,0.326314172247552,30,29,0.00740001192207048,0.117170083131436
"85","Mogibacterium_diversum","benzonase","benzonase",3.37716845991697,1.1627712321575,30,21,0.00873428453264239,0.117170083131436
"86","Mogibacterium_pumilum","benzonase","benzonase",2.02335867660099,0.688198968274772,30,16,0.00804009208019482,0.117170083131436
"87","Mogibacterium_pumilum","host_zero","host_zero",3.26657001203395,1.15942198311433,30,16,0.0104453950078412,0.117170083131436
"88","Mogibacterium_timidum","molysis","molysis",2.05893080685649,0.711258822560716,30,12,0.00850415107732383,0.117170083131436
"89","Mogibacterium_timidum","qiaamp","qiaamp",1.52048648786603,0.529821000208464,30,12,0.00905148674134297,0.117170083131436
"90","Gemmata_obscuriglobus","host_zero","host_zero",1.60233049085989,0.558243629384529,30,10,0.0087038078905365,0.117170083131436
"91","Eubacterium_saphenum","host_zero","host_zero",0.870093057826151,0.293634931427178,30,4,0.00749469734564414,0.117170083131436
"92","Eubacterium_saphenum","qiaamp","qiaamp",0.719458395993579,0.254790850408527,30,4,0.0102857427173106,0.117170083131436
"93","Rothia_mucilaginosa","benzonase","benzonase",0.922389579268932,0.326080000463133,30,29,0.0105888691570754,0.117502290001094
"94","Alloscardovia_omnicolens","qiaamp","qiaamp",2.92148955371766,1.04102349889862,30,15,0.0107393744995035,0.117904622164762
"95","Bifidobacterium_dentium","host_zero","host_zero",2.23193080427688,0.802538975663558,30,11,0.0115344013390213,0.1190350218187
"96","Corynebacterium_durum","molysis","molysis",3.2321298135581,1.1555620473366,30,18,0.0111902293004378,0.1190350218187
"97","Prevotella_melaninogenica","host_zero","host_zero",-3.78041117397174,1.35138628803171,30,20,0.0113130155094297,0.1190350218187
"98","Capnocytophaga_leadbetteri","host_zero","host_zero",2.22600699083067,0.80847707006823,30,4,0.0113923060062426,0.1190350218187
"99","Streptococcus_infantis","molysis","molysis",1.93651726799175,0.696262753562844,30,26,0.0114497204375483,0.1190350218187
"100","Sharpea_azabuensis","host_zero","host_zero",2.51390376561831,0.906028774727232,30,8,0.0110017731335923,0.1190350218187
"101","Alkalilimnicola_ehrlichii","molysis","molysis",-4.14207476143904,1.51152063297202,30,12,0.0123722451390128,0.126417395875853
"102","Solobacterium_moorei","benzonase","benzonase",1.56259761510794,0.577878743599383,30,22,0.0135176985378473,0.136767302853514
"103","Bifidobacterium_dentium","qiaamp","qiaamp",1.86846135968633,0.696025128440669,30,11,0.0142776576845317,0.143053812916861
"104","Alloscardovia_omnicolens","molysis","molysis",3.72904198124234,1.39946345345228,30,15,0.0146427920807581,0.143917727879451
"105","Propionibacterium_acidifaciens","qiaamp","qiaamp",3.49443659111464,1.31364493779701,30,11,0.0146177407306766,0.143917727879451
"106","Actinomyces_sp_oral_taxon_414","molysis","molysis",2.85089297016186,1.083747478141,30,8,0.0149506600053271,0.145557369108467
"107","Actinomyces_sp_oral_taxon_180","qiaamp","qiaamp",1.80458245061244,0.681189575125321,30,20,0.015123096198365,0.145860142773016
"108","Actinomyces_sp_oral_taxon_181","lypma","lypma",1.17993525915599,0.445929587934476,30,22,0.0157630198356723,0.149242536425814
"109","Enorma_massiliensis","qiaamp","qiaamp",2.06451906230784,0.787705584201898,30,17,0.0156897306161568,0.149242536425814
"110","Propionibacterium_acidifaciens","host_zero","host_zero",3.95479854982701,1.51335534161807,30,11,0.0161720151156951,0.150952774197628
"111","Slackia_exigua","qiaamp","qiaamp",1.85498171374069,0.707180486082335,30,19,0.0162361995503263,0.150952774197628
"112","Actinomyces_sp_oral_taxon_180","benzonase","benzonase",1.22019145543126,0.466398785339203,30,20,0.0164109936762532,0.151215584588333
"113","Oribacterium_sp_oral_taxon_078","host_zero","host_zero",2.30717533748706,0.889663112771848,30,11,0.0166390368544781,0.151960053396649
"114","Actinomyces_johnsonii","host_zero","host_zero",1.91019003742729,0.737535083881257,30,16,0.0173106109001847,0.153972289341753
"115","Actinomyces_sp_oral_taxon_414","host_zero","host_zero",2.3873058954059,0.931602804683934,30,8,0.0174158547047833,0.153972289341753
"116","Scardovia_wiggsiae","lypma","lypma",1.48482694206946,0.572288016287525,30,22,0.0174561607102568,0.153972289341753
"117","Propionibacterium_acidifaciens","molysis","molysis",4.55064853394521,1.76459019483962,30,11,0.0174111450758168,0.153972289341753
"118","Actinomyces_johnsonii","benzonase","benzonase",1.12896214633099,0.437570682469361,30,16,0.0178481799349728,0.154485500235114
"119","Actinomyces_sp_HPA0247","molysis","molysis",2.30946712013675,0.895305926657745,30,24,0.0182652641535891,0.154485500235114
"120","Staphylococcus_schweitzeri","log10.Final_reads","log10.Final_reads",2.01924975934719,0.785556471606408,30,16,0.018058235780033,0.154485500235114
"121","Streptococcus_oralis","lypma","lypma",1.13432137505988,0.441598134361797,30,26,0.0184125160163944,0.154485500235114
"122","Streptococcus_parasanguinis","lypma","lypma",0.674076109236815,0.260306273624053,30,30,0.0179079513071352,0.154485500235114
"123","Eubacterium_saphenum","molysis","molysis",0.87704593251384,0.342484332847965,30,4,0.0183051958084009,0.154485500235114
"124","Actinomyces_johnsonii","qiaamp","qiaamp",1.63007876835431,0.639865526410723,30,16,0.0190063251022221,0.1556708532182
"125","Streptococcus_sanguinis","benzonase","benzonase",1.7328640614168,0.675836511218034,30,22,0.0187175671975567,0.1556708532182
