"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Brochothrix_campestris","log10.Final_reads","log10.Final_reads",0.991668719341789,0.114690000910802,61,10,9.25884754271363e-12,8.72183438523624e-09
"2","Acholeplasma_oculi","log10.Final_reads","log10.Final_reads",1.11847284422691,0.140241760828174,61,16,1.08119064508566e-10,5.09240793835347e-08
"3","Pseudomonas_aeruginosa_group","log10.Final_reads","log10.Final_reads",-2.07470273784115,0.324371561453128,61,30,5.47230736667126e-08,1.71830451313477e-05
"4","Limnochorda_pilosa","log10.Final_reads","log10.Final_reads",2.4045839871933,0.37549314583196,61,22,7.55197859556651e-08,1.77849095925591e-05
"5","Gemella_haemolysans","log10.Final_reads","log10.Final_reads",0.730964451138489,0.128186630784016,61,26,5.67634126487436e-07,8.91185578585275e-05
"6","Staphylococcus_argenteus","log10.Final_reads","log10.Final_reads",2.11349385690109,0.366251156530945,61,24,4.92921688512458e-07,8.91185578585275e-05
"7","Actinomyces_oris","log10.Final_reads","log10.Final_reads",1.51596149277342,0.273785076554063,61,25,1.04523099764543e-06,0.000140658228540285
"8","Abiotrophia_sp_HMSC24B09","log10.Final_reads","log10.Final_reads",1.04805643378353,0.193274162965525,61,16,1.58100433893827e-06,0.000186163260909982
"9","X.Collinsella._massiliensis","log10.Final_reads","log10.Final_reads",1.03316236583333,0.193453652065938,61,20,2.0930737047512e-06,0.000219075047763959
"10","Abiotrophia_defectiva","log10.Final_reads","log10.Final_reads",0.970203589295761,0.183943672666272,61,17,2.61454183443563e-06,0.000246289840803836
"11","Gemella_bergeri","log10.Final_reads","log10.Final_reads",1.81131078666185,0.350378917341022,61,20,3.76783106582266e-06,0.000295774738667079
"12","Granulicatella_elegans","log10.Final_reads","log10.Final_reads",2.3008962257378,0.443450775633343,61,25,3.67782214571664e-06,0.000295774738667079
"13","Olsenella_scatoligenes","log10.Final_reads","log10.Final_reads",0.958916702215653,0.186334051236959,61,20,4.22982989555176e-06,0.000306499981662289
"14","Slackia_isoflavoniconvertens","log10.Final_reads","log10.Final_reads",1.23414808014101,0.24432370232446,61,19,5.36497023312996e-06,0.000336920130640562
"15","Streptococcus_anginosus_group","log10.Final_reads","log10.Final_reads",1.39002378131854,0.273518781998796,61,23,5.13408522394156e-06,0.000336920130640562
"16","Actinomyces_sp_oral_taxon_180","log10.Final_reads","log10.Final_reads",1.07961237404437,0.216152723838995,61,20,6.83619282582572e-06,0.000402480852620489
"17","Atopobium_rimae","log10.Final_reads","log10.Final_reads",0.944167334793719,0.190986400519587,61,21,8.66357260069287e-06,0.000480063846461923
"18","Aeriscardovia_aeriphila","log10.Final_reads","log10.Final_reads",0.960595482833294,0.198751265704582,61,22,1.27000229545918e-05,0.000653826138731923
"19","Staphylococcus_schweitzeri","log10.Final_reads","log10.Final_reads",1.29286976519503,0.269625115103645,61,18,1.31875760466099e-05,0.000653826138731923
