"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Listeria_floridensis","sample_type","Mock",9.64680534174389,0.354029003397736,155,34,1.07048504804282e-58,1.31669660909267e-55
"2","Microbacterium_laevaniformans","sample_type","Neg.",12.1540391650478,0.543666628562933,155,32,1.1202059815002e-48,6.88926678622621e-46
"3","Cryptococcus_neoformans","sample_type","Mock",4.25427029358397,0.272329938947483,155,31,8.39538355227896e-33,3.44210725643437e-30
"4","Bacillus_intestinalis","sample_type","Mock",2.78977155038768,0.187668971980777,155,35,7.04368372005967e-31,1.73274619513468e-28
"5","Brevundimonas_diminuta","sample_type","Neg.",10.1760173514188,0.683550295613324,155,30,6.20145361108139e-31,1.73274619513468e-28
"6","Pseudomonas_formosensis","sample_type","Neg.",11.6963124709369,0.798157922335982,155,32,2.44964034085973e-30,5.02176269876245e-28
"7","Saccharomyces_cerevisiae","sample_type","Mock",2.48347530590536,0.186064576636579,155,31,5.8873959167263e-27,9.56787415186354e-25
"8","Cryptococcus_gattii_VGIII","sample_type","Mock",4.39386247572039,0.329420868835475,155,30,6.22300757844783e-27,9.56787415186354e-25
"9","Saccharomyces_kudriavzevii","sample_type","Mock",5.54835759397458,0.431448806102848,155,30,1.10307316441446e-25,1.50753332469976e-23
"10","Listeria_monocytogenes","sample_type","Mock",3.07704900649607,0.24019482877887,155,35,1.48337211924659e-25,1.8245477066733e-23
"11","Cryptococcus_gattii_VGII","sample_type","Mock",3.6318885758122,0.285115556811187,155,30,2.29346395393188e-25,2.56450969394201e-23
"12","Bacillus_ginsengihumi","sample_type","Mock",3.3519278002788,0.270612464377898,155,29,1.91429226393594e-24,1.96214957053434e-22
"13","Pseudomonas_aeruginosa_group","sample_type","Sputum",9.01462880003558,0.744024812948664,155,53,9.79626460686257e-24,9.26877343572382e-22
"14","Cryptococcus_gattii_VGI","sample_type","Mock",4.16608226407706,0.359421053907361,155,30,2.33450943483253e-22,2.0510332891743e-20
"15","Saccharomyces_cerevisiae_x_Saccharomyces_kudriavzevii","sample_type","Mock",3.29806821213761,0.304968530765014,155,29,2.52566167290756e-20,2.0710425717842e-18
"16","Listeria_innocua","sample_type","Mock",3.0711466080624,0.289039338660367,155,27,7.87269913350541e-20,6.05213745888228e-18
"17","Cutibacterium_acnes","sample_type","Nasal",15.7610551008924,0.82490717255877,155,90,9.9050270284893e-14,7.16657837943638e-12
"18","Corynebacterium_accolens","sample_type","Nasal",15.7989964409493,1.04628943454048,155,35,5.29446941704688e-11,3.61788743498203e-09
"19","Actinomyces_oris","sample_type","Sputum",10.5785848885593,0.852076813682561,155,29,1.52313067919024e-10,9.86026702844206e-09
"20","Gemella_haemolysans","log10.Final_reads","log10.Final_reads",1.64178119525038,0.245909103597232,155,69,4.99243734854745e-10,3.07034896935668e-08
"21","Aeriscardovia_aeriphila","log10.Final_reads","log10.Final_reads",1.22026940575245,0.189793307630757,155,38,1.96453300235428e-09,1.15065504423608e-07
"22","Granulicatella_elegans","sample_type","Sputum",8.85397190635772,0.838418967934742,155,45,2.72556870349936e-09,1.52384068422919e-07
"23","Rothia_dentocariosa","sample_type","Sputum",6.47624965762409,0.647358934963174,155,28,7.95460269469705e-09,4.25398318020755e-07
"24","X.Collinsella._massiliensis","log10.Final_reads","log10.Final_reads",1.70346936289225,0.284820144708176,155,35,1.73303476878228e-08,8.58826143227114e-07
"25","Streptococcus_australis","sample_type","Sputum",5.08532567319787,0.546276780442539,155,25,1.74558159192503e-08,8.58826143227114e-07
"26","Streptococcus_infantis","sample_type","Sputum",3.97544444205383,0.436724045985149,155,27,2.93642587400916e-08,1.38915531731972e-06
"27","Pseudomonas_aeruginosa_group","sample_type","Mock",5.57814212622766,0.972103188431627,155,53,5.44317846701507e-08,2.47967019052909e-06
"28","Limnochorda_pilosa","log10.Final_reads","log10.Final_reads",1.39292651450344,0.245815290551748,155,34,7.68644128444882e-08,3.3765438499543e-06
"29","Actinomyces_sp_ICM47","sample_type","Sputum",8.39136197058288,0.999094673456893,155,24,9.14545497518888e-08,3.87893435154563e-06
"30","Brochothrix_campestris","log10.Final_reads","log10.Final_reads",0.581199927524187,0.103643290332326,155,39,1.0486729508046e-07,4.29955909829886e-06
"31","Escherichia_coli","host_zero","host_zero",-2.08151063993781,0.374661692708639,155,33,1.44984127166526e-07,5.7525960133815e-06
"32","Thermoleophilum_album","sample_type","Neg.",4.49749758972758,0.81508057855146,155,52,1.55005956073074e-07,5.9580414365588e-06
"33","Streptococcus_parasanguinis","sample_type","Sputum",8.53527870361394,1.01619096447583,155,36,1.84353957115391e-07,6.87137476521003e-06
"34","Gemella_morbillorum","log10.Final_reads","log10.Final_reads",1.5347918474247,0.28000255282637,155,29,1.90341856541559e-07,6.8858965748858e-06
"35","Gemella_sanguinis","sample_type","Sputum",10.1218631578208,1.2062457884522,155,71,2.22058662482774e-07,7.80377585296606e-06
"36","Salmonella_enterica","host_zero","host_zero",-1.08173208070018,0.200777660076376,155,24,2.84310053742425e-07,9.71392683619952e-06
"37","Slackia_isoflavoniconvertens","log10.Final_reads","log10.Final_reads",1.04692578361678,0.198906215191677,155,31,5.03310938005996e-07,1.67316879391183e-05
"38","Solobacterium_moorei","sample_type","Sputum",4.79536879995918,0.646846326965755,155,23,5.53416838850619e-07,1.79132292575332e-05
"39","Granulicatella_elegans","log10.Final_reads","log10.Final_reads",1.54597594432435,0.300314338394919,155,45,8.50496751893614e-07,2.68233590981832e-05
"40","Olsenella_scatoligenes","log10.Final_reads","log10.Final_reads",1.27016485453518,0.24720853022626,155,26,8.93385061677989e-07,2.74715906465982e-05
"41","Bacillus_intestinalis","molysis","molysis",-0.267633045990225,0.0533259364100792,155,35,1.51137843471848e-06,4.53413530415545e-05
"42","Actinomyces_oris","log10.Final_reads","log10.Final_reads",1.66260323831408,0.332296227729625,155,29,1.61873255640722e-06,4.74057391519257e-05
"43","Gemella_sanguinis","log10.Final_reads","log10.Final_reads",1.18408772987762,0.236439308804014,155,71,1.69161518894694e-06,4.83880623815054e-05
"44","Actinomyces_naeslundii","log10.Final_reads","log10.Final_reads",1.44900431607455,0.291367546734474,155,23,1.8508702582763e-06,5.11433076391156e-05
"45","Collinsella_aerofaciens","log10.Final_reads","log10.Final_reads",1.21483860577868,0.244339687914182,155,31,1.87109662094325e-06,5.11433076391156e-05
"46","Gemella_haemolysans","sample_type","Sputum",5.1251222951798,0.726876365886837,155,69,2.12235532491447e-06,5.67499358618434e-05
"47","Actinomyces_sp_oral_taxon_181","log10.Final_reads","log10.Final_reads",1.39552097485904,0.282764781324712,155,28,2.24702403245768e-06,5.88050970196372e-05
"48","Escherichia_coli","benzonase","benzonase",-1.69959969572989,0.34878728370526,155,33,3.11394580586513e-06,7.89029401664633e-05
"49","Salmonella_enterica","benzonase","benzonase",-0.915888880838312,0.188778526930268,155,24,3.14328786029e-06,7.89029401664633e-05
"50","Actinomyces_sp_S6_Spd3","log10.Final_reads","log10.Final_reads",0.899639370168643,0.1854171645307,155,26,3.32217229634506e-06,8.17254384900885e-05
"51","Streptococcus_sp_F0442","sample_type","Sputum",4.51497193555545,0.695130555780018,155,23,3.89820822773909e-06,9.36193324102185e-05
"52","Salmonella_enterica","qiaamp","qiaamp",-0.966117975401607,0.201346723644385,155,24,3.95789047587916e-06,9.36193324102185e-05
"53","Streptococcus_salivarius","sample_type","Sputum",7.09551019134519,1.08701344214324,155,29,4.60235546797419e-06,0.00010680938161525
"54","Acholeplasma_oculi","log10.Final_reads","log10.Final_reads",0.8616792696591,0.181370143066929,155,44,4.848539730524e-06,0.000110438960528602
"55","Gemella_haemolysans","lypma","lypma",0.788526933516851,0.166928869310005,155,69,5.89642899705514e-06,0.000131865593934142
"56","Collinsella_aerofaciens","sample_type","Sputum",4.75205767608513,0.749632147719648,155,31,6.17013850042654e-06,0.000135522684920083
"57","Atopobium_rimae","log10.Final_reads","log10.Final_reads",0.611216744257064,0.131120144829723,155,26,7.27199835682987e-06,0.000156922069805276
"58","Staphylococcus_schweitzeri","log10.Final_reads","log10.Final_reads",0.846402319807437,0.184272460830693,155,52,9.61943705073315e-06,0.00020399840642072
"59","Hydrogenibacillus_schlegelii","log10.Final_reads","log10.Final_reads",1.00111261252971,0.21854306060213,155,22,1.00982225708446e-05,0.000210522267154896
"60","Scardovia_wiggsiae","log10.Final_reads","log10.Final_reads",0.892360659800996,0.196485625125421,155,25,1.19608392093952e-05,0.000237287616573486
"61","Enorma_massiliensis","sample_type","Sputum",2.24695140525692,0.383281647145585,155,17,1.1784453800257e-05,0.000237287616573486
"62","Salmonella_enterica","sample_type","Mock",3.16053109732014,0.695673021708774,155,24,1.16340032608801e-05,0.000237287616573486
"63","Gemella_morbillorum","sample_type","Sputum",6.17127727454666,1.04315556937259,155,29,1.23774586125393e-05,0.000241655144340054
"64","Scardovia_wiggsiae","sample_type","Sputum",4.4872670315748,0.765175199434044,155,25,1.38146199438874e-05,0.000265499727046585
"65","Staphylococcus_epidermidis","sample_type","Nasal",9.82003856547273,1.67269896858354,155,60,1.60924600421656e-05,0.000304518859259441
"66","Bulleidia_extructa","log10.Final_reads","log10.Final_reads",0.944892023260693,0.212647998917476,155,24,1.83560364098791e-05,0.000342089769456838
"67","Actinomyces_sp_oral_taxon_180","sample_type","Sputum",2.37937158766566,0.420319339580203,155,20,1.92216269900292e-05,0.000352874644742327
"68","Staphylococcus_argenteus","log10.Final_reads","log10.Final_reads",1.00940571366394,0.229179107469014,155,65,2.20072110721459e-05,0.0003923024582426
"69","Streptococcus_sanguinis","sample_type","Sputum",7.68382183116644,1.34863075408129,155,25,2.18525889609386e-05,0.0003923024582426
"70","Actinomyces_graevenitzii","sample_type","Sputum",6.41251893724608,1.12816094410903,155,25,2.44043160506358e-05,0.000422778996370169
"71","Actinomyces_odontolyticus","log10.Final_reads","log10.Final_reads",0.904450139284218,0.206544444535594,155,32,2.43800004510804e-05,0.000422778996370169
"72","Streptococcus_gordonii","sample_type","Sputum",6.17748569429357,1.09228051406739,155,25,2.48643500637473e-05,0.000424765980255683
"73","Collinsella_stercoris","log10.Final_reads","log10.Final_reads",0.938920909868843,0.215825160444961,155,21,2.57673072605219e-05,0.000434161478499204
"74","Actinomyces_sp_oral_taxon_181","sample_type","Sputum",6.03460620871654,1.10008611942059,155,28,3.13030009457395e-05,0.00048361636093136
"75","Corynebacterium_atypicum","log10.Final_reads","log10.Final_reads",0.66475539277293,0.153901464973544,155,33,3.06166154311665e-05,0.00048361636093136
"76","Collinsella_intestinalis","log10.Final_reads","log10.Final_reads",0.855238427949537,0.198813758958451,155,30,3.14547226622023e-05,0.00048361636093136
"77","Collinsella_stercoris","sample_type","Sputum",3.85487017714884,0.703310272705734,155,21,3.05303592583565e-05,0.00048361636093136
"78","Brochothrix_campestris","sample_type","Mock",3.14512171026298,0.300740523014124,155,39,3.08754328573287e-05,0.00048361636093136
"79","Enterococcus_faecalis","qiaamp","qiaamp",-1.20235221524277,0.278134932933674,155,44,2.97847800950865e-05,0.00048361636093136
"80","Acholeplasma_oculi","sample_type","Sputum",1.60921175990255,0.37268223097896,155,44,2.9152578580397e-05,0.00048361636093136
"81","Gemella_bergeri","log10.Final_reads","log10.Final_reads",0.95471869594995,0.223232118318271,155,24,3.4659877944028e-05,0.000526316665075981
"82","Granulicatella_adiacens","sample_type","Sputum",3.27657014073368,0.602679147541851,155,22,3.55178885502001e-05,0.000532768328253002
"83","Enterococcus_faecalis","log10.Final_reads","log10.Final_reads",1.59505489102039,0.373959090411321,155,44,3.60890314182621e-05,0.000534813357162197
"84","Actinomyces_naeslundii","sample_type","Sputum",4.00886463968879,0.734855118278205,155,23,3.88542235058701e-05,0.000568936844193098
"85","Streptococcus_gordonii","log10.Final_reads","log10.Final_reads",0.728294617221556,0.171507326030637,155,25,4.05412243189424e-05,0.000586655363674108
"86","Streptococcus_anginosus_group","log10.Final_reads","log10.Final_reads",0.812337668737455,0.191772521379302,155,33,4.25660494515702e-05,0.000603730161175092
"87","Parvimonas_micra","log10.Final_reads","log10.Final_reads",1.05753873554969,0.250040608686262,155,24,4.2702865058726e-05,0.000603730161175092
"88","Olsenella_scatoligenes","sample_type","Sputum",3.98545315166098,0.749798317715334,155,26,4.49681238870981e-05,0.000619151026929234
"89","Mogibacterium_diversum","sample_type","Sputum",5.99051057559594,1.12742769463497,155,22,4.52013919406306e-05,0.000619151026929234
"90","Limnochorda_pilosa","sample_type","Sputum",3.26072222080713,0.612048889294212,155,34,4.53037336777488e-05,0.000619151026929234
"91","Pseudomonas_aeruginosa_group","molysis","molysis",-1.15733080849913,0.276222074769238,155,53,4.84528965426497e-05,0.000654912777444605
"92","Granulicatella_adiacens","log10.Final_reads","log10.Final_reads",0.553292797450634,0.133494641859324,155,22,5.92274655027161e-05,0.000791845462699357
"93","Abiotrophia_sp_HMSC24B09","log10.Final_reads","log10.Final_reads",0.498432356673548,0.120516763648975,155,16,6.09146659108707e-05,0.000805645581401838
"94","Listeria_floridensis","log10.Final_reads","log10.Final_reads",0.538448909772529,0.131868480902692,155,34,7.33686399074814e-05,0.000960036458363852
"95","Solobacterium_moorei","log10.Final_reads","log10.Final_reads",0.798118953080177,0.195727875950278,155,23,7.54074054643107e-05,0.000976327460222128
"96","Aeriscardovia_aeriphila","sample_type","Sputum",4.188718811581,0.821754143866251,155,38,9.39956608786584e-05,0.00120431940500781
"97","Peptostreptococcus_stomatis","log10.Final_reads","log10.Final_reads",0.709405763552637,0.176287708142671,155,22,9.61232729958429e-05,0.00121888274005038
"98","Anaerobiospirillum_thomasii","log10.Final_reads","log10.Final_reads",0.677660115418062,0.168939082919622,155,16,9.73952421570538e-05,0.00122240967197119
"99","Eubacterium_infirmum","log10.Final_reads","log10.Final_reads",0.686961464628822,0.171649967713109,155,20,0.000101420231291668,0.00126006954029042
