feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Gemella_haemolysans	lypma	lypma	2.39850018508039	0.173504284538733	30	25	1.07398969316403e-11	5.21656409266966e-09
Gemella_haemolysans	benzonase	benzonase	2.36886367131943	0.173504284538733	30	25	1.34621008843088e-11	5.21656409266966e-09
Gemella_haemolysans	qiaamp	qiaamp	2.28234317199318	0.173504284538733	30	25	2.63855375914569e-11	6.81626387779303e-09
Escherichia_coli	molysis	molysis	-2.75890784180299	0.215844988837527	30	6	4.42124062157622e-11	6.85292296344314e-09
Pseudomonas_aeruginosa	molysis	molysis	-3.32207912995184	0.258006675472953	30	29	3.87665375462424e-11	6.85292296344314e-09
Gemella_haemolysans	molysis	molysis	2.10108289716158	0.173504284538733	30	25	1.157428035689e-10	1.49501121276496e-08
Gemella_haemolysans	host_zero	host_zero	2.05558991108383	0.173504284538733	30	25	1.70376859194817e-10	1.88631522679976e-08
Achromobacter_xylosoxidans	molysis	molysis	-2.68952451286316	0.236993683352999	30	6	3.62184131858294e-10	3.50865877737723e-08
Streptococcus_infantis	lypma	lypma	2.41704453266416	0.234374382482241	30	26	1.88028721395453e-09	1.57368972190989e-07
Escherichia_coli	host_zero	host_zero	-2.2158891983394	0.215844988837527	30	6	2.03056738310954e-09	1.57368972190989e-07
Streptococcus_infantis	benzonase	benzonase	2.29272577647447	0.234374382482241	30	26	4.57476919393583e-09	3.22313284118206e-07
Achromobacter_xylosoxidans	host_zero	host_zero	-2.28924386711558	0.236993683352999	30	6	5.64664737072185e-09	3.64679309359119e-07
Streptococcus_infantis	qiaamp	qiaamp	2.18917978496895	0.234374382482241	30	26	9.83799207225345e-09	5.86495681230494e-07
Streptococcus_infantis	molysis	molysis	2.06657996500544	0.234374382482241	30	26	2.51200083339387e-08	1.39057188991447e-06
Streptococcus_infantis	host_zero	host_zero	2.05743695589274	0.234374382482241	30	26	2.69760064247664e-08	1.39376033194627e-06
Pseudomonas_aeruginosa	host_zero	host_zero	-2.17591123306186	0.258006675472953	30	29	5.10911894319589e-08	2.47472948811051e-06
Escherichia_coli	qiaamp	qiaamp	-1.76829179112015	0.215844988837527	30	6	8.05859751899574e-08	3.67377239836571e-06
Achromobacter_xylosoxidans	qiaamp	qiaamp	-1.88467884933253	0.236993683352999	30	6	1.2779799750581e-07	5.50241378150016e-06
Rothia_dentocariosa	qiaamp	qiaamp	1.88219744632948	0.268695487858677	30	27	8.51046129429163e-07	3.47137237004001e-05
Granulicatella_elegans	qiaamp	qiaamp	1.8947639203148	0.271777014995974	30	24	9.1147750031331e-07	3.53197531371408e-05
Rothia_dentocariosa	lypma	lypma	1.8641077349235	0.268695487858676	30	27	9.78267390621345e-07	3.61027251300735e-05
Pseudomonas_aeruginosa	qiaamp	qiaamp	-1.69112608006398	0.258006675472953	30	29	2.18617618923869e-06	7.70130248481811e-05
Granulicatella_elegans	benzonase	benzonase	1.77173706955367	0.271777014995974	30	24	2.35763260590632e-06	7.94419682424956e-05
Granulicatella_elegans	host_zero	host_zero	1.72883516102135	0.271777014995974	30	24	3.30484574740446e-06	0.000102450218169538
Granulicatella_elegans	molysis	molysis	1.73307728655763	0.271777014995974	30	24	3.19584567246717e-06	0.000102450218169538
Actinomyces_oris	qiaamp	qiaamp	2.39615930767669	0.400022096397376	30	25	3.49157077630233e-06	0.00010407566737055
Actinomyces_oris	molysis	molysis	2.37830019011852	0.400022096397376	30	25	3.89727697818321e-06	0.000111866283633037
Rothia_dentocariosa	benzonase	benzonase	1.66986952258524	0.268695487858676	30	27	4.53432720750821e-06	0.000125503699493531
Gemella_morbillorum	qiaamp	qiaamp	1.72169864910609	0.294187743450359	30	23	4.90371856430135e-06	0.000131047651287364
Granulicatella_elegans	lypma	lypma	1.66505981894134	0.271777014995974	30	24	5.49217349232793e-06	0.000135959577719875
Streptococcus_sp_F0442	qiaamp	qiaamp	2.0478227091832	0.333770394656204	30	23	5.38720179368812e-06	0.000135959577719875
Alkalilimnicola_ehrlichii	molysis	molysis	-3.25008487594298	0.531362055519694	30	7	5.61381482198194e-06	0.000135959577719875
Rothia_dentocariosa	host_zero	host_zero	1.63556140642567	0.268695487858677	30	27	5.98674449033656e-06	0.000140597787273056
Streptococcus_australis	qiaamp	qiaamp	2.36926406067564	0.392852433259288	30	24	6.76872922921246e-06	0.000154287210371755
Actinomyces_sp_oral_taxon_180	qiaamp	qiaamp	1.6447012265401	0.290388149830355	30	20	7.83077661821869e-06	0.000173395767974843
Rothia_dentocariosa	molysis	molysis	1.58873824654923	0.268695487858676	30	27	8.77591940228453e-06	0.00018892604268807
Actinomyces_oris	host_zero	host_zero	2.21624334997788	0.400022096397376	30	25	1.06576190625887e-05	0.000217831602061318
Escherichia_coli	benzonase	benzonase	-1.25706407996933	0.215844988837527	30	6	1.06807753268775e-05	0.000217831602061318
Streptococcus_anginosus	qiaamp	qiaamp	1.80338443988128	0.327775404794143	30	23	1.17327970349203e-05	0.00023315173595034
Streptococcus_sp_F0442	host_zero	host_zero	1.91394580859794	0.333770394656204	30	23	1.30324594610359e-05	0.000252503902057571
Actinomyces_sp_oral_taxon_181	qiaamp	qiaamp	2.22558570794572	0.39863429514606	30	22	1.82745553602762e-05	0.000345433668395466
Actinomyces_oris	benzonase	benzonase	2.11616168911018	0.400022096397376	30	25	1.99703324819289e-05	0.000368500182702259
Streptococcus_anginosus	host_zero	host_zero	1.71331217967237	0.327775404794143	30	23	2.34084543833897e-05	0.000414479898916036
Streptococcus_sp_F0442	molysis	molysis	1.82592319652074	0.333770394656204	30	23	2.35317620029749e-05	0.000414479898916036
Streptococcus_anginosus	benzonase	benzonase	1.70818234176991	0.327775404794142	30	23	2.43512579051414e-05	0.00041938277503299
Streptococcus_anginosus	molysis	molysis	1.69584305071007	0.327775404794143	30	23	2.67791023070951e-05	0.000451169658434755
Actinomyces_sp_S6_Spd3	qiaamp	qiaamp	1.99099487906176	0.370193659905537	30	22	2.89917042516764e-05	0.000478054697767005
Streptococcus_sp_F0442	lypma	lypma	1.78961828256834	0.333770394656204	30	23	3.00908093605163e-05	0.000485841192800002
Gemella_morbillorum	host_zero	host_zero	1.49307202612971	0.294187743450359	30	23	3.43570982611505e-05	0.000543403084742686
Actinomyces_sp_oral_taxon_181	host_zero	host_zero	2.09893622465619	0.39863429514606	30	22	3.74628458178352e-05	0.000580674110176446
Actinomyces_sp_oral_taxon_181	molysis	molysis	2.07448954871442	0.39863429514606	30	22	4.30800077466391e-05	0.000618277888956394
Scardovia_wiggsiae	qiaamp	qiaamp	1.60906516545277	0.309058826511122	30	21	4.28499293177736e-05	0.000618277888956394
Gemella_morbillorum	molysis	molysis	1.46919295881927	0.294187743450359	30	23	4.21984437838284e-05	0.000618277888956394
Prevotella_pallens	molysis	molysis	-2.48648019427274	0.47664662510597	30	9	4.18579218364282e-05	0.000618277888956394
Megasphaera_micronuciformis	molysis	molysis	-2.00371717541037	0.388962264065345	30	7	4.85719128858738e-05	0.000684422408846404
Achromobacter_xylosoxidans	benzonase	benzonase	-1.1991515194641	0.236993683352999	30	6	5.99060877653654e-05	0.000829057464609967
Veillonella_atypica	qiaamp	qiaamp	-2.7582861971333	0.54882538831723	30	15	6.4774801551181e-05	0.000880710021090618
Streptococcus_australis	benzonase	benzonase	1.96129734557908	0.392852433259288	30	24	6.99330923672155e-05	0.000934450803182621
Streptococcus_australis	host_zero	host_zero	1.94424561729562	0.392852433259288	30	24	7.72777762909525e-05	0.00101508943433031
Streptococcus_australis	molysis	molysis	1.93238106051469	0.392852433259288	30	24	8.28456831533223e-05	0.00107009007406375
Actinomyces_sp_HMSC035G02	qiaamp	qiaamp	1.85252745157072	0.382469595542297	30	24	9.85565691077463e-05	0.00125215313210661
Prevotella_salivae	molysis	molysis	-2.42307689081665	0.501231370334909	30	10	0.0001007079226803	0.00125884903350375
Actinomyces_sp_S6_Spd3	molysis	molysis	1.78700790698538	0.370193659905537	30	22	0.000102356072274057	0.0012591421589269
Actinomyces_sp_S6_Spd3	host_zero	host_zero	1.77978302442962	0.370193659905537	30	22	0.000107080472693434	0.00129667759902205
Atopobium_deltae	host_zero	host_zero	-1.93391808752843	0.405490556749953	30	0	0.000117024985442126	0.00139529790334842
Cupriavidus_sp	qiaamp	qiaamp	2.05576049583827	0.448870637310735	30	22	0.000120877815782145	0.00141939859441155
Streptococcus_sp_F0442	benzonase	benzonase	1.57948694099303	0.333770394656204	30	23	0.00012751892614391	0.00147503235464971
Actinomyces_sp_oral_taxon_180	molysis	molysis	1.3177353993775	0.290388149830355	30	20	0.00013451370591298	0.00152683269826501
Haemophilus_parainfluenzae	molysis	molysis	-2.56384375088373	0.54495589845518	30	4	0.000135937362813272	0.00152683269826501
Porphyromonas_endodontalis	molysis	molysis	-2.17684950253901	0.464625071146211	30	10	0.000142230081991179	0.00157469019347377
Actinomyces_sp_oral_taxon_180	host_zero	host_zero	1.3013571869153	0.290388149830355	30	20	0.000155270162193976	0.00167131077361571
Thiohalorhabdus_denitrificans	molysis	molysis	-2.09520154266091	0.450822377436978	30	7	0.00015522595086741	0.00167131077361571
Oribacterium_parvum	molysis	molysis	-1.77002620095567	0.382860062664372	30	3	0.000164257197048289	0.00171658143171837
Cupriavidus_sp	host_zero	host_zero	1.99966876653522	0.448870637310735	30	22	0.000166120783714681	0.00171658143171837
Eggerthia_catenaformis	molysis	molysis	-2.73935672889129	0.592678692969443	30	6	0.000164706153802205	0.00171658143171837
Prevotella_melaninogenica	molysis	molysis	-2.3873689026235	0.519005614854486	30	18	0.000173389312137272	0.00176811469613666
Atopobium_rimae	qiaamp	qiaamp	1.78967631982995	0.390256769397552	30	21	0.000179125275130173	0.00178761035817297
Cupriavidus_sp	molysis	molysis	1.98559333961614	0.448870637310735	30	22	0.00017991433282257	0.00178761035817297
Denitrobacterium_detoxificans	benzonase	benzonase	-1.36746755868435	0.310276458621273	30	0	0.000187518640145465	0.00183958159636374
Megasphaera_micronuciformis	host_zero	host_zero	-1.77364082599918	0.388962264065345	30	7	0.000190278157157535	0.00184331964746362
Gemella_bergeri	qiaamp	qiaamp	1.31204163305981	0.300293621581452	30	20	0.000206575109451239	0.00197649024474951
Actinomyces_sp_HMSC035G02	host_zero	host_zero	1.69692501943638	0.382469595542297	30	24	0.000253519573014473	0.00237524463297892
Gemella_morbillorum	lypma	lypma	1.2612697087113	0.294187743450359	30	23	0.000254381038112581	0.00237524463297892
Veillonella_atypica	host_zero	host_zero	-2.40096811891527	0.54882538831723	30	15	0.000292991902174844	0.00270319909744648
Atopobium_parvulum	qiaamp	qiaamp	1.49499068931438	0.349351794950532	30	24	0.00036612870793286	0.0033382323370349
Atopobium_rimae	host_zero	host_zero	1.66311086594069	0.390256769397552	30	21	0.000381631665972734	0.00339959242676861
Granulicatella_adiacens	qiaamp	qiaamp	1.23977134721749	0.290645419846609	30	22	0.000378081502698813	0.00339959242676861
Actinomyces_sp_HMSC035G02	molysis	molysis	1.62715312230646	0.382469595542297	30	24	0.000388151135232235	0.00341837647505662
Asaccharobacter_celatus	benzonase	benzonase	-1.36746755868435	0.322074255865564	30	0	0.000395956866489318	0.00344793900594631
Megasphaera_micronuciformis	qiaamp	qiaamp	-1.64134271722884	0.388962264065345	30	7	0.000420782875959734	0.00362340809854216
Haemophilus_parainfluenzae	host_zero	host_zero	-2.29234223032921	0.54495589845518	30	4	0.000434098761013109	0.00369699494269406
Stomatobaculum_longum	host_zero	host_zero	-2.17868660904303	0.520518642595148	30	12	0.000455801401938668	0.00379834501615557
Tannerella_sp_oral_taxon_HOT_286	molysis	molysis	-2.08654107994476	0.498012764987146	30	7	0.000451424405334202	0.00379834501615557
Actinomyces_sp_HPA0247	qiaamp	qiaamp	1.45925978217984	0.349281193376416	30	24	0.000464096544123451	0.00382632789037952
Scardovia_wiggsiae	molysis	molysis	1.28046192593135	0.309058826511122	30	21	0.000503433980071	0.00410696141636868
Gemella_morbillorum	benzonase	benzonase	1.1791737348517	0.294187743450359	30	23	0.000516055557212928	0.0041660735087502
Streptococcus_australis	lypma	lypma	1.62171827579973	0.392852433259288	30	24	0.000521457489125009	0.00416628406259672
Pseudopropionibacterium_propionicum	qiaamp	qiaamp	1.44628742266161	0.352475992419746	30	21	0.000552643403855575	0.00420849516040727
Atopobium_rimae	molysis	molysis	1.60118549582005	0.390256769397552	30	21	0.000553057145143448	0.00420849516040727
Leptotrichia_wadei	host_zero	host_zero	-2.37865388319635	0.579839679030168	30	3	0.000553892266272957	0.00420849516040727
Prevotella_pallens	qiaamp	qiaamp	-1.96185888330436	0.47664662510597	30	9	0.000536422516802962	0.00420849516040727
Stenotrophomonas_pavanii	molysis	molysis	-2.66197402318308	0.64754498213362	30	8	0.0005428457420329	0.00420849516040727
Streptococcus_gordonii	qiaamp	qiaamp	1.39275457384437	0.340214158974996	30	24	0.000565011642449328	0.00425130119318669
Lactobacillus_gasseri	host_zero	host_zero	-1.72642011060483	0.424404069557349	30	5	0.000600278233522815	0.00447322722096328
Streptococcus_gordonii	lypma	lypma	1.38101771165408	0.340214158974996	30	24	0.000612486133898758	0.00452073098830035
Scardovia_wiggsiae	host_zero	host_zero	1.24694509578895	0.309058826511122	30	21	0.000648765341895526	0.0046990013081218
Atopobium_parvulum	host_zero	host_zero	1.40958626825982	0.349351794950532	30	24	0.000648448273650566	0.0046990013081218
Actinomyces_sp_oral_taxon_181	benzonase	benzonase	1.60450793981896	0.39863429514606	30	22	0.000663557212908938	0.0047616374074484
Sutterella_parvirubra	qiaamp	qiaamp	-1.44956237174759	0.372522589052122	30	6	0.000693322070449851	0.00492958352842784
Parvimonas_micra	qiaamp	qiaamp	1.7080943097434	0.428044247059807	30	21	0.000719388654246199	0.00506842006400731
Veillonella_dispar	qiaamp	qiaamp	-1.63181016580507	0.410731267801805	30	21	0.000749472735763481	0.00523280513708737
X.Collinsella._massiliensis	qiaamp	qiaamp	0.9122326614073	0.241392945610232	30	20	0.00091914404921105	0.0063601485548086
Enterorhabdus_caecimuris	benzonase	benzonase	-1.36746755868435	0.354136898491439	30	0	0.000972609443701964	0.00667055149441613
Actinomyces_sp_S6_Spd3	benzonase	benzonase	1.41618537818169	0.370193659905537	30	22	0.00105760682193114	0.00718987093856696
Asaccharobacter_celatus	qiaamp	qiaamp	-1.2239939180711	0.322074255865564	30	0	0.00112161565240463	0.00742950538985974
Prevotella_histicola	molysis	molysis	-2.39527467500521	0.630149177615894	30	15	0.0011195859066961	0.00742950538985974
Streptococcus_gordonii	molysis	molysis	1.29318739783677	0.340214158974996	30	24	0.00111965147595766	0.00742950538985974
Prevotella_melaninogenica	qiaamp	qiaamp	-1.9596121253123	0.519005614854486	30	18	0.00118798135988322	0.00780241994838553
Actinomyces_naeslundii	qiaamp	qiaamp	1.6102119508662	0.428155271212762	30	17	0.00122996279551158	0.0080102619035418
Slackia_exigua	qiaamp	qiaamp	1.14594461405319	0.307796193989911	30	19	0.00134309116126018	0.00867413041647199
Actinomyces_odontolyticus	qiaamp	qiaamp	1.49340126060611	0.402697995714461	30	26	0.00138947270136812	0.0087306734136676
Atopobium_deltae	qiaamp	qiaamp	-1.50385255477596	0.405490556749953	30	0	0.00138871378309052	0.0087306734136676
Brochothrix_campestris	host_zero	host_zero	-1.4780993726341	0.398818223027837	30	0	0.00139690774618682	0.0087306734136676
Capnocytophaga_gingivalis	molysis	molysis	-2.18052556759481	0.588058382329271	30	10	0.00139102957128158	0.0087306734136676
Slackia_exigua	host_zero	host_zero	1.13937194310188	0.307796193989911	30	19	0.00141158944053139	0.0087518545312946
Pseudopropionibacterium_propionicum	host_zero	host_zero	1.29920872252331	0.352475992419746	30	21	0.00146435038736694	0.00900691706515379
Atopobium_parvulum	molysis	molysis	1.27920042273368	0.349351794950532	30	24	0.00154958866398206	0.00938265501706814
Gemella_bergeri	molysis	molysis	1.07104842508801	0.300293621581452	30	20	0.00156175806090554	0.00938265501706814
Solobacterium_moorei	qiaamp	qiaamp	1.47915541442843	0.404161651013759	30	22	0.00155619457910255	0.00938265501706814
Prevotella_jejuni	molysis	molysis	-2.08621057346221	0.572432515390567	30	7	0.00161274817186178	0.00961446025532986
Enorma_massiliensis	benzonase	benzonase	-1.00327566315193	0.276071984993748	30	8	0.00165205892082098	0.00976401870964768
Cardiobacterium_valvarum	molysis	molysis	-1.57275316570085	0.433114848666819	30	4	0.00166303286409483	0.00976401870964768
Pseudopropionibacterium_propionicum	molysis	molysis	1.27659850188299	0.352475992419746	30	21	0.00170000253860542	0.00990602983021953
Actinomyces_graevenitzii	molysis	molysis	1.28779098645046	0.356164184449598	30	25	0.0017241934089686	0.00997201411903481
Actinomyces_sp_ICM47	qiaamp	qiaamp	1.64059851402486	0.454267807874715	30	23	0.0017411040969339	0.00999522722313904
Actinomyces_sp_HPA0247	host_zero	host_zero	1.25161335891333	0.349281193376416	30	24	0.00185863770369032	0.0105915016202941
Corynebacterium_atypicum	qiaamp	qiaamp	-1.49657370269838	0.420197947921783	30	0	0.00195512352327478	0.010746246315872
Atopobium_deltae	molysis	molysis	-1.44528303035746	0.405490556749953	30	0	0.00194295213936794	0.010746246315872
