feature	Actinobaculum_sp_oral_taxon_183	Actinomyces_georgiae	Actinomyces_graevenitzii	Actinomyces_hongkongensis	Actinomyces_johnsonii	Actinomyces_massiliensis	Actinomyces_meyeri	Actinomyces_naeslundii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_170	Actinomyces_sp_oral_taxon_180	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_414	Actinomyces_sp_oral_taxon_448	Actinomyces_sp_oral_taxon_897	Actinomyces_viscosus	Aeriscardovia_aeriphila	Alloscardovia_omnicolens	Bifidobacterium_dentium	Bifidobacterium_longum	Scardovia_wiggsiae	Corynebacterium_atypicum	Corynebacterium_durum	Corynebacterium_matruchotii	Rothia_aeria	Rothia_dentocariosa	Rothia_mucilaginosa	Cutibacterium_acnes	Propionibacterium_acidifaciens	Pseudopropionibacterium_propionicum	Atopobium_deltae	Atopobium_parvulum	Atopobium_rimae	Olsenella_profusa	Olsenella_scatoligenes	Olsenella_uli	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Enorma_massiliensis	X.Collinsella._massiliensis	Asaccharobacter_celatus	Denitrobacterium_detoxificans	Enterorhabdus_caecimuris	Slackia_exigua	Slackia_isoflavoniconvertens	Rubrobacter_radiotolerans	Thermoleophilum_album	Porphyromonas_endodontalis	Porphyromonas_somerae	Prevotella_histicola	Prevotella_melaninogenica	Kouleothrix_aurantiaca	Hydrogenibacillus_schlegelii	Gemella_bergeri	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Brochothrix_campestris	Staphylococcus_argenteus	Staphylococcus_aureus	Staphylococcus_epidermidis	Staphylococcus_schweitzeri	Abiotrophia_defectiva	Abiotrophia_sp_HMSC24B09	Granulicatella_adiacens	Granulicatella_elegans	Enterococcus_faecalis	Lactobacillus_rhamnosus	Streptococcus_anginosus	Streptococcus_australis	Streptococcus_cristatus	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_milleri	Streptococcus_mitis	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_peroris	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp_A12	Streptococcus_sp_F0442	Streptococcus_sp_HMSC034E03	Streptococcus_sp_HMSC067H01	Streptococcus_sp_HMSC071D03	Streptococcus_sp_HPH0090	Streptococcus_sp_M334	Streptococcus_vestibularis	Eubacterium_brachy	Eubacterium_infirmum	Eubacterium_nodatum	Eubacterium_sulci	Mogibacterium_diversum	Mogibacterium_pumilum	Mogibacterium_timidum	Lachnoanaerobaculum_saburreum	Oribacterium_parvum	Oribacterium_sinus	Oribacterium_sp_oral_taxon_078	Stomatobaculum_longum	Peptostreptococcus_stomatis	Bulleidia_extructa	Solobacterium_moorei	Limnochorda_pilosa	Veillonella_atypica	Veillonella_dispar	Veillonella_infantium	Veillonella_parvula	Veillonella_sp_T11011_6	Parvimonas_micra	Parvimonas_sp_oral_taxon_110	Parvimonas_sp_oral_taxon_393	Fusobacterium_nucleatum	Leptotrichia_wadei	Gemmata_obscuriglobus	Paludisphaera_borealis	Achromobacter_xylosoxidans	Cupriavidus_sp	Sutterella_parvirubra	Anaerobiospirillum_thomasii	Cardiobacterium_hominis	Cardiobacterium_valvarum	Alkalilimnicola_ehrlichii	Escherichia_coli	Thiohalorhabdus_denitrificans	Pseudomonas_aeruginosa	Acholeplasma_oculi	Candida_parapsilosis	Nakamurella_silvestris	Prevotella_jejuni	Prevotella_pallens	Prevotella_salivae	Tannerella_sp_oral_taxon_HOT_286	Capnocytophaga_gingivalis	Lactobacillus_gasseri	Sharpea_azabuensis	Streptococcus_mutans	Oribacterium_asaccharolyticum	Megasphaera_micronuciformis	Neisseria_flavescens	Neisseria_subflava	Stenotrophomonas_maltophilia	Stenotrophomonas_pavanii	Stenotrophomonas_rhizophila	Streptococcus_sobrinus	Eggerthia_catenaformis	Haemophilus_parainfluenzae
CFB_e_qiaamp	12838	0	86029	0	31163	3528	359	13441	794832	300764	37284	46982	54874	12903	505	5604	12928	0	0	1194	146198	1818	2542	0	37498	1791	0	5924	0	862	373484	2283647	1820	1568	4461	0	13782	5815	3026	351	1508	562	553	850	446	1475	25	75	25	3570	175	0	604	8028	15538	1047	3303	0	646	6573	67149	16973	186702	0	0	0	0	0	575	349	8482	25582	0	1963	14820	422461	0	270440	190606	2580	106215	88681	540808	2496	9091	4285	68391	91417	1303	121466	0	0	0	4027	3461	910	48007	170	6873	1755	10397	525	716	6070	0	1277	920	0	1114	10076	4191	2495	0	342	0	10693	0	23725	344	294	0	0	0	742	9387	47452	0	0	0	0	766	0	774	289564	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_e_molysis	729271	954	1155281	667	187954	20904	4526	132067	4421130	3936477	189738	180054	444646	49018	10858	36375	153752	3071	1146	36628	1947212	12563	21873	1313	287377	12923	279	31482	5470	10854	2556356	7765973	2316	10657	48441	474	122247	45700	28308	9676	16443	7559	3540	3620	2456	15005	1323	2098	1324	46432	7672	428	5295	1668	20052	55638	5842	3903	2094	42891	781161	63623	906828	231	0	20696	1052	0	1299	1310	123171	189591	10561	22409	68763	619854	11077	3414751	1519922	30966	2659539	1551828	3206490	9152	209488	146474	348769	832933	10114	499245	3594	2939	2824	16109	110763	8736	153054	2099	20335	23350	82140	3218	2402	75199	101	3733	7307	1338	11343	54629	57318	15477	2331	30942	10377	472715	5013	215669	4775	7656	2100	288	3874	6881	21335	241248	930	5308	579	365	0	0	775	48651	376	3177	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_e_lyPMA	0	0	935	0	0	0	0	0	16990	10333	567	643	1138	0	0	0	0	0	0	0	3706	71	0	0	0	0	0	0	0	0	25305	61481	0	0	0	0	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	1254	3406	5544	9483	0	0	0	12905	358	9067	0	0	0	0	0	0	0	696	1890	0	0	70	5118	0	28431	25840	1685	48200	20326	49546	0	0	4439	2936	11405	0	4133	0	0	0	0	2059	0	3484	0	0	0	0	0	0	478	0	0	0	0	0	759	314	187	0	730	157	7242	0	2414	0	0	0	0	0	360	69612	1209	451	0	0	0	3035	0	3395	910643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_e_host_zero	56186	1764	385170	710	114201	15243	3937	93021	2636196	937677	199034	211531	394919	45855	5353	28191	117901	3425	1524	10266	429207	6126	25368	908	227912	9269	272	64699	4606	5557	1059197	5038495	891	3717	31611	352	141334	57909	12762	6596	12465	5811	2909	3762	1954	8388	1406	1314	1094	41248	6701	310	3536	354486	86429	46807	55633	1205	987	32748	318511	76259	633503	0	771	4270	882	0	1341	1509	51946	105447	5202	11507	97425	355412	4814	1070967	1021223	8601	1039362	365136	2354404	24128	69565	67482	611750	411135	8299	492232	535	1885	806	32585	42210	9459	162058	4914	112066	43115	74910	5151	4452	35017	644	6453	2528	0	10496	70762	33937	8705	139	10426	3386	95478	1680	234333	2982	9094	4031	0	1937	3736	35961	172224	953	2654	1594	1371	1149	0	979	212175	372	0	208	31469	22430	6526	532	6711	0	86	0	267	97	0	0	0	0	0	0	0	0
CFB_e_control	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	2833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1061	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	0	0	1722	334	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11056	0	0	0	0	0	842	0	387	198796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_e_benzonase	3312	0	24057	0	14046	678	0	3751	125890	49344	5744	4531	13096	441	0	2074	2092	0	0	0	16963	667	470	0	11298	21	0	878	0	0	87328	367040	0	0	542	0	6109	1998	167	210	0	314	0	0	0	508	0	0	0	395	149	0	162	1177	8588	6644	35999	0	0	814	27420	4060	47645	0	0	0	0	0	0	0	3742	7550	0	0	3648	12958	0	84805	112825	1720	104630	40808	150169	2884	7905	7103	10411	16972	0	23814	0	0	0	2254	2288	0	5562	0	2124	426	2047	0	0	3587	0	0	0	689	353	4120	6925	760	2246	2154	0	13941	0	11319	0	220	0	0	0	0	101829	11548	331	0	0	0	1149	0	1464	426478	0	0	0	126	176	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_d_qiaamp	0	0	2925	0	15384	0	0	5496	21135	177130	15493	3816	16804	1817	4170	4696	7497	0	0	0	1619	391	790	0	0	2428	0	1820	0	930	80806	314418	0	0	4274	0	4992	6794	1290	1141	4673	671	54	187	120	697	0	0	0	1407	246	0	0	0	12514	0	0	0	0	416	55122	6502	148447	0	1438835	32887869	0	88742	1170	724	861	4686	0	0	3831	145467	2431	859	55227	0	6878	12670	104692	1173	0	0	43443	0	1147	3137	0	0	0	0	1258	611	0	0	0	0	130	0	0	0	0	0	0	0	3212	114	2447	569	0	0	0	0	0	218	0	0	0	0	0	0	0	27882	0	0	0	0	246	0	37	63825	136	0	0	0	0	0	0	1134	0	0	0	0	0	1863	1178	102057	1974	9311	0	0	0
CFB_d_molysis	0	6568	106404	3858	230580	8617	2102	120975	254461	2433057	171069	48785	175357	26092	85114	87936	95769	2027	0	0	29818	2188	15810	2200	495	43296	0	32742	6306	45355	851307	3952244	2188	10288	75646	269	61840	107395	39688	27562	118981	8667	3363	6360	3786	12297	992	568	1079	27916	7510	218	1008	0	11863	0	746	307	193	13917	549137	41166	1255640	516	2256165	52566309	0	126228	10688	9730	13598	65689	0	5779	126807	1315985	33489	30650	895915	0	694126	727545	1367494	25807	94956	67455	434051	9701	4223	55886	9199	4903	7983	17068	9023	3059	1659	6952	0	0	21327	301	2320	7905	0	0	351	876	26048	9450	37646	10120	936	1878	2197	6581	0	22281	0	294	3834	0	2109	1362	0	416390	2116	1990	0	0	0	0	34	4142	1027	0	0	0	0	0	0	0	52	85	7353	0	0	951	2177	131343	2827	10976	0	0	0
CFB_d_lyPMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	3854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1525	0	2005	0	9865	244217	0	0	0	0	0	0	0	0	0	0	0	0	477	0	965	0	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15723	0	0	0	0	0	0	0	0	0	0	0	0	0	1311	0	52823	0	0	0	0	0
CFB_d_host_zero	0	0	5768	0	41532	0	74	16084	22352	188753	16696	3442	13514	1358	4236	5564	6944	0	0	0	0	339	933	0	0	2147	0	2166	0	2853	80735	383227	0	51	4981	0	5486	6294	2304	1102	5921	234	204	263	108	1112	0	0	0	6521	519	0	0	1453	24092	0	0	0	0	116	35865	3732	187744	0	802531	19606775	0	55846	990	1140	552	4888	0	0	21328	101004	1672	2655	50681	0	16290	18442	100419	4565	0	858	20421	0	1530	5499	0	0	373	0	1044	0	0	0	0	0	506	0	0	0	0	0	0	0	2965	327	1488	202	0	0	0	0	0	0	0	0	97	0	0	0	0	22247	0	0	0	0	0	0	0	44436	0	0	0	0	0	0	0	0	0	0	0	0	0	4820	589	132653	5654	13036	0	0	0
