"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",-0.0391815048662666,0.48627574529863,20.0000000746746,-0.0805746641593331,0.936581058529636,"vSGB7281","BAL",0.989610587636019,0.989610587636019
"2","benzonase",0.649155956487857,0.48627574529863,20.0000000736092,1.33495442197965,0.19688931575606,"vSGB7281","BAL",0.989610587636019,0.989610587636019
"3","host_zero",0.576302163387922,0.48627574529863,20.0000000739191,1.1851345023059,0.249855822289443,"vSGB7281","BAL",0.989610587636019,0.989610587636019
"4","molysis",0.197122928838213,0.48627574529863,20.0000000746661,0.40537273500482,0.689507152087588,"vSGB7281","BAL",0.989610587636019,0.989610587636019
"5","qiaamp",0.44064625831442,0.48627574529863,20.0000000742322,0.906165406304219,0.375636527371595,"vSGB7281","BAL",0.989610587636019,0.989610587636019
"6","lypma",1.75461550600802,0.912184423858352,20.0000001106826,1.92353153607508,0.0687654023641983,"vSGB108167","BAL",0.989610587636019,0.989610587636019
"7","benzonase",1.42428463173084,0.912184423858352,20.0000001106834,1.56139986002656,0.134114362420342,"vSGB108167","BAL",0.989610587636019,0.989610587636019
"8","host_zero",1.48319062391318,0.912184423858351,20.0000001105267,1.62597670506101,0.119608848886584,"vSGB108167","BAL",0.989610587636019,0.989610587636019
"9","molysis",1.07706788754094,0.912184423858351,20.0000001106845,1.18075671911297,0.251551622541957,"vSGB108167","BAL",0.989610587636019,0.989610587636019
"10","qiaamp",1.38691014600945,0.912184423858352,20.0000001103597,1.52042734970535,0.144056266212911,"vSGB108167","BAL",0.989610587636019,0.989610587636019
"11","lypma",1.61499391249086,0.96414536111742,20.0000000898562,1.67505230810748,0.109489908462216,"vSGB27658","BAL",0.989610587636019,0.989610587636019
"12","benzonase",-0.305058827000038,0.96414536111742,20.0000000896532,-0.316403355036094,0.754974980527272,"vSGB27658","BAL",0.989610587636019,0.989610587636019
"13","host_zero",0.677365430876246,0.96414536111742,20.0000000894836,0.702555297358063,0.490430015040895,"vSGB27658","BAL",0.989610587636019,0.989610587636019
"14","molysis",0.485734873215613,0.96414536111742,20.000000089277,0.503798382281961,0.619907407331402,"vSGB27658","BAL",0.989610587636019,0.989610587636019
"15","qiaamp",0.75734214291286,0.96414536111742,20.0000000896822,0.785506183460884,0.441363829386927,"vSGB27658","BAL",0.989610587636019,0.989610587636019
"16","lypma",-0.0391815048662659,0.278563526280233,20.0000000140057,-0.140655545934071,0.889549061974191,"vSGB74628","BAL",0.989610587636019,0.989610587636019
"17","benzonase",-0.305058827000037,0.278563526280233,20.0000000143695,-1.09511403403599,0.286479950148645,"vSGB74628","BAL",0.989610587636019,0.989610587636019
