"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",0.994582419279198,1.30303657879874,19.1677589271087,0.763280506059237,0.454588737014625,"vSGB5885","Sputum",0.959198537775646,0.989485096624332
"2","benzonase",0.867876372235769,1.30303657879874,19.167758926647,0.666041449915289,0.513321465353285,"vSGB5885","Sputum",0.959198537775646,0.989485096624332
"3","host_zero",-1.16293754722989,1.30303657879874,19.1677589270038,-0.892482656397866,0.38320227409169,"vSGB5885","Sputum",0.959198537775646,0.989485096624332
"4","molysis",-2.99256863812791,1.30303657879874,19.1677589269761,-2.29661138207397,0.0330757366993955,"vSGB5885","Sputum",0.862243905583819,0.889469135564824
"5","qiaamp",-0.485294452119533,1.30303657879874,19.1677589262961,-0.372433483461319,0.713656213738177,"vSGB5885","Sputum",0.959198537775646,0.989485096624332
"6","lypma",-0.0365174590852225,0.369491296690935,19.2807977754868,-0.0988317165039151,0.922292188146984,"vSGB7281","Sputum",0.959198537775646,0.989485096624332
"7","benzonase",-0.145069178079817,0.369491296690935,19.2807977746358,-0.392618660788542,0.698907920616622,"vSGB7281","Sputum",0.959198537775646,0.989485096624332
"8","host_zero",0.041549030799836,0.369491296690935,19.2807977749765,0.112449281409164,0.911629687348708,"vSGB7281","Sputum",0.959198537775646,0.989485096624332
"9","molysis",-0.055315059453749,0.369491296690935,19.2807977752072,-0.149705987527002,0.882551498971058,"vSGB7281","Sputum",0.959198537775646,0.989485096624332
"10","qiaamp",-0.259400656837148,0.369491296690935,19.2807977746323,-0.702048083839242,0.491038105854814,"vSGB7281","Sputum",0.959198537775646,0.989485096624332
"11","lypma",3.45306437928239,1.05744998279254,19.0506897829803,3.26546355427938,0.0040590418347095,"vSGB108167","Sputum",0.369916937417608,0.381597012660638
"12","benzonase",3.30854143632224,1.05744998279254,19.0506897830545,3.12879236858558,0.00551543324105502,"vSGB108167","Sputum",0.39389225784826,0.406329350460002
"13","host_zero",3.22650106455402,1.05744998279254,19.0506897832506,3.05120915131456,0.00655692281618792,"vSGB108167","Sputum",0.441240331335998,0.455172432705138
"14","molysis",3.60676214084863,1.05744998279254,19.0506897828704,3.4108111017448,0.00292321002773411,"vSGB108167","Sputum",0.369916937417608,0.381597012660638
"15","qiaamp",3.80183574163141,1.05744998279254,19.0506897832064,3.59528658896134,0.00192246902296449,"vSGB108167","Sputum",0.348357159089028,0.359356487365296
"16","lypma",0.84723321935412,0.687270059485606,19.2436526246381,1.23275153291013,0.232517019708736,"vSGB17532","Sputum",0.959198537775646,0.989485096624332
"17","benzonase",0.871167880692748,0.687270059485606,19.2436526246975,1.26757723353289,0.220073170099265,"vSGB17532","Sputum",0.959198537775646,0.989485096624332
"18","host_zero",0.104813932792355,0.687270059485606,19.2436526245874,0.152507637057264,0.880374252232535,"vSGB17532","Sputum",0.959198537775646,0.989485096624332
"19","molysis",-0.506126839239515,0.687270059485606,19.2436526239721,-0.736430799296466,0.470351609441299,"vSGB17532","Sputum",0.959198537775646,0.989485096624332
"20","qiaamp",-0.201552899075227,0.687270059485606,19.2436526241072,-0.293265938612372,0.772458075280541,"vSGB17532","Sputum",0.959198537775646,0.989485096624332
"21","lypma",-0.370722084269572,0.446745927815189,18.9728453453605,-0.829827562352025,0.416955768793187,"vSGB32981","Sputum",0.959198537775646,0.989485096624332
"22","benzonase",-0.479273803264167,0.446745927815189,18.9728453452695,-1.0728106814718,0.296812549004633,"vSGB32981","Sputum",0.959198537775646,0.989485096624332
"23","host_zero",-0.186074884311726,0.446745927815189,18.9728453453033,-0.416511651760823,0.681709806721312,"vSGB32981","Sputum",0.959198537775646,0.989485096624332
"24","molysis",-0.289143249338423,0.446745927815189,18.9728453442644,-0.647220783304008,0.525243319250885,"vSGB32981","Sputum",0.959198537775646,0.989485096624332
"25","qiaamp",0.0294278495275014,0.446745927815189,18.9728453451195,0.0658715562812587,0.948169243871057,"vSGB32981","Sputum",0.959198537775646,0.989485096624332
"26","lypma",-0.172107305735637,0.74304894242762,19.3993603668112,-0.231623108396257,0.819256414119523,"vSGB40725","Sputum",0.959198537775646,0.989485096624332
"27","benzonase",-0.280659024730231,0.74304894242762,19.3993603660424,-0.377712703302273,0.709744969569687,"vSGB40725","Sputum",0.959198537775646,0.989485096624332
"28","host_zero",0.0221228747964078,0.74304894242762,19.3993603649706,0.0297731058254791,0.976552181400137,"vSGB40725","Sputum",0.959198537775646,0.989485096624332
