"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"1","Nasal",-0.0475221445361302,0.04841050451931,17.965905345702,-0.981649437616882,0.339308121930045,"vSGB67035","sample_type",0.999157110299402,0.999157110299402
"2","Sputum",-0.254711636280805,0.0539070761927033,15.6168011684586,-4.72501300887251,0.000243788091960084,"vSGB67035","sample_type",0.0199535037390885,0.0199535037390885
"3","lypma",0.0339545584580362,0.0405449131564351,72.6047726628519,0.837455449146697,0.405084879476545,"vSGB67035","lypma",0.999157110299402,0.999157110299402
"4","benzonase",-0.023615695770785,0.040650372406817,73.1258141215602,-0.580946603254848,0.563062715746495,"vSGB67035","benzonase",0.999157110299402,0.999157110299402
"5","host_zero",-0.134326330919547,0.040650372406817,73.1258141227899,-3.30443051235174,0.00147585968665413,"vSGB67035","host_zero",0.068315018648909,0.068315018648909
"6","molysis",-0.167380385987265,0.0406208839574513,72.9728200322952,-4.1205500639176,9.86424905646932e-05,"vSGB67035","molysis",0.0187713006119035,0.0187713006119035
"7","qiaamp",-0.0671149210982761,0.0405281803585643,72.5535188248977,-1.65600627771815,0.102039708481775,"vSGB67035","qiaamp",0.766288010169404,0.766288010169404
"8","Nasal",-0.0475221445361302,0.04841050451931,17.965905345702,-0.981649437616882,0.339308121930045,"vSGB597","sample_type",0.999157110299402,0.999157110299402
"9","Sputum",-0.254711636280805,0.0539070761927033,15.6168011684586,-4.72501300887251,0.000243788091960084,"vSGB597","sample_type",0.0199535037390885,0.0199535037390885
"10","lypma",0.0339545584580362,0.0405449131564351,72.6047726628519,0.837455449146697,0.405084879476545,"vSGB597","lypma",0.999157110299402,0.999157110299402
"11","benzonase",-0.023615695770785,0.040650372406817,73.1258141215602,-0.580946603254848,0.563062715746495,"vSGB597","benzonase",0.999157110299402,0.999157110299402
"12","host_zero",-0.134326330919547,0.040650372406817,73.1258141227899,-3.30443051235174,0.00147585968665413,"vSGB597","host_zero",0.068315018648909,0.068315018648909
"13","molysis",-0.167380385987265,0.0406208839574513,72.9728200322952,-4.1205500639176,9.86424905646932e-05,"vSGB597","molysis",0.0187713006119035,0.0187713006119035
"14","qiaamp",-0.0671149210982761,0.0405281803585643,72.5535188248977,-1.65600627771815,0.102039708481775,"vSGB597","qiaamp",0.766288010169404,0.766288010169404
"15","Nasal",-0.0475221445361302,0.04841050451931,17.965905345702,-0.981649437616882,0.339308121930045,"vSGB44191","sample_type",0.999157110299402,0.999157110299402
"16","Sputum",-0.254711636280805,0.0539070761927033,15.6168011684586,-4.72501300887251,0.000243788091960084,"vSGB44191","sample_type",0.0199535037390885,0.0199535037390885
"17","lypma",0.0339545584580362,0.0405449131564351,72.6047726628519,0.837455449146697,0.405084879476545,"vSGB44191","lypma",0.999157110299402,0.999157110299402
"18","benzonase",-0.023615695770785,0.040650372406817,73.1258141215602,-0.580946603254848,0.563062715746495,"vSGB44191","benzonase",0.999157110299402,0.999157110299402
"19","host_zero",-0.134326330919547,0.040650372406817,73.1258141227899,-3.30443051235174,0.00147585968665413,"vSGB44191","host_zero",0.068315018648909,0.068315018648909
"20","molysis",-0.167380385987265,0.0406208839574513,72.9728200322952,-4.1205500639176,9.86424905646932e-05,"vSGB44191","molysis",0.0187713006119035,0.0187713006119035
"21","qiaamp",-0.0671149210982761,0.0405281803585643,72.5535188248977,-1.65600627771815,0.102039708481775,"vSGB44191","qiaamp",0.766288010169404,0.766288010169404
"22","Nasal",-0.0475221445361302,0.04841050451931,17.965905345702,-0.981649437616882,0.339308121930045,"vSGB78341","sample_type",0.999157110299402,0.999157110299402
"23","Sputum",-0.254711636280805,0.0539070761927033,15.6168011684586,-4.72501300887251,0.000243788091960084,"vSGB78341","sample_type",0.0199535037390885,0.0199535037390885
"24","lypma",0.0339545584580362,0.0405449131564351,72.6047726628519,0.837455449146697,0.405084879476545,"vSGB78341","lypma",0.999157110299402,0.999157110299402
"25","benzonase",-0.023615695770785,0.040650372406817,73.1258141215602,-0.580946603254848,0.563062715746495,"vSGB78341","benzonase",0.999157110299402,0.999157110299402
"26","host_zero",-0.134326330919547,0.040650372406817,73.1258141227899,-3.30443051235174,0.00147585968665413,"vSGB78341","host_zero",0.068315018648909,0.068315018648909
"27","molysis",-0.167380385987265,0.0406208839574513,72.9728200322952,-4.1205500639176,9.86424905646932e-05,"vSGB78341","molysis",0.0187713006119035,0.0187713006119035
"28","qiaamp",-0.0671149210982761,0.0405281803585643,72.5535188248977,-1.65600627771815,0.102039708481775,"vSGB78341","qiaamp",0.766288010169404,0.766288010169404
"29","Nasal",-0.0618519900355174,0.639978375489077,18.4700365168826,-0.0966469999681624,0.924047721310723,"vSGB5885","sample_type",0.999157110299402,0.999157110299402
"30","Sputum",3.91404105172719,0.721417643594479,16.836687209328,5.42548562054207,4.69870761897973e-05,"vSGB5885","sample_type",0.0187713006119035,0.0187713006119035
"31","lypma",0.46095232253994,0.438166413675862,72.328325753871,1.05200286501406,0.296300266793603,"vSGB5885","lypma",0.999157110299402,0.999157110299402
"32","benzonase",0.337777501605282,0.439634095244536,72.7279545263257,0.768315072145171,0.444787679916728,"vSGB5885","benzonase",0.999157110299402,0.999157110299402
