"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",0.219020739185486,0.480592120910394,24.1446732089514,0.455731023576897,0.652655723928228,"Escherichia","Nasal",0.413132393068518,0.795410459370378
"2","benzonase",-0.305487227109409,0.481013079581503,24.3719366047151,-0.635091310563099,0.531286693349551,"Escherichia","Nasal",0.380617614713952,0.732809232206278
"3","host_zero",-1.22460456359525,0.481013079581503,24.371936603971,-2.54588620471755,0.017625895970422,"Escherichia","Nasal",0.0915480617139641,0.17625895970422
"4","molysis",-0.717473418495376,0.480592120910394,24.1446732082183,-1.49289467571015,0.148417893985147,"Escherichia","Nasal",0.215699651814923,0.415290018441338
"5","qiaamp",-0.439170241159507,0.481013079581503,24.3719366049284,-0.913011017375244,0.370180629868213,"Escherichia","Nasal",0.380617614713952,0.732809232206278
"6","lypma",-0.32151584281503,0.46964188697822,20.5966667697387,-0.684597885601163,0.501229411235199,"Staphylococcus","Nasal",0.380617614713952,0.732809232206278
"7","benzonase",0.791876616548816,0.473332600476526,20.6670822015574,1.67298135761533,0.109401778876925,"Staphylococcus","Nasal",0.210367549812567,0.405024036460107
"8","host_zero",-0.287690775380202,0.473332600476526,20.6670822017066,-0.607798353822598,0.549942426345622,"Staphylococcus","Nasal",0.380849959027724,0.733256568460829
"9","molysis",0.763710189708222,0.46964188697822,20.5966667695555,1.62615433351165,0.119120543242255,"Staphylococcus","Nasal",0.210367549812567,0.405024036460107
"10","qiaamp",-0.679454649490391,0.473332600476526,20.6670822023037,-1.43546979186803,0.166116007376535,"Staphylococcus","Nasal",0.215699651814923,0.415290018441338
"11","lypma",0.0574432435113716,0.782887248771147,20.6427724957664,0.0733735842569117,0.942215171538191,"Cutibacterium","Nasal",0.50223510456995,0.966961346871826
"12","benzonase",-2.32650910711753,0.788621017961468,20.7529860816196,-2.95009777082964,0.00770820767445311,"Cutibacterium","Nasal",0.0800721249086084,0.154164153489062
"13","host_zero",0.318019350636938,0.788621017961468,20.7529860813609,0.403260049369464,0.690881452742616,"Cutibacterium","Nasal",0.413132393068518,0.795410459370378
"14","molysis",-1.12711253790516,0.782887248771147,20.642772495308,-1.43968692768252,0.164949598586597,"Cutibacterium","Nasal",0.215699651814923,0.415290018441338
"15","qiaamp",0.411027941357757,0.788621017961468,20.752986081659,0.521198309449368,0.607746152396872,"Cutibacterium","Nasal",0.40730380446983,0.7841885837379
"16","lypma",-1.9135833969064,0.979698994204982,21.8637018162531,-1.95323605334438,0.0637074838456383,"Corynebacterium","Nasal",0.189082073088986,0.364042764832219
"17","benzonase",-0.252945312051946,0.985269082009432,22.06889182817,-0.256727138474771,0.799767665873568,"Corynebacterium","Nasal",0.461550561458562,0.88863073985952
"18","host_zero",0.0316615482199068,0.985269082009432,22.0688918282177,0.0321349251671775,0.974653316081666,"Corynebacterium","Nasal",0.506230276634429,0.974653316081666
"19","molysis",0.629353943818579,0.979698994204982,21.863701816352,0.642395212755418,0.527296001162036,"Corynebacterium","Nasal",0.380617614713952,0.732809232206278
"20","qiaamp",-0.22337425995514,0.985269082009433,22.0688918277567,-0.226713964777595,0.822733011794606,"Corynebacterium","Nasal",0.46197145544096,0.889441093832006
