"","metadata","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","sample_type","qval","p_bh"
"1","lypma",0.408466327011637,1.18754137311261,19.1330772473139,0.343959660067274,0.734627908127296,"Pseudomonas","Sputum",0.493356499031165,0.843015632277225
"2","benzonase",-1.59983054055122,1.18754137311261,19.1330772467058,-1.34717878195518,0.193662378182661,"Pseudomonas","Sputum",0.216370025327378,0.369719085621444
"3","host_zero",-3.20037212301365,1.18754137311261,19.1330772473763,-2.6949563151853,0.0142866575638296,"Pseudomonas","Sputum",0.0297593296366032,0.0508508150576985
"4","molysis",-5.28536657920064,1.18754137311261,19.1330772470781,-4.45067995007821,0.000270097566255699,"Pseudomonas","Sputum",0.00237103058204494,0.00405146349383549
"5","qiaamp",-2.52098232484714,1.18754137311261,19.1330772473066,-2.12285852259573,0.0470314514188793,"Pseudomonas","Sputum",0.076053518290292,0.129955326289009
"6","lypma",0.100283815324256,0.597355228489186,18.9960123411257,0.167879697944372,0.868452355263364,"Escherichia","Sputum",0.548096309669246,0.936551475357062
"7","benzonase",-0.589373179132339,0.597355228489187,18.9960123414809,-0.986637683950577,0.336221558251361,"Escherichia","Sputum",0.308010774836488,0.526308863077483
"8","host_zero",-1.56819853295363,0.597355228489186,18.9960123407835,-2.62523613783355,0.0166639054458896,"Escherichia","Sputum",0.0327470624314532,0.0559560593507645
"9","molysis",-1.99977725327241,0.597355228489187,18.9960123410653,-3.34771867374492,0.00338196508102182,"Escherichia","Sputum",0.0101374746874258,0.0173222601710874
"10","qiaamp",-1.19084374145026,0.597355228489186,18.9960123411053,-1.9935269411839,0.060763788883144,"Escherichia","Sputum",0.0945283930797823,0.161523995765319
"11","lypma",3.39069128586338,1.08090623922216,19.04493636809,3.13689676572076,0.00541786061298974,"Staphylococcus","Sputum",0.0141668889639522,0.0242074623133584
"12","benzonase",2.71264310079235,1.08090623922216,19.0449363687727,2.50960074274752,0.0212807843061038,"Staphylococcus","Sputum",0.0390352843735485,0.0667009657355492
"13","host_zero",2.45096050443005,1.08090623922216,19.0449363687336,2.2675051873082,0.0351863020913172,"Staphylococcus","Sputum",0.0600600446790887,0.102626714433009
"14","molysis",2.94707849717592,1.08090623922216,19.0449363687325,2.7264885613915,0.0133812253524073,"Staphylococcus","Sputum",0.0283538744177606,0.0484492642069919
"15","qiaamp",3.25341443430863,1.08090623922216,19.0449363680943,3.00989513822203,0.00718870079463522,"Staphylococcus","Sputum",0.0176695270022246,0.0301925433374679
"16","lypma",-0.436909556248984,0.433527591656392,19.6209935179055,-1.00780103656072,0.325817606730339,"Enterococcus","Sputum",0.308010774836488,0.526308863077483
"17","benzonase",-1.10637077697146,0.433527591656392,19.6209935185098,-2.55201929073145,0.0191702201832353,"Enterococcus","Sputum",0.0364867639672858,0.0623462191255907
"18","host_zero",-0.716879758742912,0.433527591656392,19.6209935185671,-1.65359661654731,0.114120444712169,"Enterococcus","Sputum",0.15244744442287,0.260492319451689
"19","molysis",-1.09177475881097,0.433527591656392,19.6209935188275,-2.51835126488627,0.0205988912063177,"Enterococcus","Sputum",0.0383569819966365,0.0655419265655564
"20","qiaamp",-0.720319119501757,0.433527591656392,19.6209935187198,-1.66153004644898,0.112502219553302,"Enterococcus","Sputum",0.15244744442287,0.260492319451689
"21","lypma",0.584060136476213,1.1612998743622,19.462783412153,0.502936536350688,0.620652749834673,"Prevotella","Sputum",0.451482043631642,0.771463274977349
"22","benzonase",1.7890446309266,1.1612998743622,19.4627834133938,1.54055353868799,0.139527291019139,"Prevotella","Sputum",0.17862097253386,0.305215949104367
"23","host_zero",1.56562796249559,1.1612998743622,19.4627834122959,1.34816854548913,0.193086414367529,"Prevotella","Sputum",0.216370025327378,0.369719085621444
"24","molysis",0.383672089239257,1.1612998743622,19.4627834134204,0.330381581630649,0.744641602672072,"Prevotella","Sputum",0.49467514334527,0.845268846276406
"25","qiaamp",1.72803267876085,1.1612998743622,19.4627834128406,1.48801590089718,0.152770606822671,"Prevotella","Sputum",0.185244604754657,0.316533982849847
"26","lypma",-0.402091423839859,0.325639351370398,19.2818153282249,-1.23477528789971,0.231750429864577,"Anaeroglobus","Sputum",0.245531422257234,0.419548191996217
"27","benzonase",-1.07155264456233,0.325639351370398,19.2818153279839,-3.29061165382158,0.00378929047670837,"Anaeroglobus","Sputum",0.0103487978812896,0.0176833555579724
"28","host_zero",-1.58261851177088,0.325639351370398,19.2818153288196,-4.86003459075414,0.000104562344522263,"Anaeroglobus","Sputum",0.00116822675342927,0.00199619021360684
"29","molysis",-1.25312400485592,0.325639351370398,19.2818153283845,-3.8481958632529,0.00105975861321024,"Anaeroglobus","Sputum",0.00500931252201878,0.00855958879900581
"30","qiaamp",-1.14784238842024,0.325639351370398,19.2818153282899,-3.52488844972126,0.002223823773648,"Anaeroglobus","Sputum",0.00780866595651783,0.013342942641888
"31","lypma",0.778026968030662,0.787173922087844,19.1004876855515,0.988380008787739,0.33532278012898,"Pauljensenia","Sputum",0.308010774836488,0.526308863077483
"32","benzonase",3.3437135672629,0.787173922087844,19.1004876853674,4.24774433379891,0.000430797948840836,"Pauljensenia","Sputum",0.00294134279730692,0.00502597606980975
"33","host_zero",4.01084354776551,0.787173922087844,19.1004876854761,5.09524443737597,6.32948274852026e-05,"Pauljensenia","Sputum",0.000994184418139169,0.00169879794327958
"34","molysis",4.3996829980197,0.787173922087844,19.1004876853685,5.58921335497281,2.12866810908941e-05,"Pauljensenia","Sputum",0.000654022188898155,0.00111755075727194
"35","qiaamp",3.95824122001918,0.787173922087844,19.1004876856191,5.0284201609736,7.34859638194231e-05,"Pauljensenia","Sputum",0.00100347464961248,0.00171467248911987
"36","lypma",-0.349083163743299,0.444835687534956,19.2170396680044,-0.78474630863754,0.442169636812559,"Tannerella","Sputum",0.367173831827766,0.627402863044847
"37","benzonase",-1.01854438446577,0.444835687534956,19.2170396680234,-2.28970924097841,0.0335162646330181,"Tannerella","Sputum",0.0580151984896791,0.0991326137032929
"38","host_zero",-0.94653865166992,0.444835687534956,19.2170396680162,-2.12783883621194,0.0465075617079475,"Tannerella","Sputum",0.076053518290292,0.129955326289009
"39","molysis",-1.51834305579544,0.444835687534956,19.2170396695483,-3.41326718683317,0.00287907471888887,"Tannerella","Sputum",0.0090254002329022,0.0154220193690292
"40","qiaamp",-1.09483412832368,0.444835687534956,19.2170396689635,-2.46121019289318,0.0234688958334722,"Tannerella","Sputum",0.0424158588359417,0.0724774724268995
"41","lypma",-0.747978054272804,0.783752357108379,19.0976743077309,-0.954355093785538,0.351828750429295,"Lachnoanaerobaculum","Sputum",0.313870624161979,0.536321794079464
"42","benzonase",0.4996381709299,0.783752357108379,19.097674308576,0.637494951560074,0.531371824256953,"Lachnoanaerobaculum","Sputum",0.415952166216664,0.71075212161758
"43","host_zero",0.276917952281325,0.783752357108379,19.0976743082275,0.353323278417945,0.727716317429351,"Lachnoanaerobaculum","Sputum",0.491612200611438,0.840035088110736
"44","molysis",0.0504744589404073,0.783752357108379,19.0976743087703,0.0644010298439556,0.949320248619363,"Lachnoanaerobaculum","Sputum",0.574114656556898,0.981009941385939
"45","qiaamp",-0.0235522863200851,0.783752357108379,19.097674308843,-0.0300506736681217,0.976338465474577,"Lachnoanaerobaculum","Sputum",0.574114656556898,0.981009941385939
"46","lypma",-0.862441185367951,0.904837280141568,19.0745122099323,-0.953145061875674,0.352440036109362,"Bulleidia","Sputum",0.313870624161979,0.536321794079464
"47","benzonase",0.996422721038045,0.904837280141568,19.0745122102701,1.10121758122317,0.284504700474245,"Bulleidia","Sputum",0.286598646942968,0.489721205734357
"48","host_zero",-0.0593137703144391,0.904837280141568,19.0745122099893,-0.0655518639828357,0.948416784435828,"Bulleidia","Sputum",0.574114656556898,0.981009941385939
"49","molysis",1.37253718376588,0.904837280141568,19.0745122099582,1.51688841064455,0.145693704622936,"Bulleidia","Sputum",0.182708701505384,0.312200795620576
"50","qiaamp",-0.0283754986294473,0.904837280141568,19.0745122104093,-0.031359780650293,0.975308430908414,"Bulleidia","Sputum",0.574114656556898,0.981009941385939
"51","lypma",-0.284896006966151,0.685284820242663,18.9948661569095,-0.415733719105683,0.682263891727251,"UBA7748","Sputum",0.479136061752996,0.818716670072701
"52","benzonase",-0.712782213806591,0.685284820242663,18.9948661567756,-1.04012549636542,0.311340813191991,"UBA7748","Sputum",0.301284545412739,0.514815517876521
"53","host_zero",0.573251918204166,0.685284820242663,18.9948661568178,0.836516294058834,0.41326497219599,"UBA7748","Sputum",0.345506150010645,0.590378531708557
"54","molysis",0.902366323730303,0.685284820242663,18.9948661568213,1.31677559034617,0.203580592221519,"UBA7748","Sputum",0.225402077720165,0.385152471770442
"55","qiaamp",-0.824710746774973,0.685284820242663,18.9948661571145,-1.20345690202643,0.243584401716874,"UBA7748","Sputum",0.254176607932442,0.43432052535445
"56","lypma",0.0973912962288059,0.9685630830011,19.1284151662802,0.100552352178279,0.920952270439255,"Lancefieldella","Sputum",0.568759373099753,0.971859179860521
"57","benzonase",0.491147489918853,0.9685630830011,19.1284151661249,0.507088798384746,0.617888594803805,"Lancefieldella","Sputum",0.451482043631642,0.771463274977349
"58","host_zero",1.9341402451714,0.9685630830011,19.1284151655573,1.9969171643198,0.0602631900948979,"Lancefieldella","Sputum",0.0945283930797823,0.161523995765319
"59","molysis",1.60383821540652,0.9685630830011,19.128415165791,1.65589443119906,0.114056691751287,"Lancefieldella","Sputum",0.15244744442287,0.260492319451689
