"","value","Estimate","Std. Error","df","t value","Pr(>|t|)","feature","metadata","qval","p_bh"
"1","Nasal",-0.184668316778276,0.579658165753247,18.361107112268,-0.318581411750329,0.753639369549942,"Pseudomonas","sample_type",0.960709611662706,0.960709611662706
"2","Sputum",4.62831692035205,0.649149630962356,16.3217926141793,7.12981522224796,2.13136114109644e-06,"Pseudomonas","sample_type",0.00042520654764874,0.00042520654764874
"3","lypma",0.45990318786738,0.446750800190772,72.6235692631686,1.02944009875526,0.306689305596698,"Pseudomonas","lypma",0.549042612479317,0.549042612479317
"4","benzonase",-0.302316558591858,0.448061230929763,73.0897078331026,-0.674721528494055,0.501981449386381,"Pseudomonas","benzonase",0.776320148469636,0.776320148469636
"5","host_zero",-0.848019250668458,0.448061230929763,73.0897078348521,-1.89264143409317,0.0623654777581237,"Pseudomonas","host_zero",0.199070605003931,0.199070605003931
"6","molysis",-1.60313082990142,0.447692415021661,72.9522549347351,-3.58087556570252,0.000614031506971655,"Pseudomonas","molysis",0.00628201464824847,0.00628201464824847
"7","qiaamp",-0.540710401880022,0.446552684353615,72.5823159274597,-1.21085466693073,0.229879137710779,"Pseudomonas","qiaamp",0.477717583055213,0.477717583055213
"8","Nasal",-0.03262724245787,0.683527232651078,17.1077201763654,-0.0477336394211017,0.962481349310274,"Escherichia","sample_type",0.997270903740972,0.997270903740972
"9","Sputum",0.351550491712238,0.783175880036381,16.5901221081532,0.448878088145293,0.659327637926104,"Escherichia","sample_type",0.911292249650538,0.911292249650538
"10","lypma",-0.0231484901421544,0.266891205127537,69.8926113309738,-0.0867338065002653,0.931131110633421,"Escherichia","lypma",0.997270903740972,0.997270903740972
"11","benzonase",-0.394944167597071,0.268108351276912,70.066565587089,-1.47307670841315,0.145208686489452,"Escherichia","benzonase",0.340813328878184,0.340813328878184
"12","host_zero",-0.736319204627742,0.268108351276912,70.0665655879023,-2.74634938121434,0.00765293532308177,"Escherichia","host_zero",0.0508920198984938,0.0508920198984938
"13","molysis",-0.922947430213712,0.267759205673223,70.0154018791507,-3.44693071483074,0.000962984319626035,"Escherichia","molysis",0.00937148154953141,0.00937148154953142
"14","qiaamp",-0.463372423399783,0.266742691553615,69.8830659744174,-1.73715133749652,0.0867662371937171,"Escherichia","qiaamp",0.254556828237449,0.254556828237449
"15","Nasal",-0.133541420759772,0.122173592313204,18.1885347538833,-1.09304652692396,0.288639549125107,"Bacillus","sample_type",0.534454159971218,0.534454159971218
"16","Sputum",-0.813001864595426,0.136909612411408,16.2041787693514,-5.93823801175033,1.97554251626024e-05,"Bacillus","sample_type",0.000710746210672641,0.000710746210672641
"17","lypma",0.0297906453659239,0.093171305159778,72.4515602953205,0.319740560839374,0.750085204564584,"Bacillus","lypma",0.959243578914324,0.959243578914324
"18","benzonase",-0.205214979998378,0.093448312411281,72.9157541711327,-2.19602660233385,0.0312711395746804,"Bacillus","benzonase",0.131338786213658,0.131338786213658
"19","host_zero",-0.39065718309989,0.093448312411281,72.9157541739015,-4.18046268594498,7.98892374705935e-05,"Bacillus","host_zero",0.00151789551194128,0.00151789551194128
"20","molysis",-0.424377411313676,0.0933702943681438,72.7788155121608,-4.54510092514462,2.13758258848915e-05,"Bacillus","molysis",0.000710746210672641,0.000710746210672641
